Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/read-caching-5 
"64/4" 29357 17907 
"64/8" 33698 34464 
"64/16" 69492 61968 
"64/32" 104254 102385 
"64/64" 137602 62750 
"128/4" 10291 15605 
"128/8" 55577 13729 
"128/16" 78377 57661 
"128/32" 129685 48485 
"128/64" 11800 167363 
"128/128" 187402 193341 
"256/4" 14484 15221 
"256/8" 50335 24608 
"256/16" 75632 86958 
"256/32" 143821 110583 
"256/64" 144947 163585 
"256/128" 202676 195126 
"256/256" 237458 240328 
"512/4" 19178 14828 
"512/8" 58374 16738 
"512/16" 96495 95827 
"512/32" 129033 133294 
"512/64" 188230 175221 
"512/128" 54225 189142 
"512/256" 251349 238349 
"512/512" 376500 257807 
"1024/4" 20696 19056 
"1024/8" 25951 30013 
"1024/16" 54185 87165 
"1024/32" 132112 145681 
"1024/64" 177560 170099 
"1024/128" 204348 225199 
"1024/256" 121142 208809 
"1024/512" 404239 273272 
"1024/1024" 630148 404734 
"2048/4" 14489 23886 
"2048/8" 34197 33084 
"2048/16" 65024 88058 
"2048/32" 86223 97611 
"2048/64" 188927 115380 
"2048/128" 213622 220075 
"2048/256" 273976 224933 
"2048/512" 220402 267884 
"2048/1024" 555630 204879 
"2048/2048" 913453 558048 
"4096/4" 20688 18576 
"4096/8" 30299 21189 
"4096/16" 57841 57237 
"4096/32" 147084 136174 
"4096/64" 139996 190919 
"4096/128" 218743 227947 
"4096/256" 174349 275526 
"4096/512" 423318 272775 
"4096/1024" 535134 504121 
"4096/2048" 881796 226989 
"4096/4096" 920047 654950 
"8192/4" 17296 11698 
"8192/8" 24680 26758 
"8192/16" 40894 36883 
"8192/32" 107705 88055 
"8192/64" 188664 197231 
"8192/128" 254434 192210 
"8192/256" 280682 277713 
"8192/512" 471295 341375 
"8192/1024" 600360 369372 
"8192/2048" 526442 583686 
"8192/4096" 541475 617883 
"8192/8192" 727008 650878 
"16384/4" 10185 8957 
"16384/8" 18708 17253 
"16384/16" 26376 26507 
"16384/32" 56405 44138 
"16384/64" 92877 121636 
"16384/128" 248819 245148 
"16384/256" 281076 315331 
"16384/512" 486073 238195 
"16384/1024" 576047 296023 
"16384/2048" 623652 52903 
"16384/4096" 813866 735598 
"16384/8192" 885425 717024 
"16384/16384" 996168 914749 
"32768/64" 79431 84305 
"32768/128" 160894 102357 
"32768/256" 255630 351678 
"32768/512" 467006 269877 
"32768/1024" 589722 522232 
"32768/2048" 817827 747459 
"32768/4096" 857263 735680 
"32768/8192" 872529 539594 
"32768/16384" 1021191 335177 
"65536/64" 81122 77669 
"65536/128" 130387 126839 
"65536/256" 224358 194122 
"65536/512" 283903 280349 
"65536/1024" 432620 317166 
"65536/2048" 812124 672963 
"65536/4096" 859431 773641 
"65536/8192" 958983 751714 
"65536/16384" 1001009 988610 
"131072/64" 80324 79652 
"131072/128" 107789 115459 
"131072/256" 164644 192477 
"131072/512" 206055 223306 
"131072/1024" 316194 311826 
"131072/2048" 493975 523130 
"131072/4096" 585890 598062 
"131072/8192" 730479 685405 
"131072/16384" 871408 699513 
"262144/64" 75870 77107 
"262144/128" 113369 107193 
"262144/256" 137597 158747 
"262144/512" 185283 180682 
"262144/1024" 282433 269600 
"262144/2048" 462242 395095 
"262144/4096" 518776 429127 
"262144/8192" 612268 575981 
"262144/16384" 859280 887438 
"524288/64" 75154 77191 
"524288/128" 106134 105008 
"524288/256" 141125 134018 
"524288/512" 202430 178644 
"524288/1024" 263136 257456 
"524288/2048" 367330 427459 
"524288/4096" 488845 432523 
"524288/8192" 593222 560142 
"524288/16384" 780944 846090 
