Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/read-caching-5 
"64/4" 5735102 2133730 
"64/8" 4564786 7100397 
"64/16" 3363612 7940539 
"64/32" 4897948 4564786 
"64/64" 4274062 4897948 
"128/4" 3657016 5325799 
"128/8" 4407601 4717434 
"128/16" 6406138 5122535 
"128/32" 6114306 7082197 
"128/64" 4557257 6114306 
"128/128" 4557257 7582312 
"256/4" 3197509 3605511 
"256/8" 4477549 4652146 
"256/16" 4998665 5217259 
"256/32" 4929815 6719046 
"256/64" 8024634 7965107 
"256/128" 5217259 5117791 
"256/256" 5971678 5217259 
"512/4" 3678421 6104175 
"512/8" 7435738 4690818 
"512/16" 5227492 8394979 
"512/32" 5684095 5214798 
"512/64" 7758090 5398323 
"512/128" 5807059 7758090 
"512/256" 5684095 6018636 
"512/512" 8394979 8109658 
"1024/4" 3984917 6059442 
"1024/8" 7420395 7101400 
"1024/16" 8199542 5363307 
"1024/32" 6208343 8457895 
"1024/64" 8680108 5917516 
"1024/128" 8895850 5782087 
"1024/256" 6819511 9064828 
"1024/512" 6208343 5720477 
"1024/1024" 6059442 5917516 
"2048/4" 6243566 4094723 
"2048/8" 6780783 4293237 
"2048/16" 5953632 7817519 
"2048/32" 8059569 6543188 
"2048/64" 9752360 7135648 
"2048/128" 6603549 6623917 
"2048/256" 9708272 5836323 
"2048/512" 8903279 7969835 
"2048/1024" 9483197 9101380 
"2048/2048" 8036946 7293167 
"4096/4" 4208889 3889659 
"4096/8" 5396016 7087972 
"4096/16" 8811067 8535284 
"4096/32" 9593374 9202815 
"4096/64" 9183139 6618318 
"4096/128" 6989921 8625273 
"4096/256" 9701724 7001316 
"4096/512" 9482180 9461292 
"4096/1024" 9105266 9368423 
"4096/2048" 6758923 8962759 
"4096/4096" 8620945 5603704 
"8192/4" 4354953 4143818 
"8192/8" 6895660 7523801 
"8192/16" 7719891 8000301 
"8192/32" 6590145 6220301 
"8192/64" 7328036 8498983 
"8192/128" 7142200 6804170 
"8192/256" 10343693 6877717 
"8192/512" 9536939 9471217 
"8192/1024" 10315743 7223279 
"8192/2048" 10190307 6677231 
"8192/4096" 6177802 6748045 
"8192/8192" 5588034 5372229 
"16384/4" 5323045 4796231 
"16384/8" 6697931 5400009 
"16384/16" 6056817 6016516 
"16384/32" 9900792 6537983 
"16384/64" 9389438 9804734 
"16384/128" 9599293 6987375 
"16384/256" 10474243 7005182 
"16384/512" 9604660 8564449 
"16384/1024" 10429731 7049738 
"16384/2048" 7481865 9146979 
"16384/4096" 8376536 7327103 
"16384/8192" 6540472 5219542 
"16384/16384" 6912867 6343059 
"32768/64" 10431952 9222973 
"32768/128" 8567014 10157484 
"32768/256" 10673373 9429252 
"32768/512" 10556955 9778091 
"32768/1024" 10646090 10163493 
"32768/2048" 8291539 8696573 
"32768/4096" 8323173 7792735 
"32768/8192" 6242740 6459263 
"32768/16384" 5434129 5948243 
"65536/64" 9144063 6990470 
"65536/128" 10142046 8970096 
"65536/256" 10291658 9062066 
"65536/512" 10546750 10415669 
"65536/1024" 10532606 10341607 
"65536/2048" 10146538 7071213 
"65536/4096" 8461737 7831769 
"65536/8192" 6291291 6040767 
"65536/16384" 6857237 5276189 
"131072/64" 10166015 10910926 
"131072/128" 10041604 8075878 
"131072/256" 9707030 9460963 
"131072/512" 9404479 11103978 
"131072/1024" 9577826 11090761 
"131072/2048" 9412691 11099270 
"131072/4096" 9177463 6639257 
"131072/8192" 6540522 6409068 
"131072/16384" 6663884 6658799 
"262144/64" 10934016 7858268 
"262144/128" 9233633 11117654 
"262144/256" 11605470 11894609 
"262144/512" 10965640 7825437 
"262144/1024" 11069413 11673733 
"262144/2048" 10724661 11797612 
"262144/4096" 9059409 8212554 
"262144/8192" 6975985 6368302 
"262144/16384" 6965997 6078283 
"524288/64" 10997106 11660968 
"524288/128" 11087597 8958499 
"524288/256" 9810594 11072579 
"524288/512" 9335941 12360326 
"524288/1024" 12008134 10014277 
"524288/2048" 12124193 11761696 
"524288/4096" 8500683 9307766 
"524288/8192" 6822573 6761693 
"524288/16384" 7013515 6797645 
