Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/read-caching-5 
"64/4" 3057153 3791156 
"64/8" 4207076 2923952 
"64/16" 2662899 3791156 
"64/32" 2561267 3022727 
"64/64" 2662899 2467108 
"128/4" 3053774 2843510 
"128/8" 3759450 3657016 
"128/16" 3759450 5325799 
"128/32" 4012317 3759450 
"128/64" 3657016 4889281 
"128/128" 4135958 5325799 
"256/4" 5117791 4819184 
"256/8" 3245838 3879045 
"256/16" 3410808 3935921 
"256/32" 3545976 3605511 
"256/64" 5687020 4070199 
"256/128" 5810112 4117018 
"256/256" 3705040 3605511 
"512/4" 3710197 5331314 
"512/8" 4973263 4061007 
"512/16" 5886650 4457157 
"512/32" 3913012 3877684 
"512/64" 3905895 6319739 
"512/128" 3788747 3877684 
"512/256" 4000485 3934520 
"512/512" 4061007 6571132 
"1024/4" 3655895 6172653 
"1024/8" 4574926 6692005 
"1024/16" 4374559 4146499 
"1024/32" 4162573 6559147 
"1024/64" 4433259 4321737 
"1024/128" 7319232 4064103 
"1024/256" 5169641 4995276 
"1024/512" 7420395 6650556 
"1024/1024" 5042191 5564829 
"2048/4" 5785224 4663865 
"2048/8" 6845629 4170264 
"2048/16" 6114678 4460436 
"2048/32" 6298503 7065219 
"2048/64" 7343043 6363830 
"2048/128" 7419150 4911886 
"2048/256" 7262337 7159438 
"2048/512" 7368238 4829046 
"2048/1024" 4321315 6401772 
"2048/2048" 7343043 5107566 
"4096/4" 5159420 4935601 
"4096/8" 6389405 4718699 
"4096/16" 7135072 6953144 
"4096/32" 7380284 4576653 
"4096/64" 4887857 6682678 
"4096/128" 5019235 4853336 
"4096/256" 4746074 4929936 
"4096/512" 4910209 7326777 
"4096/1024" 5792648 7342434 
"4096/2048" 4964124 4841028 
"4096/4096" 4551192 4487004 
"8192/4" 4291316 5535816 
"8192/8" 4699856 6665573 
"8192/16" 6692839 6000856 
"8192/32" 4911476 4793620 
"8192/64" 5065711 6660405 
"8192/128" 6965556 5357988 
"8192/256" 5078440 7293813 
"8192/512" 5053790 4988488 
"8192/1024" 7640921 6742748 
"8192/2048" 6917874 6233844 
"8192/4096" 5449769 4354953 
"8192/8192" 5724900 5177930 
"16384/4" 6177694 5746830 
"16384/8" 5659275 6933793 
"16384/16" 5647647 5997088 
"16384/32" 6262707 6812133 
"16384/64" 5343741 5946749 
"16384/128" 7028827 6921919 
"16384/256" 7043235 4996760 
"16384/512" 7403675 5010605 
"16384/1024" 6720201 6465399 
"16384/2048" 6488597 6736671 
"16384/4096" 4575257 4779552 
"16384/8192" 5347483 5039634 
"16384/16384" 5305783 4686652 
"32768/64" 5079456 6647975 
"32768/128" 6773125 7552086 
"32768/256" 7740943 7214338 
"32768/512" 7039196 6656024 
"32768/1024" 5618741 7022651 
"32768/2048" 6778470 7472836 
"32768/4096" 6300549 6076044 
"32768/8192" 5705748 5517463 
"32768/16384" 5445109 5283511 
"65536/64" 8642653 7471984 
"65536/128" 7831769 8834880 
"65536/256" 8118118 7076674 
"65536/512" 5175847 8159324 
"65536/1024" 8863653 8739376 
"65536/2048" 8056964 7795344 
"65536/4096" 6901311 6799060 
"65536/8192" 5578580 5440023 
"65536/16384" 4198352 4691805 
"131072/64" 9046975 8892875 
"131072/128" 8735877 8489676 
"131072/256" 8188346 8370496 
"131072/512" 8848930 8743936 
"131072/1024" 8930434 7245946 
"131072/2048" 8884970 8488627 
"131072/4096" 7128132 5944861 
"131072/8192" 5683945 4581000 
"131072/16384" 5539558 5601818 
"262144/64" 8624580 8168017 
"262144/128" 8304919 8607566 
"262144/256" 8870262 9018614 
"262144/512" 8802373 8629928 
"262144/1024" 8341399 8769657 
"262144/2048" 8917383 8159652 
"262144/4096" 7061695 6864748 
"262144/8192" 5745241 5385807 
"262144/16384" 5746982 5338865 
"524288/64" 9070912 8244168 
"524288/128" 9082826 9040073 
"524288/256" 8704183 7820645 
"524288/512" 7485761 9020641 
"524288/1024" 9113429 7594838 
"524288/2048" 9041002 8928129 
"524288/4096" 6829608 7219124 
"524288/8192" 5793553 5689083 
"524288/16384" 5808888 5664435 
