Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/read-caching-5 
"64/4" 1828508 2067979 
"64/8" 2133730 2278628 
"64/16" 2379626 4564786 
"64/32" 3541098 2298136 
"64/64" 2358717 3057153 
"128/4" 1705404 1808829 
"128/8" 2166499 2326073 
"128/16" 2621367 2066432 
"128/32" 2673584 3106789 
"128/64" 3199360 5545860 
"128/128" 5122535 2326073 
"256/4" 2330140 1598292 
"256/8" 2223962 2034350 
"256/16" 2458168 3326279 
"256/32" 4197489 2975955 
"256/64" 3368013 3823789 
"256/128" 4819184 3823789 
"256/256" 3123106 3879045 
"512/4" 1753325 1730717 
"512/8" 2625909 2263354 
"512/16" 2575520 3884698 
"512/32" 2910635 2651850 
"512/64" 3163620 3140488 
"512/128" 3481620 2991733 
"512/256" 4610256 3762197 
"512/512" 3239989 3604335 
"1024/4" 2625597 2760606 
"1024/8" 3594699 1973059 
"1024/16" 4029784 3696803 
"1024/32" 4415030 4232305 
"1024/64" 3083680 4589593 
"1024/128" 5048117 3151562 
"1024/256" 3461434 3506651 
"1024/512" 5169641 6830356 
"1024/1024" 3655895 3170172 
"2048/4" 2479196 2868277 
"2048/8" 3271351 2611870 
"2048/16" 4122233 2596083 
"2048/32" 4207028 4071433 
"2048/64" 3065856 3459769 
"2048/128" 3841986 4038890 
"2048/256" 4385291 4295384 
"2048/512" 4079167 4697018 
"2048/1024" 6167360 4686767 
"2048/2048" 4829046 5056455 
"4096/4" 2701744 2876348 
"4096/8" 3599532 2564999 
"4096/16" 3954116 3973321 
"4096/32" 4371684 3202328 
"4096/64" 4413235 4007615 
"4096/128" 4088687 3927001 
"4096/256" 3977000 3696339 
"4096/512" 4149921 4112175 
"4096/1024" 3098371 3379997 
"4096/2048" 6013663 4649735 
"4096/4096" 4899008 4087714 
"8192/4" 2393271 2412935 
"8192/8" 3153193 2382815 
"8192/16" 4051471 2676241 
"8192/32" 4081792 2955217 
"8192/64" 3469697 3681608 
"8192/128" 3032953 3025209 
"8192/256" 3844314 3367015 
"8192/512" 3022813 2895693 
"8192/1024" 3372633 3029476 
"8192/2048" 4339005 3255981 
"8192/4096" 5558204 5374750 
"8192/8192" 4496285 3900612 
"16384/4" 1994134 2741672 
"16384/8" 3507562 2626910 
"16384/16" 2949358 3807636 
"16384/32" 3388733 2967058 
"16384/64" 3935641 3413308 
"16384/128" 3619327 3041922 
"16384/256" 3433432 2783539 
"16384/512" 3036948 3421806 
"16384/1024" 3572477 3044213 
"16384/2048" 3886231 2858927 
"16384/4096" 3683543 3563400 
"16384/8192" 5408935 4144769 
"16384/16384" 4176255 3110631 
"32768/64" 3842425 4092417 
"32768/128" 3878752 4012253 
"32768/256" 3292912 3100653 
"32768/512" 3744848 3547470 
"32768/1024" 3316272 3520031 
"32768/2048" 3323650 2751541 
"32768/4096" 3235014 3666622 
"32768/8192" 4151004 3898667 
"32768/16384" 6144498 4685183 
"65536/64" 4743133 4053660 
"65536/128" 4268038 4171908 
"65536/256" 3923587 3881754 
"65536/512" 3099632 3229306 
"65536/1024" 3712468 3770574 
"65536/2048" 3838551 3518716 
"65536/4096" 2904832 3288965 
"65536/8192" 2996212 3481899 
"65536/16384" 4391034 3584142 
"131072/64" 4886770 3960468 
"131072/128" 3405962 3311566 
"131072/256" 4032483 3859024 
"131072/512" 3890181 3879831 
"131072/1024" 3969705 3883147 
"131072/2048" 3851993 3748766 
"131072/4096" 3394333 3405709 
"131072/8192" 3797002 3656730 
"131072/16384" 4446142 4107811 
"262144/64" 4696744 4492849 
"262144/128" 4285846 4450963 
"262144/256" 3456042 3729739 
"262144/512" 4036581 3868144 
"262144/1024" 3947483 3904962 
"262144/2048" 3707629 3635989 
"262144/4096" 3642457 3364573 
"262144/8192" 3567563 3097383 
"262144/16384" 4015750 3745826 
"524288/64" 4469670 4195986 
"524288/128" 3804230 4096542 
"524288/256" 3924606 3836272 
"524288/512" 3806667 3691439 
"524288/1024" 3953720 3739283 
"524288/2048" 3618672 3480613 
"524288/4096" 3362288 3228275 
"524288/8192" 3190440 3506728 
"524288/16384" 3857327 3963562 
