Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/read-caching-5 
"64/4" 852702 1392258 
"64/8" 1124074 1255511 
"64/16" 1933893 1518251 
"64/32" 2379626 1638743 
"64/64" 1484662 1163036 
"128/4" 1057236 1024942 
"128/8" 1243315 1231904 
"128/16" 2248149 1391557 
"128/32" 1658003 2727923 
"128/64" 1684006 1749872 
"128/128" 1487977 1579934 
"256/4" 1842366 1108314 
"256/8" 2187712 1122215 
"256/16" 1481420 1652404 
"256/32" 1696795 2486631 
"256/64" 2692393 1897721 
"256/128" 2582316 1956506 
"256/256" 1707589 1642294 
"512/4" 1064794 1917728 
"512/8" 1426135 1236455 
"512/16" 2424328 1938502 
"512/32" 2413429 2294796 
"512/64" 2600470 1827947 
"512/128" 2521095 2065273 
"512/256" 2135087 2081286 
"512/512" 1834193 1940253 
"1024/4" 1987669 1247157 
"1024/8" 2382379 1535668 
"1024/16" 1743932 2316837 
"1024/32" 2426801 1673273 
"1024/64" 2559871 1903961 
"1024/128" 2008114 2547723 
"1024/256" 2976816 2216407 
"1024/512" 3483896 2737730 
"1024/1024" 2751762 2604895 
"2048/4" 1272054 1257344 
"2048/8" 1562145 2293214 
"2048/16" 2260624 1655793 
"2048/32" 2741930 2303669 
"2048/64" 2111168 1815744 
"2048/128" 2311728 1820362 
"2048/256" 2109095 2622235 
"2048/512" 3199462 2211731 
"2048/1024" 2473485 2390205 
"2048/2048" 2832339 2666186 
"4096/4" 1233671 1284494 
"4096/8" 1653054 1516476 
"4096/16" 1577755 2556602 
"4096/32" 2541097 1971116 
"4096/64" 2732686 2637454 
"4096/128" 2700046 2306392 
"4096/256" 2541097 2668590 
"4096/512" 2046000 2832715 
"4096/1024" 3005151 3207709 
"4096/2048" 2461720 3524939 
"4096/4096" 2901120 2465960 
"8192/4" 1598141 1253785 
"8192/8" 1555949 1517267 
"8192/16" 2138288 1892284 
"8192/32" 1816456 1775806 
"8192/64" 1797263 1830975 
"8192/128" 1805574 1981552 
"8192/256" 1862638 2376552 
"8192/512" 2067645 2303733 
"8192/1024" 2351344 2575343 
"8192/2048" 2659668 2853370 
"8192/4096" 3183872 2279433 
"8192/8192" 2563240 1931645 
"16384/4" 1736488 1611665 
"16384/8" 1562168 2003436 
"16384/16" 1713839 1934136 
"16384/32" 2181584 1794907 
"16384/64" 2146758 2369407 
"16384/128" 2120918 2633252 
"16384/256" 1768531 2231528 
"16384/512" 2072872 2430843 
"16384/1024" 2595263 2329884 
"16384/2048" 2093203 2082609 
"16384/4096" 2403383 2649496 
"16384/8192" 3034668 3022921 
"16384/16384" 2362890 2365248 
"32768/64" 2377597 2385728 
"32768/128" 2431781 2367807 
"32768/256" 2404468 2273980 
"32768/512" 2344422 2298240 
"32768/1024" 2383122 2037436 
"32768/2048" 2325461 1900144 
"32768/4096" 2394623 1974703 
"32768/8192" 2633696 2377597 
"32768/16384" 2639564 3034387 
"65536/64" 2715733 2589528 
"65536/128" 2670563 2262671 
"65536/256" 2532694 2612142 
"65536/512" 1989320 2635686 
"65536/1024" 2586579 2437470 
"65536/2048" 2490156 2447649 
"65536/4096" 2126964 2173655 
"65536/8192" 2312000 1985039 
"65536/16384" 2503970 2994025 
"131072/64" 3013916 2269806 
"131072/128" 2598264 2233183 
"131072/256" 2693128 2557850 
"131072/512" 2659682 2217957 
"131072/1024" 2638593 2623221 
"131072/2048" 2601202 2541532 
"131072/4096" 2542813 2582749 
"131072/8192" 2067055 2170787 
"131072/16384" 3003969 2763247 
"262144/64" 3040905 2427125 
"262144/128" 2668291 2869732 
"262144/256" 2433367 2324898 
"262144/512" 2730181 2363657 
"262144/1024" 2384665 2683399 
"262144/2048" 2638776 2522968 
"262144/4096" 2429302 2376434 
"262144/8192" 2625274 2461421 
"262144/16384" 2854111 2705778 
"524288/64" 2927726 2804397 
"524288/128" 2797291 2490065 
"524288/256" 2647155 2759541 
"524288/512" 2719817 2728093 
"524288/1024" 2492788 2698814 
"524288/2048" 2478666 2543247 
"524288/4096" 2332461 2360371 
"524288/8192" 2343867 2316629 
"524288/16384" 2671123 2404978 
