Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/read-caching-5 
"64/4" 29711 27244 
"64/8" 61485 31555 
"64/16" 95399 60955 
"64/32" 137320 110932 
"64/64" 169701 155362 
"128/4" 32104 30253 
"128/8" 61924 28596 
"128/16" 102479 35330 
"128/32" 146613 116261 
"128/64" 210471 34857 
"128/128" 205162 260768 
"256/4" 28816 18620 
"256/8" 58594 27684 
"256/16" 87106 51353 
"256/32" 147800 129353 
"256/64" 191746 160097 
"256/128" 208825 92589 
"256/256" 254211 285736 
"512/4" 34254 16734 
"512/8" 62507 22679 
"512/16" 107428 51920 
"512/32" 159547 67941 
"512/64" 177524 188378 
"512/128" 251349 286682 
"512/256" 259771 157257 
"512/512" 393542 136976 
"1024/4" 31999 12222 
"1024/8" 60129 23275 
"1024/16" 102164 50200 
"1024/32" 154124 119864 
"1024/64" 204465 162179 
"1024/128" 231101 97347 
"1024/256" 254791 167237 
"1024/512" 423491 325603 
"1024/1024" 589578 323445 
"2048/4" 20821 15904 
"2048/8" 47498 32288 
"2048/16" 101281 54530 
"2048/32" 152266 55994 
"2048/64" 211789 189419 
"2048/128" 256770 164115 
"2048/256" 283339 239088 
"2048/512" 459900 322568 
"2048/1024" 570463 376540 
"2048/2048" 834881 810156 
"4096/4" 21850 13087 
"4096/8" 35409 22803 
"4096/16" 70504 30192 
"4096/32" 76233 53512 
"4096/64" 209782 145244 
"4096/128" 254978 177647 
"4096/256" 285556 215308 
"4096/512" 447791 420881 
"4096/1024" 597876 649944 
"4096/2048" 805213 894700 
"4096/4096" 829472 848564 
"8192/4" 16732 16958 
"8192/8" 18270 23903 
"8192/16" 33175 44768 
"8192/32" 70682 89452 
"8192/64" 79217 87449 
"8192/128" 252246 142125 
"8192/256" 282815 307715 
"8192/512" 477385 255482 
"8192/1024" 587960 304297 
"8192/2048" 812867 751972 
"8192/4096" 853683 777672 
"8192/8192" 957687 1263188 
"16384/4" 7844 9389 
"16384/8" 28725 13951 
"16384/16" 24324 24174 
"16384/32" 60084 59203 
"16384/64" 106943 83561 
"16384/128" 114959 92416 
"16384/256" 282965 147991 
"16384/512" 462630 320852 
"16384/1024" 579677 473552 
"16384/2048" 778234 428071 
"16384/4096" 849302 542174 
"16384/8192" 865781 881665 
"16384/16384" 979024 976520 
"32768/64" 91872 75280 
"32768/128" 159713 155434 
"32768/256" 139642 215843 
"32768/512" 315927 227505 
"32768/1024" 407020 426405 
"32768/2048" 744878 826288 
"32768/4096" 828985 532016 
"32768/8192" 869152 994357 
"32768/16384" 945990 505498 
"65536/64" 77563 74082 
"65536/128" 113977 83956 
"65536/256" 182694 72579 
"65536/512" 253329 158469 
"65536/1024" 313122 313199 
"65536/2048" 424884 287000 
"65536/4096" 379567 439561 
"65536/8192" 606001 570443 
"65536/16384" 884987 825950 
"131072/64" 70253 66817 
"131072/128" 107026 90276 
"131072/256" 148541 118004 
"131072/512" 213724 143072 
"131072/1024" 292342 287469 
"131072/2048" 373177 350002 
"131072/4096" 501152 516782 
"131072/8192" 739162 453368 
"131072/16384" 820538 934425 
"262144/64" 75430 70032 
"262144/128" 106209 88848 
"262144/256" 137264 110620 
"262144/512" 185163 154463 
"262144/1024" 213850 240430 
"262144/2048" 324463 314929 
"262144/4096" 426138 427740 
"262144/8192" 549163 172329 
"262144/16384" 811385 804275 
"524288/64" 74986 63539 
"524288/128" 103017 78332 
"524288/256" 135524 110948 
"524288/512" 189213 124098 
"524288/1024" 223825 185184 
"524288/2048" 410843 163123 
"524288/4096" 486867 219976 
"524288/8192" 569137 489644 
"524288/16384" 767972 655993 
