Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/read-caching-5 
"64/4" 15369 60028 
"64/8" 19808 131148 
"64/16" 41696 164099 
"64/32" 50073 230257 
"64/64" 102895 313664 
"128/4" 15638 67363 
"128/8" 26457 100711 
"128/16" 46713 162255 
"128/32" 73274 227313 
"128/64" 93845 274641 
"128/128" 157034 304727 
"256/4" 9420 11325 
"256/8" 26865 83385 
"256/16" 47233 44693 
"256/32" 92517 84071 
"256/64" 116107 104066 
"256/128" 149446 137415 
"256/256" 209314 185229 
"512/4" 10964 20481 
"512/8" 33249 21566 
"512/16" 56870 53410 
"512/32" 67582 73627 
"512/64" 111373 134555 
"512/128" 156913 155380 
"512/256" 201022 164472 
"512/512" 42236 258334 
"1024/4" 10721 20369 
"1024/8" 26617 12754 
"1024/16" 50441 51336 
"1024/32" 75571 79570 
"1024/64" 110918 130614 
"1024/128" 154635 146013 
"1024/256" 200084 199452 
"1024/512" 290577 260367 
"1024/1024" 361079 331074 
"2048/4" 10398 20635 
"2048/8" 23782 23402 
"2048/16" 60306 52040 
"2048/32" 85426 71289 
"2048/64" 127967 132436 
"2048/128" 167347 174582 
"2048/256" 213330 251036 
"2048/512" 355193 269506 
"2048/1024" 417112 349542 
"2048/2048" 579664 599152 
"4096/4" 16417 18393 
"4096/8" 26439 25758 
"4096/16" 42500 45294 
"4096/32" 88230 73133 
"4096/64" 133094 125298 
"4096/128" 172579 165910 
"4096/256" 212614 236325 
"4096/512" 311529 252902 
"4096/1024" 447802 377614 
"4096/2048" 576238 548758 
"4096/4096" 514894 469026 
"8192/4" 17943 17342 
"8192/8" 21337 24815 
"8192/16" 68586 64317 
"8192/32" 82118 47716 
"8192/64" 116335 120064 
"8192/128" 155433 152642 
"8192/256" 203999 229590 
"8192/512" 381237 324305 
"8192/1024" 405564 402891 
"8192/2048" 662039 577301 
"8192/4096" 544064 619342 
"8192/8192" 524153 468756 
"16384/4" 15721 18471 
"16384/8" 28457 21951 
"16384/16" 83900 67054 
"16384/32" 95357 83281 
"16384/64" 124118 115178 
"16384/128" 154849 151470 
"16384/256" 201168 189548 
"16384/512" 254129 309980 
"16384/1024" 415226 284806 
"16384/2048" 541956 556258 
"16384/4096" 571648 491159 
"16384/8192" 516941 563663 
"16384/16384" 600055 347758 
"32768/64" 155731 139816 
"32768/128" 161045 155202 
"32768/256" 183154 192265 
"32768/512" 229110 233176 
"32768/1024" 361717 280677 
"32768/2048" 547583 396496 
"32768/4096" 437770 610137 
"32768/8192" 424880 394966 
"32768/16384" 482933 301439 
"65536/64" 156696 173209 
"65536/128" 168593 161026 
"65536/256" 182398 216995 
"65536/512" 238747 198775 
"65536/1024" 324105 320929 
"65536/2048" 467643 436787 
"65536/4096" 380992 412506 
"65536/8192" 434672 425204 
"65536/16384" 393259 371563 
"131072/64" 159694 145759 
"131072/128" 167336 164405 
"131072/256" 203579 193568 
"131072/512" 298426 224348 
"131072/1024" 296741 280702 
"131072/2048" 420411 406038 
"131072/4096" 403540 448918 
"131072/8192" 359101 418678 
"131072/16384" 434495 422785 
"262144/64" 166864 171458 
"262144/128" 190643 181124 
"262144/256" 205959 190010 
"262144/512" 307529 242882 
"262144/1024" 346015 316442 
"262144/2048" 363078 401589 
"262144/4096" 347031 325169 
"262144/8192" 434240 398879 
"262144/16384" 393083 356906 
"524288/64" 165858 167051 
"524288/128" 184977 189761 
"524288/256" 209503 223769 
"524288/512" 282942 256212 
"524288/1024" 330882 326783 
"524288/2048" 402895 382852 
"524288/4096" 411315 404616 
"524288/8192" 377204 387963 
"524288/16384" 492376 342837 
