Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/read-caching-5 
"64/4" 28059 26328 
"64/8" 50317 50280 
"64/16" 86125 70256 
"64/32" 140409 128265 
"64/64" 193424 165312 
"128/4" 13467 13220 
"128/8" 54677 52936 
"128/16" 96096 93016 
"128/32" 128906 129810 
"128/64" 194532 184124 
"128/128" 200638 201240 
"256/4" 25780 21315 
"256/8" 57129 53612 
"256/16" 87948 91360 
"256/32" 151641 138229 
"256/64" 160312 150514 
"256/128" 222776 215489 
"256/256" 240167 288966 
"512/4" 25608 27516 
"512/8" 57514 31916 
"512/16" 37948 84004 
"512/32" 124572 126450 
"512/64" 158804 184241 
"512/128" 229583 222703 
"512/256" 247098 264866 
"512/512" 385488 92203 
"1024/4" 23747 24149 
"1024/8" 44334 35276 
"1024/16" 95816 72061 
"1024/32" 141106 83907 
"1024/64" 176734 44009 
"1024/128" 205748 215938 
"1024/256" 250979 251966 
"1024/512" 408623 181814 
"1024/1024" 573671 133297 
"2048/4" 29223 29426 
"2048/8" 44407 27008 
"2048/16" 76040 74074 
"2048/32" 139785 89019 
"2048/64" 194027 182334 
"2048/128" 227151 231411 
"2048/256" 248574 245245 
"2048/512" 422093 360439 
"2048/1024" 543811 158049 
"2048/2048" 819196 103911 
"4096/4" 35352 28889 
"4096/8" 54923 42952 
"4096/16" 64519 57840 
"4096/32" 91103 81974 
"4096/64" 198171 188763 
"4096/128" 244390 221188 
"4096/256" 260459 297978 
"4096/512" 450350 370010 
"4096/1024" 584969 452699 
"4096/2048" 771962 375091 
"4096/4096" 821028 38838 
"8192/4" 44898 30811 
"8192/8" 58257 58661 
"8192/16" 78965 66995 
"8192/32" 106016 109130 
"8192/64" 129497 109999 
"8192/128" 243990 252706 
"8192/256" 242258 299077 
"8192/512" 434423 301531 
"8192/1024" 530539 355555 
"8192/2048" 817236 272649 
"8192/4096" 843311 218944 
"8192/8192" 862057 350624 
"16384/4" 49670 30127 
"16384/8" 69698 66288 
"16384/16" 105724 102918 
"16384/32" 135561 135013 
"16384/64" 147880 135403 
"16384/128" 173804 209425 
"16384/256" 274826 241983 
"16384/512" 415751 341975 
"16384/1024" 466778 460846 
"16384/2048" 799102 716053 
"16384/4096" 846321 751387 
"16384/8192" 845707 227259 
"16384/16384" 998890 226248 
"32768/64" 186923 191916 
"32768/128" 212808 231654 
"32768/256" 193206 242282 
"32768/512" 369979 253214 
"32768/1024" 554675 418498 
"32768/2048" 517832 642058 
"32768/4096" 855652 439414 
"32768/8192" 871583 330715 
"32768/16384" 1008742 944813 
"65536/64" 201716 222120 
"65536/128" 199014 250789 
"65536/256" 249462 292238 
"65536/512" 379491 333057 
"65536/1024" 489622 413962 
"65536/2048" 612440 611308 
"65536/4096" 720651 531978 
"65536/8192" 731093 561740 
"65536/16384" 1001680 413233 
"131072/64" 213520 194465 
"131072/128" 246809 252084 
"131072/256" 254646 285495 
"131072/512" 404596 312138 
"131072/1024" 476424 444795 
"131072/2048" 678114 594540 
"131072/4096" 756714 708800 
"131072/8192" 786869 560127 
"131072/16384" 922028 923262 
"262144/64" 231222 223352 
"262144/128" 251090 276823 
"262144/256" 273267 314657 
"262144/512" 419917 297339 
"262144/1024" 488854 447484 
"262144/2048" 744997 628314 
"262144/4096" 786780 714239 
"262144/8192" 988819 745304 
"262144/16384" 1052572 812033 
"524288/64" 225131 175168 
"524288/128" 258186 257129 
"524288/256" 291249 261899 
"524288/512" 486884 325268 
"524288/1024" 564456 417725 
"524288/2048" 738469 682854 
"524288/4096" 815540 478114 
"524288/8192" 777701 599087 
"524288/16384" 1130082 327024 
