Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/read-caching-5 
"64/4" 16798 64779 
"64/8" 23522 91810 
"64/16" 38814 205099 
"64/32" 50195 181399 
"64/64" 129254 232854 
"128/4" 16038 13407 
"128/8" 26727 21077 
"128/16" 49400 37316 
"128/32" 71670 64552 
"128/64" 94672 95379 
"128/128" 186815 138518 
"256/4" 10344 3308 
"256/8" 37531 28850 
"256/16" 54491 47187 
"256/32" 81972 70387 
"256/64" 96387 118138 
"256/128" 145045 155528 
"256/256" 185229 227545 
"512/4" 8958 18509 
"512/8" 25584 39252 
"512/16" 49084 54643 
"512/32" 81502 87954 
"512/64" 112059 124630 
"512/128" 144516 161503 
"512/256" 186643 203575 
"512/512" 357329 241512 
"1024/4" 14464 21688 
"1024/8" 33057 22490 
"1024/16" 56577 62313 
"1024/32" 91616 80516 
"1024/64" 123107 125258 
"1024/128" 158265 169114 
"1024/256" 210271 204914 
"1024/512" 303406 231412 
"1024/1024" 452111 351044 
"2048/4" 15227 20152 
"2048/8" 25385 25080 
"2048/16" 54845 31631 
"2048/32" 92106 90618 
"2048/64" 127055 133066 
"2048/128" 171971 193572 
"2048/256" 223040 220001 
"2048/512" 365267 232042 
"2048/1024" 462500 413916 
"2048/2048" 537112 519914 
"4096/4" 18076 18444 
"4096/8" 22001 25618 
"4096/16" 44432 45790 
"4096/32" 90216 86175 
"4096/64" 133185 137021 
"4096/128" 173025 194593 
"4096/256" 208820 216950 
"4096/512" 341930 289589 
"4096/1024" 413566 317394 
"4096/2048" 584969 578528 
"4096/4096" 523316 33733 
"8192/4" 17855 20968 
"8192/8" 29107 37152 
"8192/16" 78603 73955 
"8192/32" 64588 68978 
"8192/64" 121897 120099 
"8192/128" 161868 183512 
"8192/256" 218821 258342 
"8192/512" 356747 281153 
"8192/1024" 416811 437420 
"8192/2048" 521449 523913 
"8192/4096" 540300 445046 
"8192/8192" 533786 131122 
"16384/4" 16579 18506 
"16384/8" 32283 25855 
"16384/16" 106653 64301 
"16384/32" 107319 85280 
"16384/64" 110655 106376 
"16384/128" 142726 173708 
"16384/256" 195366 240774 
"16384/512" 345050 331030 
"16384/1024" 421463 470453 
"16384/2048" 605112 458497 
"16384/4096" 613102 480411 
"16384/8192" 599820 108852 
"16384/16384" 659104 146865 
"32768/64" 131839 144821 
"32768/128" 155852 148175 
"32768/256" 196641 203744 
"32768/512" 299374 228537 
"32768/1024" 341910 353457 
"32768/2048" 592701 461561 
"32768/4096" 536318 234985 
"32768/8192" 598055 436760 
"32768/16384" 525726 248942 
"65536/64" 163783 147360 
"65536/128" 175912 152382 
"65536/256" 189680 201692 
"65536/512" 292358 275129 
"65536/1024" 350870 363299 
"65536/2048" 426819 444628 
"65536/4096" 391098 447824 
"65536/8192" 414462 412960 
"65536/16384" 376342 423448 
"131072/64" 182832 165284 
"131072/128" 184331 159975 
"131072/256" 205495 192375 
"131072/512" 303794 261078 
"131072/1024" 296118 324434 
"131072/2048" 398072 458362 
"131072/4096" 428687 436861 
"131072/8192" 431457 390714 
"131072/16384" 423204 401214 
"262144/64" 170512 169078 
"262144/128" 179710 173446 
"262144/256" 207341 226653 
"262144/512" 313418 314806 
"262144/1024" 351566 327500 
"262144/2048" 430994 401870 
"262144/4096" 443450 286274 
"262144/8192" 431125 248583 
"262144/16384" 400338 330176 
"524288/64" 172436 169607 
"524288/128" 181212 165638 
"524288/256" 210270 232172 
"524288/512" 302543 253297 
"524288/1024" 325889 345869 
"524288/2048" 410879 412712 
"524288/4096" 434471 384924 
"524288/8192" 408765 348858 
"524288/16384" 419476 178655 
