Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/read-caching-5 
"64/4" 28307 24643 
"64/8" 48082 33022 
"64/16" 93570 61135 
"64/32" 128758 109217 
"64/64" 167897 144180 
"128/4" 29816 23214 
"128/8" 49459 28380 
"128/16" 99295 17000 
"128/32" 135580 111111 
"128/64" 202531 174433 
"128/128" 233137 330828 
"256/4" 28412 29843 
"256/8" 58128 17186 
"256/16" 85962 17488 
"256/32" 152394 51737 
"256/64" 194984 157145 
"256/128" 215835 98419 
"256/256" 245943 365242 
"512/4" 31145 15928 
"512/8" 58440 25558 
"512/16" 100331 40071 
"512/32" 152468 76179 
"512/64" 172159 106575 
"512/128" 242193 238243 
"512/256" 243125 158511 
"512/512" 393253 149277 
"1024/4" 28885 19083 
"1024/8" 58165 19217 
"1024/16" 102400 66013 
"1024/32" 87135 48379 
"1024/64" 186625 128254 
"1024/128" 222217 240886 
"1024/256" 258067 200233 
"1024/512" 434282 246570 
"1024/1024" 571154 357532 
"2048/4" 30505 27903 
"2048/8" 57766 24955 
"2048/16" 100406 56619 
"2048/32" 155280 125613 
"2048/64" 207708 163918 
"2048/128" 239108 166572 
"2048/256" 265417 193224 
"2048/512" 444457 126287 
"2048/1024" 572402 254224 
"2048/2048" 824148 543089 
"4096/4" 30591 18514 
"4096/8" 58138 33197 
"4096/16" 100791 65533 
"4096/32" 152910 81117 
"4096/64" 204861 145671 
"4096/128" 252623 185961 
"4096/256" 272014 162599 
"4096/512" 121875 288675 
"4096/1024" 594566 586227 
"4096/2048" 789995 788725 
"4096/4096" 824971 190538 
"8192/4" 45797 35384 
"8192/8" 64470 37287 
"8192/16" 103562 64162 
"8192/32" 148424 118059 
"8192/64" 164125 184293 
"8192/128" 258113 253536 
"8192/256" 282482 203491 
"8192/512" 461131 342075 
"8192/1024" 605118 353849 
"8192/2048" 832603 577505 
"8192/4096" 880865 819595 
"8192/8192" 903803 864226 
"16384/4" 56391 21528 
"16384/8" 78932 36274 
"16384/16" 86427 63870 
"16384/32" 145645 89150 
"16384/64" 201693 106430 
"16384/128" 197857 130694 
"16384/256" 257265 221420 
"16384/512" 460599 284806 
"16384/1024" 567864 315629 
"16384/2048" 817974 667342 
"16384/4096" 858115 803099 
"16384/8192" 858426 674296 
"16384/16384" 986458 637686 
"32768/64" 135247 175026 
"32768/128" 221625 236383 
"32768/256" 202605 290082 
"32768/512" 355104 358971 
"32768/1024" 541610 553270 
"32768/2048" 480462 624618 
"32768/4096" 850121 663079 
"32768/8192" 879582 925728 
"32768/16384" 996867 587934 
"65536/64" 220573 161518 
"65536/128" 242334 105457 
"65536/256" 248372 207820 
"65536/512" 400366 248863 
"65536/1024" 382383 289144 
"65536/2048" 714414 577887 
"65536/4096" 711929 541579 
"65536/8192" 754589 751137 
"65536/16384" 878112 931569 
"131072/64" 244629 187623 
"131072/128" 239686 162495 
"131072/256" 261406 198294 
"131072/512" 406486 217792 
"131072/1024" 481367 397578 
"131072/2048" 713157 576959 
"131072/4096" 696557 524120 
"131072/8192" 768110 703028 
"131072/16384" 904937 1127549 
"262144/64" 246554 207476 
"262144/128" 270776 125621 
"262144/256" 273338 239456 
"262144/512" 447891 146440 
"262144/1024" 545597 403974 
"262144/2048" 763264 319469 
"262144/4096" 817228 254249 
"262144/8192" 852847 664323 
"262144/16384" 1051276 961220 
"524288/64" 203424 125709 
"524288/128" 274998 127626 
"524288/256" 283407 205921 
"524288/512" 485407 124455 
"524288/1024" 578534 211085 
"524288/2048" 808131 316066 
"524288/4096" 805088 255552 
"524288/8192" 859247 652684 
"524288/16384" 823254 378840 
