Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/read-caching-5 
"64/4" 3014 15009 
"64/8" 24844 28430 
"64/16" 40198 38414 
"64/32" 36762 48923 
"64/64" 91435 109040 
"128/4" 37460 35935 
"128/8" 23180 8493 
"128/16" 44769 41001 
"128/32" 70485 56969 
"128/64" 91494 98008 
"128/128" 134023 139128 
"256/4" 13453 13639 
"256/8" 25211 11751 
"256/16" 39373 45478 
"256/32" 77645 71412 
"256/64" 100709 97596 
"256/128" 138819 148577 
"256/256" 182584 224359 
"512/4" 8135 9798 
"512/8" 28702 31757 
"512/16" 48179 35054 
"512/32" 70223 76830 
"512/64" 95862 106180 
"512/128" 137115 157396 
"512/256" 187343 207450 
"512/512" 305874 205288 
"1024/4" 12669 19749 
"1024/8" 24691 28306 
"1024/16" 54671 39245 
"1024/32" 84530 50041 
"1024/64" 106933 113210 
"1024/128" 150654 42146 
"1024/256" 212582 150279 
"1024/512" 285402 319594 
"1024/1024" 394910 351648 
"2048/4" 13974 15587 
"2048/8" 35502 21807 
"2048/16" 57335 23610 
"2048/32" 85113 50193 
"2048/64" 123484 123596 
"2048/128" 96118 170057 
"2048/256" 196077 115981 
"2048/512" 323540 317020 
"2048/1024" 367817 394834 
"2048/2048" 161693 645869 
"4096/4" 17705 11220 
"4096/8" 24735 22858 
"4096/16" 68097 51459 
"4096/32" 49030 59998 
"4096/64" 114445 125340 
"4096/128" 163682 152345 
"4096/256" 212108 145666 
"4096/512" 306516 241253 
"4096/1024" 431429 430251 
"4096/2048" 163414 322089 
"4096/4096" 480975 560557 
"8192/4" 15887 16425 
"8192/8" 23914 24466 
"8192/16" 75964 48411 
"8192/32" 98946 63574 
"8192/64" 136030 96376 
"8192/128" 164882 171230 
"8192/256" 203548 251751 
"8192/512" 314823 351784 
"8192/1024" 418644 357166 
"8192/2048" 445433 512864 
"8192/4096" 533678 502483 
"8192/8192" 413943 415420 
"16384/4" 17541 18888 
"16384/8" 41728 24599 
"16384/16" 89411 65560 
"16384/32" 114044 86051 
"16384/64" 121431 111635 
"16384/128" 125944 128336 
"16384/256" 192085 155301 
"16384/512" 316561 249364 
"16384/1024" 450496 397689 
"16384/2048" 586234 521353 
"16384/4096" 615177 575584 
"16384/8192" 594290 522781 
"16384/16384" 592098 547265 
"32768/64" 157181 146877 
"32768/128" 162423 130907 
"32768/256" 183955 182062 
"32768/512" 260049 230502 
"32768/1024" 358609 305017 
"32768/2048" 581189 543353 
"32768/4096" 568416 346413 
"32768/8192" 591789 456295 
"32768/16384" 632415 576818 
"65536/64" 164742 158974 
"65536/128" 179723 170058 
"65536/256" 186260 191440 
"65536/512" 250206 239465 
"65536/1024" 346091 258941 
"65536/2048" 449918 487310 
"65536/4096" 451253 427119 
"65536/8192" 449233 428427 
"65536/16384" 455392 434660 
"131072/64" 179500 183053 
"131072/128" 184670 156174 
"131072/256" 200779 186730 
"131072/512" 285057 263323 
"131072/1024" 316680 303909 
"131072/2048" 428139 391424 
"131072/4096" 392608 424142 
"131072/8192" 411936 392250 
"131072/16384" 400367 389991 
"262144/64" 163732 169832 
"262144/128" 181629 181912 
"262144/256" 213314 205988 
"262144/512" 300624 251687 
"262144/1024" 354168 331626 
"262144/2048" 434756 363044 
"262144/4096" 409426 392732 
"262144/8192" 404756 389994 
"262144/16384" 390698 387519 
"524288/64" 171061 172109 
"524288/128" 186071 183586 
"524288/256" 207089 202080 
"524288/512" 299873 254015 
"524288/1024" 339842 323379 
"524288/2048" 394222 390251 
"524288/4096" 406863 388326 
"524288/8192" 413689 376174 
"524288/16384" 430541 380234 
