Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/read-caching-5 
"64/4" 28044 23827 
"64/8" 47579 13217 
"64/16" 73147 70718 
"64/32" 84525 27571 
"64/64" 160854 181767 
"128/4" 30253 22126 
"128/8" 54912 53892 
"128/16" 68928 75246 
"128/32" 118415 108550 
"128/64" 170662 147499 
"128/128" 196023 194814 
"256/4" 16069 10222 
"256/8" 57435 36097 
"256/16" 84996 93565 
"256/32" 128579 111455 
"256/64" 168197 170197 
"256/128" 208622 210876 
"256/256" 274627 259370 
"512/4" 17770 13325 
"512/8" 29135 19222 
"512/16" 96582 61309 
"512/32" 135660 83239 
"512/64" 169817 174637 
"512/128" 203498 206037 
"512/256" 254477 226651 
"512/512" 439445 287334 
"1024/4" 22215 18028 
"1024/8" 47208 25511 
"1024/16" 92872 53048 
"1024/32" 141552 118820 
"1024/64" 193285 189943 
"1024/128" 240873 204924 
"1024/256" 254655 276830 
"1024/512" 378117 273498 
"1024/1024" 495393 356050 
"2048/4" 16078 18556 
"2048/8" 55869 25233 
"2048/16" 78747 65605 
"2048/32" 146864 115451 
"2048/64" 175269 160779 
"2048/128" 239588 281316 
"2048/256" 277732 128168 
"2048/512" 499885 112453 
"2048/1024" 560964 250795 
"2048/2048" 637197 428451 
"4096/4" 27019 16367 
"4096/8" 43760 25207 
"4096/16" 75222 59613 
"4096/32" 106059 89753 
"4096/64" 202361 151692 
"4096/128" 238653 165595 
"4096/256" 279858 259468 
"4096/512" 403664 467634 
"4096/1024" 531131 586147 
"4096/2048" 819540 203761 
"4096/4096" 306768 301513 
"8192/4" 23953 22845 
"8192/8" 23864 32756 
"8192/16" 54071 55823 
"8192/32" 103345 93726 
"8192/64" 192278 193435 
"8192/128" 245292 174520 
"8192/256" 219412 208261 
"8192/512" 519070 266468 
"8192/1024" 581699 298749 
"8192/2048" 675962 257311 
"8192/4096" 828908 776933 
"8192/8192" 828308 315438 
"16384/4" 10068 9256 
"16384/8" 19542 19592 
"16384/16" 34710 28023 
"16384/32" 87090 49469 
"16384/64" 146802 105047 
"16384/128" 170345 182504 
"16384/256" 280798 246002 
"16384/512" 416717 302662 
"16384/1024" 533682 314188 
"16384/2048" 598545 651500 
"16384/4096" 614852 314817 
"16384/8192" 886247 919523 
"16384/16384" 663451 849922 
"32768/64" 84706 118703 
"32768/128" 216220 199659 
"32768/256" 268742 359318 
"32768/512" 465554 420485 
"32768/1024" 573920 683807 
"32768/2048" 669898 516274 
"32768/4096" 832651 483703 
"32768/8192" 828520 427948 
"32768/16384" 991467 672965 
"65536/64" 86353 82523 
"65536/128" 166628 143103 
"65536/256" 262866 115073 
"65536/512" 392071 213463 
"65536/1024" 408136 451838 
"65536/2048" 739842 634910 
"65536/4096" 778003 640907 
"65536/8192" 882544 378855 
"65536/16384" 971726 982489 
"131072/64" 100372 94081 
"131072/128" 149253 116279 
"131072/256" 219364 149467 
"131072/512" 322034 122975 
"131072/1024" 378159 395537 
"131072/2048" 686064 576995 
"131072/4096" 723683 636426 
"131072/8192" 722897 586420 
"131072/16384" 694999 759041 
"262144/64" 107180 71455 
"262144/128" 158478 111995 
"262144/256" 240179 134437 
"262144/512" 325885 236976 
"262144/1024" 457245 312876 
"262144/2048" 632964 478407 
"262144/4096" 666849 386064 
"262144/8192" 672041 562992 
"262144/16384" 751619 909575 
"524288/64" 111775 85543 
"524288/128" 145568 107926 
"524288/256" 182654 136940 
"524288/512" 342821 154635 
"524288/1024" 362102 355811 
"524288/2048" 621965 218540 
"524288/4096" 575914 374361 
"524288/8192" 627725 442139 
"524288/16384" 801341 342729 
