Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/read-caching-5 
"64/4" 12302 12463 
"64/8" 23615 20163 
"64/16" 40458 41748 
"64/32" 46677 54885 
"64/64" 93019 106487 
"128/4" 14181 6591 
"128/8" 26287 22273 
"128/16" 40632 40482 
"128/32" 56716 68515 
"128/64" 88158 95243 
"128/128" 148314 146613 
"256/4" 12378 12416 
"256/8" 29813 10255 
"256/16" 45730 39831 
"256/32" 95124 77853 
"256/64" 111259 110005 
"256/128" 140748 169338 
"256/256" 205942 253431 
"512/4" 11204 18507 
"512/8" 15128 23330 
"512/16" 60944 49512 
"512/32" 73860 73068 
"512/64" 100968 95733 
"512/128" 143176 151297 
"512/256" 198992 231364 
"512/512" 305482 236929 
"1024/4" 14127 20297 
"1024/8" 23501 17597 
"1024/16" 52467 28005 
"1024/32" 82594 85299 
"1024/64" 107697 109087 
"1024/128" 150474 145228 
"1024/256" 195868 224905 
"1024/512" 345149 278788 
"1024/1024" 431143 298452 
"2048/4" 15540 23600 
"2048/8" 23056 26684 
"2048/16" 46463 38868 
"2048/32" 91760 84398 
"2048/64" 119618 123835 
"2048/128" 153718 171305 
"2048/256" 195044 233340 
"2048/512" 322932 320594 
"2048/1024" 378698 374749 
"2048/2048" 609007 585991 
"4096/4" 16037 16578 
"4096/8" 25995 23550 
"4096/16" 48977 35211 
"4096/32" 80367 62279 
"4096/64" 124430 133017 
"4096/128" 160550 159055 
"4096/256" 199009 236094 
"4096/512" 339015 352286 
"4096/1024" 397288 448621 
"4096/2048" 603950 417871 
"4096/4096" 598043 485364 
"8192/4" 15511 17285 
"8192/8" 20482 19850 
"8192/16" 63567 47808 
"8192/32" 82184 64495 
"8192/64" 118760 120633 
"8192/128" 157175 174057 
"8192/256" 214488 206409 
"8192/512" 304332 359690 
"8192/1024" 433070 339141 
"8192/2048" 541722 473034 
"8192/4096" 529060 595089 
"8192/8192" 547523 580903 
"16384/4" 15969 17006 
"16384/8" 21426 38823 
"16384/16" 88496 70393 
"16384/32" 103038 87910 
"16384/64" 109167 109925 
"16384/128" 165543 171060 
"16384/256" 204938 245130 
"16384/512" 329081 251435 
"16384/1024" 423009 383871 
"16384/2048" 558836 534217 
"16384/4096" 532709 516843 
"16384/8192" 622589 530534 
"16384/16384" 599072 554543 
"32768/64" 129108 148804 
"32768/128" 152829 133927 
"32768/256" 195267 175061 
"32768/512" 262121 219484 
"32768/1024" 428345 361192 
"32768/2048" 659316 592162 
"32768/4096" 552861 481655 
"32768/8192" 515026 551715 
"32768/16384" 572868 561000 
"65536/64" 158933 165824 
"65536/128" 177228 168466 
"65536/256" 184457 185205 
"65536/512" 276976 238241 
"65536/1024" 356631 325926 
"65536/2048" 466980 462929 
"65536/4096" 496435 510238 
"65536/8192" 432045 418741 
"65536/16384" 450871 443574 
"131072/64" 157476 163726 
"131072/128" 179811 162850 
"131072/256" 228430 207229 
"131072/512" 267105 258045 
"131072/1024" 344724 346692 
"131072/2048" 471175 372024 
"131072/4096" 485847 446003 
"131072/8192" 428317 353549 
"131072/16384" 484313 450608 
"262144/64" 172439 156534 
"262144/128" 174090 170697 
"262144/256" 206544 189748 
"262144/512" 283794 237294 
"262144/1024" 327530 322323 
"262144/2048" 391246 360614 
"262144/4096" 444346 383731 
"262144/8192" 428723 398858 
"262144/16384" 438276 388655 
"524288/64" 168569 155384 
"524288/128" 186112 160033 
"524288/256" 203011 203776 
"524288/512" 292139 239140 
"524288/1024" 337059 289356 
"524288/2048" 410273 389037 
"524288/4096" 403386 394548 
"524288/8192" 390206 376573 
"524288/16384" 412028 385001 
