Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 29357 32014 
"64/8" 33698 33006 
"64/16" 69492 53603 
"64/32" 104254 43920 
"64/64" 137602 171985 
"128/4" 10291 12577 
"128/8" 55577 32561 
"128/16" 78377 60378 
"128/32" 129685 18419 
"128/64" 11800 42782 
"128/128" 187402 231030 
"256/4" 14484 8649 
"256/8" 50335 18554 
"256/16" 75632 58515 
"256/32" 143821 86370 
"256/64" 144947 38022 
"256/128" 202676 137697 
"256/256" 237458 79898 
"512/4" 19178 10578 
"512/8" 58374 21517 
"512/16" 96495 38137 
"512/32" 129033 74635 
"512/64" 188230 72860 
"512/128" 54225 40576 
"512/256" 251349 84640 
"512/512" 376500 194821 
"1024/4" 20696 8668 
"1024/8" 25951 16845 
"1024/16" 54185 36972 
"1024/32" 132112 64382 
"1024/64" 177560 76733 
"1024/128" 204348 100155 
"1024/256" 121142 119278 
"1024/512" 404239 164603 
"1024/1024" 630148 203333 
"2048/4" 14489 8425 
"2048/8" 34197 16262 
"2048/16" 65024 42134 
"2048/32" 86223 124272 
"2048/64" 188927 73064 
"2048/128" 213622 79413 
"2048/256" 273976 390029 
"2048/512" 220402 168160 
"2048/1024" 555630 406743 
"2048/2048" 913453 142342 
"4096/4" 20688 30701 
"4096/8" 30299 28329 
"4096/16" 57841 50728 
"4096/32" 147084 113481 
"4096/64" 139996 216240 
"4096/128" 218743 280625 
"4096/256" 174349 364607 
"4096/512" 423318 389833 
"4096/1024" 535134 612805 
"4096/2048" 881796 730380 
"4096/4096" 920047 1250645 
"8192/4" 17296 34685 
"8192/8" 24680 24021 
"8192/16" 40894 48083 
"8192/32" 107705 96216 
"8192/64" 188664 200474 
"8192/128" 254434 300295 
"8192/256" 280682 367736 
"8192/512" 471295 507973 
"8192/1024" 600360 673630 
"8192/2048" 526442 798046 
"8192/4096" 541475 937847 
"8192/8192" 727008 1114425 
"16384/4" 10185 34711 
"16384/8" 18708 33904 
"16384/16" 26376 41690 
"16384/32" 56405 132619 
"16384/64" 92877 86798 
"16384/128" 248819 83293 
"16384/256" 281076 421042 
"16384/512" 486073 495372 
"16384/1024" 576047 700441 
"16384/2048" 623652 628081 
"16384/4096" 813866 750386 
"16384/8192" 885425 855477 
"16384/16384" 996168 1426431 
"32768/64" 79431 207136 
"32768/128" 160894 286759 
"32768/256" 255630 356630 
"32768/512" 467006 110566 
"32768/1024" 589722 761089 
"32768/2048" 817827 708496 
"32768/4096" 857263 1128289 
"32768/8192" 872529 938080 
"32768/16384" 1021191 874511 
"65536/64" 81122 72694 
"65536/128" 130387 79823 
"65536/256" 224358 82725 
"65536/512" 283903 111067 
"65536/1024" 432620 652287 
"65536/2048" 812124 410683 
"65536/4096" 859431 558042 
"65536/8192" 958983 657675 
"65536/16384" 1001009 785765 
"131072/64" 80324 67288 
"131072/128" 107789 60243 
"131072/256" 164644 80094 
"131072/512" 206055 112995 
"131072/1024" 316194 283722 
"131072/2048" 493975 293990 
"131072/4096" 585890 1151473 
"131072/8192" 730479 1216333 
"131072/16384" 871408 243632 
"262144/64" 75870 157412 
"262144/128" 113369 63204 
"262144/256" 137597 391404 
"262144/512" 185283 379097 
"262144/1024" 282433 259795 
"262144/2048" 462242 367785 
"262144/4096" 518776 513117 
"262144/8192" 612268 524443 
"262144/16384" 859280 694925 
"524288/64" 75154 111133 
"524288/128" 106134 104378 
"524288/256" 141125 386551 
"524288/512" 202430 260658 
"524288/1024" 263136 607673 
"524288/2048" 367330 364263 
"524288/4096" 488845 505868 
"524288/8192" 593222 490303 
"524288/16384" 780944 698907 
