Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 5735102 5860307 
"64/8" 4564786 4018152 
"64/16" 3363612 6421025 
"64/32" 4897948 4564786 
"64/64" 4274062 4988978 
"128/4" 3657016 3468030 
"128/8" 4407601 4407601 
"128/16" 6406138 4267461 
"128/32" 6114306 7082197 
"128/64" 4557257 5603747 
"128/128" 4557257 7176872 
"256/4" 3197509 3705040 
"256/8" 4477549 4840911 
"256/16" 4998665 5217259 
"256/32" 4929815 5455847 
"256/64" 8024634 5971678 
"256/128" 5217259 5687020 
"256/256" 5971678 5810112 
"512/4" 3678421 4131319 
"512/8" 7435738 6246213 
"512/16" 5227492 7022379 
"512/32" 5684095 7211022 
"512/64" 7758090 7871843 
"512/128" 5807059 5951911 
"512/256" 5684095 8562340 
"512/512" 8394979 6018636 
"1024/4" 3984917 3937426 
"1024/8" 7420395 6733974 
"1024/16" 8199542 5789881 
"1024/32" 6208343 7369466 
"1024/64" 8680108 6441107 
"1024/128" 8895850 6163794 
"1024/256" 6819511 8457895 
"1024/512" 6208343 6172653 
"1024/1024" 6059442 6280976 
"2048/4" 6243566 3955204 
"2048/8" 6780783 2147051 
"2048/16" 5953632 6132138 
"2048/32" 8059569 6563185 
"2048/64" 9752360 6440169 
"2048/128" 6603549 8608824 
"2048/256" 9708272 7106133 
"2048/512" 8903279 7874853 
"2048/1024" 9483197 5769681 
"2048/2048" 8036946 8261095 
"4096/4" 4208889 5340661 
"4096/8" 5396016 6500617 
"4096/16" 8811067 8497289 
"4096/32" 9593374 6552685 
"4096/64" 9183139 1988225 
"4096/128" 6989921 7099689 
"4096/256" 9701724 7161842 
"4096/512" 9482180 6989921 
"4096/1024" 9105266 9545402 
"4096/2048" 6758923 10036109 
"4096/4096" 8620945 7831080 
"8192/4" 4354953 3897073 
"8192/8" 6895660 5053790 
"8192/16" 7719891 5810089 
"8192/32" 6590145 8047143 
"8192/64" 7328036 8743368 
"8192/128" 7142200 8797093 
"8192/256" 10343693 8603257 
"8192/512" 9536939 8688097 
"8192/1024" 10315743 7130343 
"8192/2048" 10190307 9172856 
"8192/4096" 6177802 7130343 
"8192/8192" 5588034 6937429 
"16384/4" 5323045 4844242 
"16384/8" 6697931 5193114 
"16384/16" 6056817 5327997 
"16384/32" 9900792 8312700 
"16384/64" 9389438 6844020 
"16384/128" 9599293 6755877 
"16384/256" 10474243 6983824 
"16384/512" 9604660 9209496 
"16384/1024" 10429731 7007325 
"16384/2048" 7481865 9869509 
"16384/4096" 8376536 6412309 
"16384/8192" 6540472 5669079 
"16384/16384" 6912867 6829736 
"32768/64" 10431952 9834062 
"32768/128" 8567014 8449563 
"32768/256" 10673373 6952666 
"32768/512" 10556955 7068157 
"32768/1024" 10646090 5072333 
"32768/2048" 8291539 8208346 
"32768/4096" 8323173 7905693 
"32768/8192" 6242740 5885077 
"32768/16384" 5434129 4679122 
"65536/64" 9144063 8333723 
"65536/128" 10142046 7935089 
"65536/256" 10291658 7152168 
"65536/512" 10546750 5943716 
"65536/1024" 10532606 7044573 
"65536/2048" 10146538 7118827 
"65536/4096" 8461737 6297922 
"65536/8192" 6291291 6308908 
"65536/16384" 6857237 4565713 
"131072/64" 10166015 7314686 
"131072/128" 10041604 7565016 
"131072/256" 9707030 6944885 
"131072/512" 9404479 9673893 
"131072/1024" 9577826 6429831 
"131072/2048" 9412691 7586521 
"131072/4096" 9177463 6991964 
"131072/8192" 6540522 6391854 
"131072/16384" 6663884 5938118 
"262144/64" 10934016 7856134 
"262144/128" 9233633 9925199 
"262144/256" 11605470 9298210 
"262144/512" 10965640 7494772 
"262144/1024" 11069413 7524211 
"262144/2048" 10724661 10841833 
"262144/4096" 9059409 7590911 
"262144/8192" 6975985 4782943 
"262144/16384" 6965997 6055653 
"524288/64" 10997106 7872187 
"524288/128" 11087597 9128676 
"524288/256" 9810594 8176789 
"524288/512" 9335941 9352578 
"524288/1024" 12008134 7668840 
"524288/2048" 12124193 9369474 
"524288/4096" 8500683 6156731 
"524288/8192" 6822573 6541814 
"524288/16384" 7013515 6353009 
