Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 3057153 5860307 
"64/8" 4207076 2561267 
"64/16" 2662899 3791156 
"64/32" 2561267 3203069 
"64/64" 2662899 3363612 
"128/4" 3053774 3468030 
"128/8" 3759450 3759450 
"128/16" 3759450 4012317 
"128/32" 4012317 4267461 
"128/64" 3657016 4012317 
"128/128" 4135958 3895854 
"256/4" 5117791 3770085 
"256/8" 3245838 3823789 
"256/16" 3410808 3950402 
"256/32" 3545976 6107548 
"256/64" 5687020 4332998 
"256/128" 5810112 4070199 
"256/256" 3705040 4132864 
"512/4" 3710197 4827914 
"512/8" 4973263 4340054 
"512/16" 5886650 4494470 
"512/32" 3913012 5331314 
"512/64" 3905895 4262523 
"512/128" 3788747 4305250 
"512/256" 4000485 5453155 
"512/512" 4061007 3970896 
"1024/4" 3655895 3849207 
"1024/8" 4574926 5782087 
"1024/16" 4374559 4304412 
"1024/32" 4162573 6317933 
"1024/64" 4433259 4048778 
"1024/128" 7319232 4550690 
"1024/256" 5169641 6137371 
"1024/512" 7420395 4396951 
"1024/1024" 5042191 3761557 
"2048/4" 5785224 4071433 
"2048/8" 6845629 4238163 
"2048/16" 6114678 4623699 
"2048/32" 6298503 4960102 
"2048/64" 7343043 4531020 
"2048/128" 7419150 5032754 
"2048/256" 7262337 5119743 
"2048/512" 7368238 4829046 
"2048/1024" 4321315 4490751 
"2048/2048" 7343043 4842658 
"4096/4" 5159420 5719367 
"4096/8" 6389405 4418911 
"4096/16" 7135072 6955959 
"4096/32" 7380284 7161842 
"4096/64" 4887857 7004170 
"4096/128" 5019235 7277121 
"4096/256" 4746074 6669706 
"4096/512" 4910209 4941279 
"4096/1024" 5792648 6370451 
"4096/2048" 4964124 7222056 
"4096/4096" 4551192 6272759 
"8192/4" 4291316 4158362 
"8192/8" 4699856 4531269 
"8192/16" 6692839 4713395 
"8192/32" 4911476 6623173 
"8192/64" 5065711 7224798 
"8192/128" 6965556 6737460 
"8192/256" 5078440 7307775 
"8192/512" 5053790 5191229 
"8192/1024" 7640921 4751197 
"8192/2048" 6917874 5231540 
"8192/4096" 5449769 5553712 
"8192/8192" 5724900 4807033 
"16384/4" 6177694 5841105 
"16384/8" 5659275 5710535 
"16384/16" 5647647 4921609 
"16384/32" 6262707 4920199 
"16384/64" 5343741 4929022 
"16384/128" 7028827 4850396 
"16384/256" 7043235 5028571 
"16384/512" 7403675 6901066 
"16384/1024" 6720201 4996397 
"16384/2048" 6488597 7157678 
"16384/4096" 4575257 4522266 
"16384/8192" 5347483 5234251 
"16384/16384" 5305783 5343741 
"32768/64" 5079456 4956540 
"32768/128" 6773125 5197003 
"32768/256" 7740943 6755149 
"32768/512" 7039196 4246818 
"32768/1024" 5618741 6045842 
"32768/2048" 6778470 7373411 
"32768/4096" 6300549 4757186 
"32768/8192" 5705748 4098519 
"32768/16384" 5445109 3855034 
"65536/64" 8642653 5504074 
"65536/128" 7831769 5510915 
"65536/256" 8118118 5037733 
"65536/512" 5175847 5507162 
"65536/1024" 8863653 4332688 
"65536/2048" 8056964 6717642 
"65536/4096" 6901311 4654545 
"65536/8192" 5578580 4197006 
"65536/16384" 4198352 4702963 
"131072/64" 9046975 6034919 
"131072/128" 8735877 6339303 
"131072/256" 8188346 7074289 
"131072/512" 8848930 8362347 
"131072/1024" 8930434 4705008 
"131072/2048" 8884970 5360396 
"131072/4096" 7128132 5700270 
"131072/8192" 5683945 4489862 
"131072/16384" 5539558 5528806 
"262144/64" 8624580 5764699 
"262144/128" 8304919 8236300 
"262144/256" 8870262 7387661 
"262144/512" 8802373 6722670 
"262144/1024" 8341399 5374907 
"262144/2048" 8917383 8321261 
"262144/4096" 7061695 5488671 
"262144/8192" 5745241 4286063 
"262144/16384" 5746982 5458047 
"524288/64" 9070912 7509048 
"524288/128" 9082826 7903877 
"524288/256" 8704183 7863320 
"524288/512" 7485761 8932880 
"524288/1024" 9113429 6541503 
"524288/2048" 9041002 8554220 
"524288/4096" 6829608 5455932 
"524288/8192" 5793553 5286815 
"524288/16384" 5808888 5648749 
