Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 1828508 2772930 
"64/8" 2133730 2052169 
"64/16" 2379626 3363612 
"64/32" 3541098 4564786 
"64/64" 2358717 2662899 
"128/4" 1705404 1663139 
"128/8" 2166499 3277486 
"128/16" 2621367 3657016 
"128/32" 2673584 3867787 
"128/64" 3199360 4267461 
"128/128" 5122535 2784517 
"256/4" 2330140 1743637 
"256/8" 2223962 3009318 
"256/16" 2458168 2639446 
"256/32" 4197489 3078337 
"256/64" 3368013 3465855 
"256/128" 4819184 6107548 
"256/256" 3123106 3078337 
"512/4" 1753325 1963313 
"512/8" 2625909 2350044 
"512/16" 2575520 4195896 
"512/32" 2910635 4340054 
"512/64" 3163620 4420457 
"512/128" 3481620 3459188 
"512/256" 4610256 6319739 
"512/512" 3239989 3086326 
"1024/4" 2625597 1796451 
"1024/8" 3594699 3259181 
"1024/16" 4029784 3142339 
"1024/32" 4415030 4317393 
"1024/64" 3083680 4854136 
"1024/128" 5048117 3151562 
"1024/256" 3461434 4018473 
"1024/512" 5169641 3984917 
"1024/1024" 3655895 2892612 
"2048/4" 2479196 1820362 
"2048/8" 3271351 2432165 
"2048/16" 4122233 4056054 
"2048/32" 4207028 4162181 
"2048/64" 3065856 4276140 
"2048/128" 3841986 3136379 
"2048/256" 4385291 4500161 
"2048/512" 4079167 1492654 
"2048/1024" 6167360 4772701 
"2048/2048" 4829046 3777778 
"4096/4" 2701744 1966378 
"4096/8" 3599532 2476625 
"4096/16" 3954116 3751222 
"4096/32" 4371684 2728780 
"4096/64" 4413235 3210107 
"4096/128" 4088687 2773270 
"4096/256" 3977000 3057021 
"4096/512" 4149921 3945943 
"4096/1024" 3098371 4587653 
"4096/2048" 6013663 5679660 
"4096/4096" 4899008 4188367 
"8192/4" 2393271 2195537 
"8192/8" 3153193 1933928 
"8192/16" 4051471 2379350 
"8192/32" 4081792 2995407 
"8192/64" 3469697 4139325 
"8192/128" 3032953 3770075 
"8192/256" 3844314 3474258 
"8192/512" 3022813 2928768 
"8192/1024" 3372633 3060236 
"8192/2048" 4339005 4476368 
"8192/4096" 5558204 5393311 
"8192/8192" 4496285 3418945 
"16384/4" 1994134 2056003 
"16384/8" 3507562 3190644 
"16384/16" 2949358 2284116 
"16384/32" 3388733 3981474 
"16384/64" 3935641 3039097 
"16384/128" 3619327 2879894 
"16384/256" 3433432 2856906 
"16384/512" 3036948 2361104 
"16384/1024" 3572477 2872791 
"16384/2048" 3886231 3635988 
"16384/4096" 3683543 3309898 
"16384/8192" 5408935 5196256 
"16384/16384" 4176255 3172672 
"32768/64" 3842425 3729503 
"32768/128" 3878752 2647955 
"32768/256" 3292912 2991653 
"32768/512" 3744848 2779081 
"32768/1024" 3316272 2525671 
"32768/2048" 3323650 2830652 
"32768/4096" 3235014 2758222 
"32768/8192" 4151004 3091933 
"32768/16384" 6144498 4679759 
"65536/64" 4743133 2635585 
"65536/128" 4268038 3848008 
"65536/256" 3923587 2997845 
"65536/512" 3099632 2969989 
"65536/1024" 3712468 3569295 
"65536/2048" 3838551 2688876 
"65536/4096" 2904832 3216307 
"65536/8192" 2996212 2885651 
"65536/16384" 4391034 3523452 
"131072/64" 4886770 3444093 
"131072/128" 3405962 3346073 
"131072/256" 4032483 3232758 
"131072/512" 3890181 2802777 
"131072/1024" 3969705 3423844 
"131072/2048" 3851993 2595283 
"131072/4096" 3394333 3190582 
"131072/8192" 3797002 3346236 
"131072/16384" 4446142 3430317 
"262144/64" 4696744 3818400 
"262144/128" 4285846 4091148 
"262144/256" 3456042 3523389 
"262144/512" 4036581 3180281 
"262144/1024" 3947483 3293096 
"262144/2048" 3707629 2756042 
"262144/4096" 3642457 3536853 
"262144/8192" 3567563 3050066 
"262144/16384" 4015750 3771640 
"524288/64" 4469670 4207563 
"524288/128" 3804230 3632558 
"524288/256" 3924606 3536516 
"524288/512" 3806667 3697690 
"524288/1024" 3953720 3528923 
"524288/2048" 3618672 3279237 
"524288/4096" 3362288 3303434 
"524288/8192" 3190440 3206635 
"524288/16384" 3857327 3507080 
