Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 852702 1083249 
"64/8" 1124074 1421755 
"64/16" 1933893 1357066 
"64/32" 2379626 2561267 
"64/64" 1484662 1828508 
"128/4" 1057236 1085013 
"128/8" 1243315 1291158 
"128/16" 2248149 1557024 
"128/32" 1658003 1778862 
"128/64" 1684006 1939522 
"128/128" 1487977 1521718 
"256/4" 1842366 1132871 
"256/8" 2187712 1938842 
"256/16" 1481420 1552085 
"256/32" 1696795 2392442 
"256/64" 2692393 1938842 
"256/128" 2582316 2000242 
"256/256" 1707589 1619994 
"512/4" 1064794 1199171 
"512/8" 1426135 1426135 
"512/16" 2424328 2486072 
"512/32" 2413429 2736325 
"512/64" 2600470 2796910 
"512/128" 2521095 3029721 
"512/256" 2135087 3163620 
"512/512" 1834193 1712772 
"1024/4" 1987669 1214706 
"1024/8" 2382379 1432225 
"1024/16" 1743932 1582636 
"1024/32" 2426801 1744641 
"1024/64" 2559871 2338280 
"1024/128" 2008114 2659742 
"1024/256" 2976816 2174880 
"1024/512" 3483896 2279941 
"1024/1024" 2751762 1939207 
"2048/4" 1272054 1265681 
"2048/8" 1562145 1494992 
"2048/16" 2260624 1650385 
"2048/32" 2741930 2716781 
"2048/64" 2111168 1790388 
"2048/128" 2311728 1856959 
"2048/256" 2109095 2848305 
"2048/512" 3199462 2275596 
"2048/1024" 2473485 2384234 
"2048/2048" 2832339 2592948 
"4096/4" 1233671 1261110 
"4096/8" 1653054 1515941 
"4096/16" 1577755 1681365 
"4096/32" 2541097 1788488 
"4096/64" 2732686 1888560 
"4096/128" 2700046 2497507 
"4096/256" 2541097 2294686 
"4096/512" 2046000 2914902 
"4096/1024" 3005151 2907010 
"4096/2048" 2461720 3107900 
"4096/4096" 2901120 3385325 
"8192/4" 1598141 1270474 
"8192/8" 1555949 1517870 
"8192/16" 2138288 1678721 
"8192/32" 1816456 1790147 
"8192/64" 1797263 1815208 
"8192/128" 1805574 1840982 
"8192/256" 1862638 1777736 
"8192/512" 2067645 2647780 
"8192/1024" 2351344 1436635 
"8192/2048" 2659668 2658845 
"8192/4096" 3183872 2315376 
"8192/8192" 2563240 2941555 
"16384/4" 1736488 1257014 
"16384/8" 1562168 1535088 
"16384/16" 1713839 1649935 
"16384/32" 2181584 1815775 
"16384/64" 2146758 1830186 
"16384/128" 2120918 1781644 
"16384/256" 1768531 2083683 
"16384/512" 2072872 1769533 
"16384/1024" 2595263 2721045 
"16384/2048" 2093203 1884956 
"16384/4096" 2403383 2699666 
"16384/8192" 3034668 3624864 
"16384/16384" 2362890 3135755 
"32768/64" 2377597 1877509 
"32768/128" 2431781 1776619 
"32768/256" 2404468 1504221 
"32768/512" 2344422 2269737 
"32768/1024" 2383122 2820660 
"32768/2048" 2325461 2327942 
"32768/4096" 2394623 2680647 
"32768/8192" 2633696 2073023 
"32768/16384" 2639564 2291458 
"65536/64" 2715733 2092127 
"65536/128" 2670563 2582594 
"65536/256" 2532694 1974218 
"65536/512" 1989320 1994400 
"65536/1024" 2586579 1890380 
"65536/2048" 2490156 1965437 
"65536/4096" 2126964 1831801 
"65536/8192" 2312000 2053338 
"65536/16384" 2503970 2503583 
"131072/64" 3013916 2293919 
"131072/128" 2598264 2729470 
"131072/256" 2693128 2139154 
"131072/512" 2659682 2083949 
"131072/1024" 2638593 2107435 
"131072/2048" 2601202 2061397 
"131072/4096" 2542813 2505680 
"131072/8192" 2067055 2639822 
"131072/16384" 3003969 2347740 
"262144/64" 3040905 2598213 
"262144/128" 2668291 2439051 
"262144/256" 2433367 2145627 
"262144/512" 2730181 2342222 
"262144/1024" 2384665 2604929 
"262144/2048" 2638776 2290965 
"262144/4096" 2429302 2405808 
"262144/8192" 2625274 2279097 
"262144/16384" 2854111 2831692 
"524288/64" 2927726 2726690 
"524288/128" 2797291 2680559 
"524288/256" 2647155 2421552 
"524288/512" 2719817 2514497 
"524288/1024" 2492788 2515403 
"524288/2048" 2478666 2464571 
"524288/4096" 2332461 2335858 
"524288/8192" 2343867 2396471 
"524288/16384" 2671123 2768341 
