Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 29711 38741 
"64/8" 61485 30679 
"64/16" 95399 65715 
"64/32" 137320 16636 
"64/64" 169701 217039 
"128/4" 32104 8036 
"128/8" 61924 35172 
"128/16" 102479 70135 
"128/32" 146613 114281 
"128/64" 210471 32762 
"128/128" 205162 283188 
"256/4" 28816 8113 
"256/8" 58594 9029 
"256/16" 87106 20283 
"256/32" 147800 58248 
"256/64" 191746 35300 
"256/128" 208825 291239 
"256/256" 254211 70465 
"512/4" 34254 7528 
"512/8" 62507 18276 
"512/16" 107428 19415 
"512/32" 159547 70776 
"512/64" 177524 50946 
"512/128" 251349 51251 
"512/256" 259771 79392 
"512/512" 393542 144720 
"1024/4" 31999 8923 
"1024/8" 60129 17309 
"1024/16" 102164 30054 
"1024/32" 154124 67890 
"1024/64" 204465 63801 
"1024/128" 231101 140368 
"1024/256" 254791 77161 
"1024/512" 423491 165619 
"1024/1024" 589578 306875 
"2048/4" 20821 11223 
"2048/8" 47498 26020 
"2048/16" 101281 66086 
"2048/32" 152266 116179 
"2048/64" 211789 97337 
"2048/128" 256770 88093 
"2048/256" 283339 391362 
"2048/512" 459900 152802 
"2048/1024" 570463 341333 
"2048/2048" 834881 570463 
"4096/4" 21850 21626 
"4096/8" 35409 34129 
"4096/16" 70504 70189 
"4096/32" 76233 131252 
"4096/64" 209782 218024 
"4096/128" 254978 315853 
"4096/256" 285556 382337 
"4096/512" 447791 439812 
"4096/1024" 597876 664192 
"4096/2048" 805213 1079557 
"4096/4096" 829472 1249553 
"8192/4" 16732 15868 
"8192/8" 18270 34485 
"8192/16" 33175 69338 
"8192/32" 70682 39444 
"8192/64" 79217 216364 
"8192/128" 252246 276655 
"8192/256" 282815 458418 
"8192/512" 477385 545403 
"8192/1024" 587960 651495 
"8192/2048" 812867 758580 
"8192/4096" 853683 861863 
"8192/8192" 957687 1391544 
"16384/4" 7844 23700 
"16384/8" 28725 33961 
"16384/16" 24324 39613 
"16384/32" 60084 131722 
"16384/64" 106943 111550 
"16384/128" 114959 132118 
"16384/256" 282965 378968 
"16384/512" 462630 492235 
"16384/1024" 579677 651784 
"16384/2048" 778234 946512 
"16384/4096" 849302 824678 
"16384/8192" 865781 648334 
"16384/16384" 979024 1443146 
"32768/64" 91872 124577 
"32768/128" 159713 178205 
"32768/256" 139642 448089 
"32768/512" 315927 237399 
"32768/1024" 407020 670293 
"32768/2048" 744878 1065419 
"32768/4096" 828985 1271996 
"32768/8192" 869152 926695 
"32768/16384" 945990 732672 
"65536/64" 77563 67727 
"65536/128" 113977 92417 
"65536/256" 182694 95962 
"65536/512" 253329 131051 
"65536/1024" 313122 464791 
"65536/2048" 424884 300507 
"65536/4096" 379567 524044 
"65536/8192" 606001 639275 
"65536/16384" 884987 690863 
"131072/64" 70253 66406 
"131072/128" 107026 83230 
"131072/256" 148541 335994 
"131072/512" 213724 146082 
"131072/1024" 292342 197686 
"131072/2048" 373177 271429 
"131072/4096" 501152 1194778 
"131072/8192" 739162 142040 
"131072/16384" 820538 1244664 
"262144/64" 75430 117556 
"262144/128" 106209 253275 
"262144/256" 137264 324664 
"262144/512" 185163 432791 
"262144/1024" 213850 255887 
"262144/2048" 324463 292270 
"262144/4096" 426138 351962 
"262144/8192" 549163 482979 
"262144/16384" 811385 653846 
"524288/64" 74986 86341 
"524288/128" 103017 104858 
"524288/256" 135524 313022 
"524288/512" 189213 297048 
"524288/1024" 223825 262291 
"524288/2048" 410843 378109 
"524288/4096" 486867 427414 
"524288/8192" 569137 615777 
"524288/16384" 767972 1121529 
