Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 15369 94659 
"64/8" 19808 116771 
"64/16" 41696 216165 
"64/32" 50073 199906 
"64/64" 102895 388021 
"128/4" 15638 92678 
"128/8" 26457 151838 
"128/16" 46713 212975 
"128/32" 73274 268999 
"128/64" 93845 300464 
"128/128" 157034 304727 
"256/4" 9420 75515 
"256/8" 26865 72112 
"256/16" 47233 213858 
"256/32" 92517 301544 
"256/64" 116107 262605 
"256/128" 149446 376512 
"256/256" 209314 454627 
"512/4" 10964 68548 
"512/8" 33249 91247 
"512/16" 56870 106734 
"512/32" 67582 266940 
"512/64" 111373 146039 
"512/128" 156913 159405 
"512/256" 201022 139548 
"512/512" 42236 195495 
"1024/4" 10721 76526 
"1024/8" 26617 93695 
"1024/16" 50441 145701 
"1024/32" 75571 159481 
"1024/64" 110918 98594 
"1024/128" 154635 165084 
"1024/256" 200084 99640 
"1024/512" 290577 100759 
"1024/1024" 361079 182665 
"2048/4" 10398 44432 
"2048/8" 23782 75789 
"2048/16" 60306 112776 
"2048/32" 85426 110011 
"2048/64" 127967 99427 
"2048/128" 167347 123112 
"2048/256" 213330 410337 
"2048/512" 355193 124308 
"2048/1024" 417112 122598 
"2048/2048" 579664 361334 
"4096/4" 16417 51564 
"4096/8" 26439 142653 
"4096/16" 42500 226420 
"4096/32" 88230 275619 
"4096/64" 133094 378880 
"4096/128" 172579 427191 
"4096/256" 212614 667210 
"4096/512" 311529 643927 
"4096/1024" 447802 640208 
"4096/2048" 576238 706327 
"4096/4096" 514894 836784 
"8192/4" 17943 69915 
"8192/8" 21337 131412 
"8192/16" 68586 158737 
"8192/32" 82118 184700 
"8192/64" 116335 394985 
"8192/128" 155433 440860 
"8192/256" 203999 578292 
"8192/512" 381237 777601 
"8192/1024" 405564 774726 
"8192/2048" 662039 656411 
"8192/4096" 544064 725274 
"8192/8192" 524153 688809 
"16384/4" 15721 66109 
"16384/8" 28457 129183 
"16384/16" 83900 209256 
"16384/32" 95357 279762 
"16384/64" 124118 110947 
"16384/128" 154849 120787 
"16384/256" 201168 495236 
"16384/512" 254129 654965 
"16384/1024" 415226 712068 
"16384/2048" 541956 317187 
"16384/4096" 571648 339748 
"16384/8192" 516941 477584 
"16384/16384" 600055 739883 
"32768/64" 155731 308482 
"32768/128" 161045 360100 
"32768/256" 183154 452952 
"32768/512" 229110 92758 
"32768/1024" 361717 740069 
"32768/2048" 547583 697352 
"32768/4096" 437770 750938 
"32768/8192" 424880 411616 
"32768/16384" 482933 88856 
"65536/64" 156696 101005 
"65536/128" 168593 44487 
"65536/256" 182398 104184 
"65536/512" 238747 36007 
"65536/1024" 324105 389223 
"65536/2048" 467643 109756 
"65536/4096" 380992 147563 
"65536/8192" 434672 116437 
"65536/16384" 393259 42783 
"131072/64" 159694 98818 
"131072/128" 167336 109436 
"131072/256" 203579 109404 
"131072/512" 298426 17480 
"131072/1024" 296741 131520 
"131072/2048" 420411 14443 
"131072/4096" 403540 672764 
"131072/8192" 359101 532546 
"131072/16384" 434495 417250 
"262144/64" 166864 305027 
"262144/128" 190643 355221 
"262144/256" 205959 537790 
"262144/512" 307529 473918 
"262144/1024" 346015 99214 
"262144/2048" 363078 109746 
"262144/4096" 347031 29346 
"262144/8192" 434240 13529 
"262144/16384" 393083 121289 
"524288/64" 165858 104070 
"524288/128" 184977 133746 
"524288/256" 209503 576586 
"524288/512" 282942 467604 
"524288/1024" 330882 635502 
"524288/2048" 402895 41798 
"524288/4096" 411315 73851 
"524288/8192" 377204 59264 
"524288/16384" 492376 332210 
