Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 16798 74673 
"64/8" 23522 117900 
"64/16" 38814 148077 
"64/32" 50195 231848 
"64/64" 129254 300328 
"128/4" 16038 91369 
"128/8" 26727 135000 
"128/16" 49400 184758 
"128/32" 71670 182870 
"128/64" 94672 225027 
"128/128" 186815 284992 
"256/4" 10344 69114 
"256/8" 37531 141434 
"256/16" 54491 237458 
"256/32" 81972 256765 
"256/64" 96387 226776 
"256/128" 145045 329085 
"256/256" 185229 498069 
"512/4" 8958 76052 
"512/8" 25584 123640 
"512/16" 49084 162789 
"512/32" 81502 226651 
"512/64" 112059 157777 
"512/128" 144516 308068 
"512/256" 186643 154220 
"512/512" 357329 189710 
"1024/4" 14464 67346 
"1024/8" 33057 103007 
"1024/16" 56577 104852 
"1024/32" 91616 155621 
"1024/64" 123107 160554 
"1024/128" 158265 138807 
"1024/256" 210271 107732 
"1024/512" 303406 147700 
"1024/1024" 452111 112035 
"2048/4" 15227 68586 
"2048/8" 25385 90700 
"2048/16" 54845 116921 
"2048/32" 92106 142906 
"2048/64" 127055 110786 
"2048/128" 171971 44206 
"2048/256" 223040 449621 
"2048/512" 365267 126536 
"2048/1024" 462500 52997 
"2048/2048" 537112 460739 
"4096/4" 18076 68668 
"4096/8" 22001 139928 
"4096/16" 44432 202321 
"4096/32" 90216 281204 
"4096/64" 133185 383164 
"4096/128" 173025 208438 
"4096/256" 208820 459713 
"4096/512" 341930 504299 
"4096/1024" 413566 639184 
"4096/2048" 584969 823468 
"4096/4096" 523316 797957 
"8192/4" 17855 86956 
"8192/8" 29107 145975 
"8192/16" 78603 28498 
"8192/32" 64588 284642 
"8192/64" 121897 347145 
"8192/128" 161868 415224 
"8192/256" 218821 537073 
"8192/512" 356747 354539 
"8192/1024" 416811 662678 
"8192/2048" 521449 626684 
"8192/4096" 540300 627646 
"8192/8192" 533786 835661 
"16384/4" 16579 89024 
"16384/8" 32283 130055 
"16384/16" 106653 232311 
"16384/32" 107319 231540 
"16384/64" 110655 105780 
"16384/128" 142726 263463 
"16384/256" 195366 568451 
"16384/512" 345050 458026 
"16384/1024" 421463 753661 
"16384/2048" 605112 457971 
"16384/4096" 613102 451624 
"16384/8192" 599820 713221 
"16384/16384" 659104 740353 
"32768/64" 131839 378580 
"32768/128" 155852 390960 
"32768/256" 196641 410729 
"32768/512" 299374 107812 
"32768/1024" 341910 638642 
"32768/2048" 592701 542157 
"32768/4096" 536318 616321 
"32768/8192" 598055 123611 
"32768/16384" 525726 107983 
"65536/64" 163783 38102 
"65536/128" 175912 104653 
"65536/256" 189680 113055 
"65536/512" 292358 103165 
"65536/1024" 350870 403390 
"65536/2048" 426819 105415 
"65536/4096" 391098 109345 
"65536/8192" 414462 118132 
"65536/16384" 376342 15180 
"131072/64" 182832 107586 
"131072/128" 184331 106786 
"131072/256" 205495 108031 
"131072/512" 303794 115089 
"131072/1024" 296118 105252 
"131072/2048" 398072 12549 
"131072/4096" 428687 667206 
"131072/8192" 431457 614210 
"131072/16384" 423204 391724 
"262144/64" 170512 317480 
"262144/128" 179710 413652 
"262144/256" 207341 553968 
"262144/512" 313418 155004 
"262144/1024" 351566 111158 
"262144/2048" 430994 130690 
"262144/4096" 443450 114947 
"262144/8192" 431125 18463 
"262144/16384" 400338 113919 
"524288/64" 172436 108472 
"524288/128" 181212 33133 
"524288/256" 210270 571297 
"524288/512" 302543 598030 
"524288/1024" 325889 574675 
"524288/2048" 410879 28103 
"524288/4096" 434471 46573 
"524288/8192" 408765 16978 
"524288/16384" 419476 161577 
