Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 28307 16486 
"64/8" 48082 31726 
"64/16" 93570 61010 
"64/32" 128758 115714 
"64/64" 167897 204474 
"128/4" 29816 33050 
"128/8" 49459 33844 
"128/16" 99295 66701 
"128/32" 135580 127984 
"128/64" 202531 33421 
"128/128" 233137 242839 
"256/4" 28412 15343 
"256/8" 58128 10755 
"256/16" 85962 10781 
"256/32" 152394 29592 
"256/64" 194984 112530 
"256/128" 215835 270001 
"256/256" 245943 81320 
"512/4" 31145 11438 
"512/8" 58440 23427 
"512/16" 100331 26171 
"512/32" 152468 28121 
"512/64" 172159 51659 
"512/128" 242193 73436 
"512/256" 243125 72450 
"512/512" 393253 152935 
"1024/4" 28885 14381 
"1024/8" 58165 13607 
"1024/16" 102400 10813 
"1024/32" 87135 36995 
"1024/64" 186625 56174 
"1024/128" 222217 83955 
"1024/256" 258067 75818 
"1024/512" 434282 146058 
"1024/1024" 571154 272630 
"2048/4" 30505 9188 
"2048/8" 57766 11471 
"2048/16" 100406 15652 
"2048/32" 155280 92900 
"2048/64" 207708 62179 
"2048/128" 239108 102656 
"2048/256" 265417 350512 
"2048/512" 444457 180188 
"2048/1024" 572402 295910 
"2048/2048" 824148 602387 
"4096/4" 30591 14203 
"4096/8" 58138 34310 
"4096/16" 100791 70447 
"4096/32" 152910 132005 
"4096/64" 204861 218615 
"4096/128" 252623 313245 
"4096/256" 272014 358453 
"4096/512" 121875 407445 
"4096/1024" 594566 174699 
"4096/2048" 789995 988894 
"4096/4096" 824971 1065298 
"8192/4" 45797 35140 
"8192/8" 64470 34196 
"8192/16" 103562 69336 
"8192/32" 148424 44941 
"8192/64" 164125 199766 
"8192/128" 258113 263196 
"8192/256" 282482 459165 
"8192/512" 461131 515541 
"8192/1024" 605118 584639 
"8192/2048" 832603 906378 
"8192/4096" 880865 730517 
"8192/8192" 903803 916337 
"16384/4" 56391 27873 
"16384/8" 78932 34136 
"16384/16" 86427 68206 
"16384/32" 145645 132730 
"16384/64" 201693 151637 
"16384/128" 197857 74678 
"16384/256" 257265 394187 
"16384/512" 460599 435523 
"16384/1024" 567864 622375 
"16384/2048" 817974 854626 
"16384/4096" 858115 772095 
"16384/8192" 858426 701908 
"16384/16384" 986458 1461811 
"32768/64" 135247 230174 
"32768/128" 221625 218320 
"32768/256" 202605 434151 
"32768/512" 355104 150398 
"32768/1024" 541610 610479 
"32768/2048" 480462 1055057 
"32768/4096" 850121 1233512 
"32768/8192" 879582 717967 
"32768/16384" 996867 1037096 
"65536/64" 220573 88654 
"65536/128" 242334 75955 
"65536/256" 248372 78966 
"65536/512" 400366 177827 
"65536/1024" 382383 267536 
"65536/2048" 714414 382705 
"65536/4096" 711929 558713 
"65536/8192" 754589 625611 
"65536/16384" 878112 794156 
"131072/64" 244629 110203 
"131072/128" 239686 71667 
"131072/256" 261406 84531 
"131072/512" 406486 193586 
"131072/1024" 481367 301465 
"131072/2048" 713157 501093 
"131072/4096" 696557 1178737 
"131072/8192" 768110 659451 
"131072/16384" 904937 1022792 
"262144/64" 246554 199917 
"262144/128" 270776 285924 
"262144/256" 273338 348762 
"262144/512" 447891 164615 
"262144/1024" 545597 209747 
"262144/2048" 763264 530930 
"262144/4096" 817228 638629 
"262144/8192" 852847 800928 
"262144/16384" 1051276 847802 
"524288/64" 203424 74683 
"524288/128" 274998 133926 
"524288/256" 283407 461911 
"524288/512" 485407 411831 
"524288/1024" 578534 431067 
"524288/2048" 808131 388711 
"524288/4096" 805088 389341 
"524288/8192" 859247 634322 
"524288/16384" 823254 396493 
