Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 28044 30591 
"64/8" 47579 33434 
"64/16" 73147 48631 
"64/32" 84525 96082 
"64/64" 160854 29382 
"128/4" 30253 8574 
"128/8" 54912 28551 
"128/16" 68928 62771 
"128/32" 118415 27936 
"128/64" 170662 129279 
"128/128" 196023 76100 
"256/4" 16069 15357 
"256/8" 57435 16507 
"256/16" 84996 59563 
"256/32" 128579 102860 
"256/64" 168197 196483 
"256/128" 208622 271228 
"256/256" 274627 84989 
"512/4" 17770 9617 
"512/8" 29135 16507 
"512/16" 96582 26934 
"512/32" 135660 60655 
"512/64" 169817 110156 
"512/128" 203498 100056 
"512/256" 254477 85208 
"512/512" 439445 311644 
"1024/4" 22215 11470 
"1024/8" 47208 9794 
"1024/16" 92872 31865 
"1024/32" 141552 46349 
"1024/64" 193285 121327 
"1024/128" 240873 76881 
"1024/256" 254655 170802 
"1024/512" 378117 179933 
"1024/1024" 495393 220641 
"2048/4" 16078 12571 
"2048/8" 55869 15922 
"2048/16" 78747 56858 
"2048/32" 146864 130679 
"2048/64" 175269 161386 
"2048/128" 239588 99282 
"2048/256" 277732 383876 
"2048/512" 499885 170581 
"2048/1024" 560964 79642 
"2048/2048" 637197 742572 
"4096/4" 27019 19092 
"4096/8" 43760 30784 
"4096/16" 75222 72921 
"4096/32" 106059 121456 
"4096/64" 202361 213680 
"4096/128" 238653 284539 
"4096/256" 279858 371482 
"4096/512" 403664 425298 
"4096/1024" 531131 628612 
"4096/2048" 819540 912037 
"4096/4096" 306768 1145110 
"8192/4" 23953 34937 
"8192/8" 23864 30517 
"8192/16" 54071 75184 
"8192/32" 103345 109657 
"8192/64" 192278 188409 
"8192/128" 245292 309810 
"8192/256" 219412 357791 
"8192/512" 519070 441733 
"8192/1024" 581699 695065 
"8192/2048" 675962 772253 
"8192/4096" 828908 1002799 
"8192/8192" 828308 1320015 
"16384/4" 10068 16692 
"16384/8" 19542 19892 
"16384/16" 34710 48974 
"16384/32" 87090 59087 
"16384/64" 146802 111410 
"16384/128" 170345 184591 
"16384/256" 280798 345850 
"16384/512" 416717 413432 
"16384/1024" 533682 779708 
"16384/2048" 598545 844397 
"16384/4096" 614852 882276 
"16384/8192" 886247 950624 
"16384/16384" 663451 1420739 
"32768/64" 84706 201715 
"32768/128" 216220 281868 
"32768/256" 268742 325505 
"32768/512" 465554 143066 
"32768/1024" 573920 748281 
"32768/2048" 669898 916071 
"32768/4096" 832651 1066527 
"32768/8192" 828520 658416 
"32768/16384" 991467 796716 
"65536/64" 86353 66569 
"65536/128" 166628 89601 
"65536/256" 262866 86663 
"65536/512" 392071 156141 
"65536/1024" 408136 532082 
"65536/2048" 739842 402872 
"65536/4096" 778003 553229 
"65536/8192" 882544 676248 
"65536/16384" 971726 799336 
"131072/64" 100372 71831 
"131072/128" 149253 90771 
"131072/256" 219364 108029 
"131072/512" 322034 145879 
"131072/1024" 378159 289978 
"131072/2048" 686064 306837 
"131072/4096" 723683 1161018 
"131072/8192" 722897 1337593 
"131072/16384" 694999 170618 
"262144/64" 107180 161952 
"262144/128" 158478 173332 
"262144/256" 240179 132322 
"262144/512" 325885 162171 
"262144/1024" 457245 281052 
"262144/2048" 632964 372972 
"262144/4096" 666849 402698 
"262144/8192" 672041 520152 
"262144/16384" 751619 769280 
"524288/64" 111775 56659 
"524288/128" 145568 108124 
"524288/256" 182654 315992 
"524288/512" 342821 353535 
"524288/1024" 362102 552600 
"524288/2048" 621965 328247 
"524288/4096" 575914 512428 
"524288/8192" 627725 605388 
"524288/16384" 801341 637298 
