Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 29357 29684 
"64/8" 33698 38305 
"64/16" 69492 76481 
"64/32" 104254 114676 
"64/64" 137602 172095 
"128/4" 10291 28175 
"128/8" 55577 51077 
"128/16" 78377 81482 
"128/32" 129685 145619 
"128/64" 11800 229353 
"128/128" 187402 313811 
"256/4" 14484 12294 
"256/8" 50335 54271 
"256/16" 75632 94813 
"256/32" 143821 170548 
"256/64" 144947 252716 
"256/128" 202676 405827 
"256/256" 237458 750970 
"512/4" 19178 11921 
"512/8" 58374 58134 
"512/16" 96495 91247 
"512/32" 129033 63665 
"512/64" 188230 292222 
"512/128" 54225 468902 
"512/256" 251349 637650 
"512/512" 376500 1123275 
"1024/4" 20696 20780 
"1024/8" 25951 37701 
"1024/16" 54185 69376 
"1024/32" 132112 181883 
"1024/64" 177560 402346 
"1024/128" 204348 478504 
"1024/256" 121142 837257 
"1024/512" 404239 1082454 
"1024/1024" 630148 1367037 
"2048/4" 14489 26956 
"2048/8" 34197 32311 
"2048/16" 65024 57460 
"2048/32" 86223 102734 
"2048/64" 188927 356106 
"2048/128" 213622 541821 
"2048/256" 273976 836996 
"2048/512" 220402 1116038 
"2048/1024" 555630 1586379 
"2048/2048" 913453 2245261 
"4096/4" 20688 16333 
"4096/8" 30299 54541 
"4096/16" 57841 99013 
"4096/32" 147084 114384 
"4096/64" 139996 198813 
"4096/128" 218743 580738 
"4096/256" 174349 932178 
"4096/512" 423318 1378601 
"4096/1024" 535134 1755770 
"4096/2048" 881796 2114496 
"4096/4096" 920047 2552044 
"8192/4" 17296 21751 
"8192/8" 24680 40567 
"8192/16" 40894 93967 
"8192/32" 107705 114189 
"8192/64" 188664 185642 
"8192/128" 254434 402222 
"8192/256" 280682 835661 
"8192/512" 471295 1478168 
"8192/1024" 600360 1747448 
"8192/2048" 526442 856278 
"8192/4096" 541475 2305743 
"8192/8192" 727008 2410058 
"16384/4" 10185 8546 
"16384/8" 18708 28177 
"16384/16" 26376 66992 
"16384/32" 56405 150448 
"16384/64" 92877 283759 
"16384/128" 248819 378749 
"16384/256" 281076 901501 
"16384/512" 486073 1381912 
"16384/1024" 576047 1940964 
"16384/2048" 623652 2517860 
"16384/4096" 813866 2684165 
"16384/8192" 885425 2629021 
"16384/16384" 996168 3472643 
"32768/64" 79431 370779 
"32768/128" 160894 358747 
"32768/256" 255630 802784 
"32768/512" 467006 1323312 
"32768/1024" 589722 1714882 
"32768/2048" 817827 2361299 
"32768/4096" 857263 2837080 
"32768/8192" 872529 2768055 
"32768/16384" 1021191 2800429 
"65536/64" 81122 287694 
"65536/128" 130387 451812 
"65536/256" 224358 776252 
"65536/512" 283903 1555673 
"65536/1024" 432620 1965269 
"65536/2048" 812124 2267692 
"65536/4096" 859431 2822044 
"65536/8192" 958983 2453351 
"65536/16384" 1001009 2943339 
"131072/64" 80324 224191 
"131072/128" 107789 234313 
"131072/256" 164644 661990 
"131072/512" 206055 806402 
"131072/1024" 316194 1907802 
"131072/2048" 493975 2143834 
"131072/4096" 585890 2488463 
"131072/8192" 730479 2787231 
"131072/16384" 871408 3510510 
"262144/64" 75870 171167 
"262144/128" 113369 238779 
"262144/256" 137597 410246 
"262144/512" 185283 718478 
"262144/1024" 282433 1162526 
"262144/2048" 462242 2337313 
"262144/4096" 518776 2787555 
"262144/8192" 612268 2869822 
"262144/16384" 859280 3380670 
"524288/64" 75154 140133 
"524288/128" 106134 200093 
"524288/256" 141125 391774 
"524288/512" 202430 725987 
"524288/1024" 263136 1086911 
"524288/2048" 367330 1785649 
"524288/4096" 488845 2188135 
"524288/8192" 593222 2282579 
"524288/16384" 780944 3054721 
