Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 5735102 5860307 
"64/8" 4564786 5860307 
"64/16" 3363612 7293312 
"64/32" 4897948 4988978 
"64/64" 4274062 7940539 
"128/4" 3657016 3759450 
"128/8" 4407601 4759253 
"128/16" 6406138 5325799 
"128/32" 6114306 5847904 
"128/64" 4557257 6114306 
"128/128" 4557257 6406138 
"256/4" 3197509 4009406 
"256/8" 4477549 5117791 
"256/16" 4998665 5938650 
"256/32" 4929815 9434868 
"256/64" 8024634 5117791 
"256/128" 5217259 5117791 
"256/256" 5971678 7965107 
"512/4" 3678421 4131319 
"512/8" 7435738 5331314 
"512/16" 5227492 8992598 
"512/32" 5684095 6652558 
"512/64" 7758090 6909408 
"512/128" 5807059 7115451 
"512/256" 5684095 6999490 
"512/512" 8394979 10641343 
"1024/4" 3984917 7066349 
"1024/8" 7420395 8822754 
"1024/16" 8199542 6650556 
"1024/32" 6208343 11368190 
"1024/64" 8680108 10557785 
"1024/128" 8895850 6918376 
"1024/256" 6819511 5983467 
"1024/512" 6208343 6650556 
"1024/1024" 6059442 9765601 
"2048/4" 6243566 4196751 
"2048/8" 6780783 7477273 
"2048/16" 5953632 5836323 
"2048/32" 8059569 6340344 
"2048/64" 9752360 6420913 
"2048/128" 6603549 6003564 
"2048/256" 9708272 9218589 
"2048/512" 8903279 9024882 
"2048/1024" 9483197 6523312 
"2048/2048" 8036946 5953632 
"4096/4" 4208889 4012295 
"4096/8" 5396016 6122971 
"4096/16" 8811067 5751920 
"4096/32" 9593374 8829180 
"4096/64" 9183139 7146945 
"4096/128" 6989921 8847367 
"4096/256" 9701724 6883496 
"4096/512" 9482180 6638778 
"4096/1024" 9105266 9163546 
"4096/2048" 6758923 8112108 
"4096/4096" 8620945 6207035 
"8192/4" 4354953 5784656 
"8192/8" 6895660 5312425 
"8192/16" 7719891 8393104 
"8192/32" 6590145 5944791 
"8192/64" 7328036 6912307 
"8192/128" 7142200 10668056 
"8192/256" 10343693 10202411 
"8192/512" 9536939 6816318 
"8192/1024" 10315743 9492149 
"8192/2048" 10190307 7012469 
"8192/4096" 6177802 6150158 
"8192/8192" 5588034 6936028 
"16384/4" 5323045 7098528 
"16384/8" 6697931 8159708 
"16384/16" 6056817 9081702 
"16384/32" 9900792 9459231 
"16384/64" 9389438 10967380 
"16384/128" 9599293 10343390 
"16384/256" 10474243 9929404 
"16384/512" 9604660 10401316 
"16384/1024" 10429731 9972633 
"16384/2048" 7481865 9660015 
"16384/4096" 8376536 7922644 
"16384/8192" 6540472 6587495 
"16384/16384" 6912867 6533011 
"32768/64" 10431952 10297516 
"32768/128" 8567014 10243027 
"32768/256" 10673373 10604198 
"32768/512" 10556955 10580524 
"32768/1024" 10646090 10642792 
"32768/2048" 8291539 10352588 
"32768/4096" 8323173 8682837 
"32768/8192" 6242740 6754817 
"32768/16384" 5434129 6784158 
"65536/64" 9144063 11079852 
"65536/128" 10142046 11879006 
"65536/256" 10291658 10692806 
"65536/512" 10546750 11143636 
"65536/1024" 10532606 10657980 
"65536/2048" 10146538 10541492 
"65536/4096" 8461737 8684979 
"65536/8192" 6291291 6635266 
"65536/16384" 6857237 6679932 
"131072/64" 10166015 12196250 
"131072/128" 10041604 10807326 
"131072/256" 9707030 9515988 
"131072/512" 9404479 7820049 
"131072/1024" 9577826 11956982 
"131072/2048" 9412691 12224726 
"131072/4096" 9177463 8830027 
"131072/8192" 6540522 6765741 
"131072/16384" 6663884 6760500 
"262144/64" 10934016 12095464 
"262144/128" 9233633 11589079 
"262144/256" 11605470 12011163 
"262144/512" 10965640 11804579 
"262144/1024" 11069413 11916137 
"262144/2048" 10724661 11774366 
"262144/4096" 9059409 8880578 
"262144/8192" 6975985 6710443 
"262144/16384" 6965997 6655606 
"524288/64" 10997106 12260880 
"524288/128" 11087597 12318781 
"524288/256" 9810594 12421768 
"524288/512" 9335941 11918902 
"524288/1024" 12008134 12663405 
"524288/2048" 12124193 12546360 
"524288/4096" 8500683 9443874 
"524288/8192" 6822573 6846278 
"524288/16384" 7013515 6797539 
