Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 3057153 3541098 
"64/8" 4207076 4564786 
"64/16" 2662899 3738358 
"64/32" 2561267 2467108 
"64/64" 2662899 2278628 
"128/4" 3053774 2714132 
"128/8" 3759450 2714132 
"128/16" 3759450 4934216 
"128/32" 4012317 4407601 
"128/64" 3657016 2905056 
"128/128" 4135958 2969325 
"256/4" 5117791 4819184 
"256/8" 3245838 3326279 
"256/16" 3410808 4840911 
"256/32" 3545976 4907284 
"256/64" 5687020 3465855 
"256/128" 5810112 3557725 
"256/256" 3705040 6073004 
"512/4" 3710197 3822466 
"512/8" 4973263 3710197 
"512/16" 5886650 3325278 
"512/32" 3913012 4375425 
"512/64" 3905895 4340054 
"512/128" 3788747 5886650 
"512/256" 4000485 3970896 
"512/512" 4061007 3941742 
"1024/4" 3655895 6128613 
"1024/8" 4574926 6016997 
"1024/16" 4374559 6733974 
"1024/32" 4162573 5789881 
"1024/64" 4433259 6479979 
"1024/128" 7319232 4512441 
"1024/256" 5169641 6137371 
"1024/512" 7420395 6692005 
"1024/1024" 5042191 4488860 
"2048/4" 5785224 4096676 
"2048/8" 6845629 6243566 
"2048/16" 6114678 3962502 
"2048/32" 6298503 4676561 
"2048/64" 7343043 4831762 
"2048/128" 7419150 4853603 
"2048/256" 7262337 6340344 
"2048/512" 7368238 5723548 
"2048/1024" 4321315 4911886 
"2048/2048" 7343043 6780783 
"4096/4" 5159420 5603704 
"4096/8" 6389405 6737716 
"4096/16" 7135072 5944991 
"4096/32" 7380284 6420447 
"4096/64" 4887857 6703539 
"4096/128" 5019235 6408472 
"4096/256" 4746074 4946971 
"4096/512" 4910209 6758923 
"4096/1024" 5792648 5389246 
"4096/2048" 4964124 7111444 
"4096/4096" 4551192 5859825 
"8192/4" 4291316 5776876 
"8192/8" 4699856 4483963 
"8192/16" 6692839 6511465 
"8192/32" 4911476 4979812 
"8192/64" 5065711 5777847 
"8192/128" 6965556 7326473 
"8192/256" 5078440 5171695 
"8192/512" 5053790 7415014 
"8192/1024" 7640921 4784941 
"8192/2048" 6917874 4934754 
"8192/4096" 5449769 4533661 
"8192/8192" 5724900 4196965 
"16384/4" 6177694 6150051 
"16384/8" 5659275 7117644 
"16384/16" 5647647 7163647 
"16384/32" 6262707 5667209 
"16384/64" 5343741 7529411 
"16384/128" 7028827 7376654 
"16384/256" 7043235 7532712 
"16384/512" 7403675 6097662 
"16384/1024" 6720201 6111219 
"16384/2048" 6488597 7373488 
"16384/4096" 4575257 6166054 
"16384/8192" 5347483 4087815 
"16384/16384" 5305783 4662486 
"32768/64" 5079456 7087841 
"32768/128" 6773125 7010830 
"32768/256" 7740943 6113341 
"32768/512" 7039196 7337197 
"32768/1024" 5618741 5072333 
"32768/2048" 6778470 5332505 
"32768/4096" 6300549 6522409 
"32768/8192" 5705748 5070835 
"32768/16384" 5445109 5386002 
"65536/64" 8642653 8480272 
"65536/128" 7831769 8937140 
"65536/256" 8118118 9090838 
"65536/512" 5175847 8359320 
"65536/1024" 8863653 5608058 
"65536/2048" 8056964 8356016 
"65536/4096" 6901311 6913114 
"65536/8192" 5578580 5620557 
"65536/16384" 4198352 4264396 
"131072/64" 9046975 8382237 
"131072/128" 8735877 9123244 
"131072/256" 8188346 8721741 
"131072/512" 8848930 8474887 
"131072/1024" 8930434 8948168 
"131072/2048" 8884970 8173615 
"131072/4096" 7128132 7119547 
"131072/8192" 5683945 5610966 
"131072/16384" 5539558 5621293 
"262144/64" 8624580 9072566 
"262144/128" 8304919 8991326 
"262144/256" 8870262 8902581 
"262144/512" 8802373 8877854 
"262144/1024" 8341399 8111854 
"262144/2048" 8917383 8905538 
"262144/4096" 7061695 7211056 
"262144/8192" 5745241 5675578 
"262144/16384" 5746982 5673733 
"524288/64" 9070912 9005606 
"524288/128" 9082826 9137286 
"524288/256" 8704183 9183995 
"524288/512" 7485761 8405415 
"524288/1024" 9113429 9034613 
"524288/2048" 9041002 9112825 
"524288/4096" 6829608 7267557 
"524288/8192" 5793553 5550778 
"524288/16384" 5808888 5552082 
