Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 1828508 2892445 
"64/8" 2133730 2923952 
"64/16" 2379626 2561267 
"64/32" 3541098 3541098 
"64/64" 2358717 2662899 
"128/4" 1705404 1684006 
"128/8" 2166499 2211113 
"128/16" 2621367 2660335 
"128/32" 2673584 4934216 
"128/64" 3199360 6330599 
"128/128" 5122535 4267461 
"256/4" 2330140 2266207 
"256/8" 2223962 2305128 
"256/16" 2458168 2699161 
"256/32" 4197489 3114048 
"256/64" 3368013 3605511 
"256/128" 4819184 4819184 
"256/256" 3123106 4734192 
"512/4" 1753325 1815584 
"512/8" 2625909 3849877 
"512/16" 2575520 3104171 
"512/32" 2910635 3086326 
"512/64" 3163620 3325278 
"512/128" 3481620 3393590 
"512/256" 4610256 4871723 
"512/512" 3239989 5398323 
"1024/4" 2625597 2015654 
"1024/8" 3594699 2338280 
"1024/16" 4029784 2723840 
"1024/32" 4415030 4832290 
"1024/64" 3083680 5114239 
"1024/128" 5048117 4287225 
"1024/256" 3461434 5417427 
"1024/512" 5169641 7160597 
"1024/1024" 3655895 5479632 
"2048/4" 2479196 3065856 
"2048/8" 3271351 3454204 
"2048/16" 4122233 3991965 
"2048/32" 4207028 3506373 
"2048/64" 3065856 5044577 
"2048/128" 3841986 4839929 
"2048/256" 4385291 4707314 
"2048/512" 4079167 3757946 
"2048/1024" 6167360 6568203 
"2048/2048" 4829046 4730646 
"4096/4" 2701744 2732686 
"4096/8" 3599532 2623759 
"4096/16" 3954116 2778652 
"4096/32" 4371684 4171080 
"4096/64" 4413235 3232454 
"4096/128" 4088687 4380601 
"4096/256" 3977000 3061379 
"4096/512" 4149921 3300770 
"4096/1024" 3098371 4324366 
"4096/2048" 6013663 5171846 
"4096/4096" 4899008 3799338 
"8192/4" 2393271 1810808 
"8192/8" 3153193 2489871 
"8192/16" 4051471 3794222 
"8192/32" 4081792 4160376 
"8192/64" 3469697 3102794 
"8192/128" 3032953 3851208 
"8192/256" 3844314 3018299 
"8192/512" 3022813 3978753 
"8192/1024" 3372633 3348965 
"8192/2048" 4339005 4045270 
"8192/4096" 5558204 5247519 
"8192/8192" 4496285 3185053 
"16384/4" 1994134 2145083 
"16384/8" 3507562 3211970 
"16384/16" 2949358 3404852 
"16384/32" 3388733 3541728 
"16384/64" 3935641 3446346 
"16384/128" 3619327 2968597 
"16384/256" 3433432 3722049 
"16384/512" 3036948 3956488 
"16384/1024" 3572477 3360890 
"16384/2048" 3886231 3647374 
"16384/4096" 3683543 4073519 
"16384/8192" 5408935 4407975 
"16384/16384" 4176255 4420735 
"32768/64" 3842425 4131041 
"32768/128" 3878752 4292310 
"32768/256" 3292912 3671912 
"32768/512" 3744848 3527620 
"32768/1024" 3316272 3119585 
"32768/2048" 3323650 3444947 
"32768/4096" 3235014 3770843 
"32768/8192" 4151004 3863270 
"32768/16384" 6144498 5693929 
"65536/64" 4743133 4647226 
"65536/128" 4268038 4234375 
"65536/256" 3923587 3918441 
"65536/512" 3099632 3631829 
"65536/1024" 3712468 3858920 
"65536/2048" 3838551 3743410 
"65536/4096" 2904832 3645121 
"65536/8192" 2996212 3630821 
"65536/16384" 4391034 4541649 
"131072/64" 4886770 4852007 
"131072/128" 3405962 4434701 
"131072/256" 4032483 4025810 
"131072/512" 3890181 3955567 
"131072/1024" 3969705 3941670 
"131072/2048" 3851993 3796346 
"131072/4096" 3394333 3660212 
"131072/8192" 3797002 3714571 
"131072/16384" 4446142 4288607 
"262144/64" 4696744 4872386 
"262144/128" 4285846 4534259 
"262144/256" 3456042 4043306 
"262144/512" 4036581 4024201 
"262144/1024" 3947483 4017716 
"262144/2048" 3707629 3846466 
"262144/4096" 3642457 3693729 
"262144/8192" 3567563 3715711 
"262144/16384" 4015750 4204668 
"524288/64" 4469670 4587713 
"524288/128" 3804230 4450546 
"524288/256" 3924606 4070781 
"524288/512" 3806667 3984590 
"524288/1024" 3953720 3962990 
"524288/2048" 3618672 3613962 
"524288/4096" 3362288 3610254 
"524288/8192" 3190440 3475030 
"524288/16384" 3857327 4035402 
