Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 852702 1734015 
"64/8" 1124074 1933893 
"64/16" 1933893 1780008 
"64/32" 2379626 1679761 
"64/64" 1484662 1336792 
"128/4" 1057236 1802755 
"128/8" 1243315 1778862 
"128/16" 2248149 1455701 
"128/32" 1658003 1603529 
"128/64" 1684006 2420455 
"128/128" 1487977 2066432 
"256/4" 1842366 1740810 
"256/8" 2187712 1319408 
"256/16" 1481420 1487577 
"256/32" 1696795 2441400 
"256/64" 2692393 2692393 
"256/128" 2582316 2754556 
"256/256" 1707589 1549845 
"512/4" 1064794 1289930 
"512/8" 1426135 2370799 
"512/16" 2424328 2625909 
"512/32" 2413429 1730717 
"512/64" 2600470 1760512 
"512/128" 2521095 2906696 
"512/256" 2135087 3437042 
"512/512" 1834193 1842059 
"1024/4" 1987669 2310605 
"1024/8" 2382379 1402756 
"1024/16" 1743932 2008114 
"1024/32" 2426801 1750329 
"1024/64" 2559871 1957770 
"1024/128" 2008114 2789291 
"1024/256" 2976816 2813041 
"1024/512" 3483896 2230218 
"1024/1024" 2751762 2160657 
"2048/4" 1272054 1265868 
"2048/8" 1562145 2334979 
"2048/16" 2260624 1704079 
"2048/32" 2741930 2712491 
"2048/64" 2111168 2723672 
"2048/128" 2311728 2128958 
"2048/256" 2109095 2605532 
"2048/512" 3199462 2233585 
"2048/1024" 2473485 3174630 
"2048/2048" 2832339 1843410 
"4096/4" 1233671 1265290 
"4096/8" 1653054 1526176 
"4096/16" 1577755 1682024 
"4096/32" 2541097 2732686 
"4096/64" 2732686 2788575 
"4096/128" 2700046 2729213 
"4096/256" 2541097 2505520 
"4096/512" 2046000 2550529 
"4096/1024" 3005151 2878275 
"4096/2048" 2461720 2716268 
"4096/4096" 2901120 1898998 
"8192/4" 1598141 1269488 
"8192/8" 1555949 1698471 
"8192/16" 2138288 1689451 
"8192/32" 1816456 1860923 
"8192/64" 1797263 2702765 
"8192/128" 1805574 2660698 
"8192/256" 1862638 2226697 
"8192/512" 2067645 2519078 
"8192/1024" 2351344 2533940 
"8192/2048" 2659668 2095641 
"8192/4096" 3183872 3011685 
"8192/8192" 2563240 2614736 
"16384/4" 1736488 1689069 
"16384/8" 1562168 1557106 
"16384/16" 1713839 2335267 
"16384/32" 2181584 1815823 
"16384/64" 2146758 2367611 
"16384/128" 2120918 1878720 
"16384/256" 1768531 2744299 
"16384/512" 2072872 2581419 
"16384/1024" 2595263 2527212 
"16384/2048" 2093203 1853585 
"16384/4096" 2403383 2442768 
"16384/8192" 3034668 2328226 
"16384/16384" 2362890 1988594 
"32768/64" 2377597 2457830 
"32768/128" 2431781 2336054 
"32768/256" 2404468 2070119 
"32768/512" 2344422 2663245 
"32768/1024" 2383122 1869897 
"32768/2048" 2325461 2611626 
"32768/4096" 2394623 2380026 
"32768/8192" 2633696 2602921 
"32768/16384" 2639564 2909142 
"65536/64" 2715733 3042811 
"65536/128" 2670563 2935293 
"65536/256" 2532694 1969408 
"65536/512" 1989320 2755811 
"65536/1024" 2586579 2000977 
"65536/2048" 2490156 2659427 
"65536/4096" 2126964 2667324 
"65536/8192" 2312000 2813552 
"65536/16384" 2503970 2633237 
"131072/64" 3013916 2386985 
"131072/128" 2598264 2785325 
"131072/256" 2693128 2739685 
"131072/512" 2659682 2171576 
"131072/1024" 2638593 2071237 
"131072/2048" 2601202 2403758 
"131072/4096" 2542813 2627157 
"131072/8192" 2067055 2077703 
"131072/16384" 3003969 2293795 
"262144/64" 3040905 2556701 
"262144/128" 2668291 2409456 
"262144/256" 2433367 2375181 
"262144/512" 2730181 2692572 
"262144/1024" 2384665 2365579 
"262144/2048" 2638776 2500351 
"262144/4096" 2429302 2621518 
"262144/8192" 2625274 2630990 
"262144/16384" 2854111 2470169 
"524288/64" 2927726 2884109 
"524288/128" 2797291 2837578 
"524288/256" 2647155 2686864 
"524288/512" 2719817 2627378 
"524288/1024" 2492788 2510908 
"524288/2048" 2478666 2553791 
"524288/4096" 2332461 2439957 
"524288/8192" 2343867 2591547 
"524288/16384" 2671123 2823032 
