Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 29711 33685 
"64/8" 61485 58818 
"64/16" 95399 114480 
"64/32" 137320 197552 
"64/64" 169701 320021 
"128/4" 32104 30117 
"128/8" 61924 51014 
"128/16" 102479 96824 
"128/32" 146613 145304 
"128/64" 210471 258135 
"128/128" 205162 389091 
"256/4" 28816 31789 
"256/8" 58594 61508 
"256/16" 87106 124034 
"256/32" 147800 188118 
"256/64" 191746 412215 
"256/128" 208825 575175 
"256/256" 254211 873809 
"512/4" 34254 15087 
"512/8" 62507 52974 
"512/16" 107428 97229 
"512/32" 159547 218244 
"512/64" 177524 383561 
"512/128" 251349 554217 
"512/256" 259771 957072 
"512/512" 393542 1089647 
"1024/4" 31999 29856 
"1024/8" 60129 58597 
"1024/16" 102164 125503 
"1024/32" 154124 206580 
"1024/64" 204465 425758 
"1024/128" 231101 625923 
"1024/256" 254791 783494 
"1024/512" 423491 1439908 
"1024/1024" 589578 1609925 
"2048/4" 20821 31713 
"2048/8" 47498 60434 
"2048/16" 101281 125620 
"2048/32" 152266 242305 
"2048/64" 211789 427109 
"2048/128" 256770 576900 
"2048/256" 283339 958397 
"2048/512" 459900 1368956 
"2048/1024" 570463 1905146 
"2048/2048" 834881 1865023 
"4096/4" 21850 25620 
"4096/8" 35409 38022 
"4096/16" 70504 72232 
"4096/32" 76233 243825 
"4096/64" 209782 396399 
"4096/128" 254978 729233 
"4096/256" 285556 1082687 
"4096/512" 447791 1515272 
"4096/1024" 597876 1673993 
"4096/2048" 805213 1913167 
"4096/4096" 829472 2347359 
"8192/4" 16732 17014 
"8192/8" 18270 40681 
"8192/16" 33175 89691 
"8192/32" 70682 202998 
"8192/64" 79217 338623 
"8192/128" 252246 613579 
"8192/256" 282815 1113053 
"8192/512" 477385 1481099 
"8192/1024" 587960 1976878 
"8192/2048" 812867 2142287 
"8192/4096" 853683 2471958 
"8192/8192" 957687 2703616 
"16384/4" 7844 14249 
"16384/8" 28725 19237 
"16384/16" 24324 112671 
"16384/32" 60084 154856 
"16384/64" 106943 272993 
"16384/128" 114959 318203 
"16384/256" 282965 1285417 
"16384/512" 462630 1632221 
"16384/1024" 579677 2030729 
"16384/2048" 778234 2084758 
"16384/4096" 849302 2555690 
"16384/8192" 865781 3401145 
"16384/16384" 979024 3215727 
"32768/64" 91872 269248 
"32768/128" 159713 708942 
"32768/256" 139642 1161657 
"32768/512" 315927 1634644 
"32768/1024" 407020 2103610 
"32768/2048" 744878 2463028 
"32768/4096" 828985 2744398 
"32768/8192" 869152 3287949 
"32768/16384" 945990 3779034 
"65536/64" 77563 297839 
"65536/128" 113977 711034 
"65536/256" 182694 705318 
"65536/512" 253329 1605006 
"65536/1024" 313122 2142331 
"65536/2048" 424884 2564594 
"65536/4096" 379567 2676127 
"65536/8192" 606001 2945452 
"65536/16384" 884987 4406379 
"131072/64" 70253 242761 
"131072/128" 107026 382110 
"131072/256" 148541 762893 
"131072/512" 213724 790881 
"131072/1024" 292342 995087 
"131072/2048" 373177 2381175 
"131072/4096" 501152 3279426 
"131072/8192" 739162 3531233 
"131072/16384" 820538 4162583 
"262144/64" 75430 198139 
"262144/128" 106209 283233 
"262144/256" 137264 736871 
"262144/512" 185163 860504 
"262144/1024" 213850 1092466 
"262144/2048" 324463 1484563 
"262144/4096" 426138 2412692 
"262144/8192" 549163 1977400 
"262144/16384" 811385 3330170 
"524288/64" 74986 120600 
"524288/128" 103017 236151 
"524288/256" 135524 363383 
"524288/512" 189213 732835 
"524288/1024" 223825 997351 
"524288/2048" 410843 1615361 
"524288/4096" 486867 1767247 
"524288/8192" 569137 2252502 
"524288/16384" 767972 2407121 
