Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 15369 15763 
"64/8" 19808 25951 
"64/16" 41696 43095 
"64/32" 50073 64007 
"64/64" 102895 206997 
"128/4" 15638 14036 
"128/8" 26457 23916 
"128/16" 46713 53898 
"128/32" 73274 92090 
"128/64" 93845 143325 
"128/128" 157034 258508 
"256/4" 9420 9118 
"256/8" 26865 34362 
"256/16" 47233 48301 
"256/32" 92517 83907 
"256/64" 116107 166244 
"256/128" 149446 219947 
"256/256" 209314 482189 
"512/4" 10964 9946 
"512/8" 33249 29554 
"512/16" 56870 47721 
"512/32" 67582 118437 
"512/64" 111373 191469 
"512/128" 156913 269047 
"512/256" 201022 403449 
"512/512" 42236 729244 
"1024/4" 10721 19069 
"1024/8" 26617 23148 
"1024/16" 50441 32520 
"1024/32" 75571 127345 
"1024/64" 110918 236809 
"1024/128" 154635 357919 
"1024/256" 200084 463779 
"1024/512" 290577 676819 
"1024/1024" 361079 825827 
"2048/4" 10398 17386 
"2048/8" 23782 27321 
"2048/16" 60306 60525 
"2048/32" 85426 85755 
"2048/64" 127967 272524 
"2048/128" 167347 363767 
"2048/256" 213330 560159 
"2048/512" 355193 613750 
"2048/1024" 417112 904984 
"2048/2048" 579664 1049113 
"4096/4" 16417 18522 
"4096/8" 26439 37708 
"4096/16" 42500 80637 
"4096/32" 88230 130611 
"4096/64" 133094 144504 
"4096/128" 172579 355559 
"4096/256" 212614 574389 
"4096/512" 311529 752651 
"4096/1024" 447802 1007628 
"4096/2048" 576238 1007864 
"4096/4096" 514894 1070609 
"8192/4" 17943 19312 
"8192/8" 21337 38615 
"8192/16" 68586 70165 
"8192/32" 82118 171423 
"8192/64" 116335 271995 
"8192/128" 155433 435977 
"8192/256" 203999 637060 
"8192/512" 381237 913171 
"8192/1024" 405564 1187775 
"8192/2048" 662039 1134928 
"8192/4096" 544064 1150239 
"8192/8192" 524153 1104040 
"16384/4" 15721 17838 
"16384/8" 28457 34090 
"16384/16" 83900 75054 
"16384/32" 95357 134960 
"16384/64" 124118 231808 
"16384/128" 154849 262048 
"16384/256" 201168 656780 
"16384/512" 254129 1037419 
"16384/1024" 415226 1095256 
"16384/2048" 541956 1221054 
"16384/4096" 571648 998774 
"16384/8192" 516941 1568873 
"16384/16384" 600055 1297112 
"32768/64" 155731 170501 
"32768/128" 161045 345898 
"32768/256" 183154 502436 
"32768/512" 229110 979078 
"32768/1024" 361717 1236909 
"32768/2048" 547583 1642517 
"32768/4096" 437770 1244322 
"32768/8192" 424880 1489452 
"32768/16384" 482933 1346044 
"65536/64" 156696 228133 
"65536/128" 168593 300694 
"65536/256" 182398 624580 
"65536/512" 238747 963254 
"65536/1024" 324105 1101985 
"65536/2048" 467643 1594624 
"65536/4096" 380992 1554424 
"65536/8192" 434672 1540753 
"65536/16384" 393259 1422934 
"131072/64" 159694 248318 
"131072/128" 167336 292288 
"131072/256" 203579 737137 
"131072/512" 298426 836959 
"131072/1024" 296741 1202748 
"131072/2048" 420411 1521475 
"131072/4096" 403540 1226460 
"131072/8192" 359101 1046775 
"131072/16384" 434495 1493800 
"262144/64" 166864 241700 
"262144/128" 190643 311730 
"262144/256" 205959 891091 
"262144/512" 307529 957589 
"262144/1024" 346015 1122316 
"262144/2048" 363078 1399683 
"262144/4096" 347031 1306077 
"262144/8192" 434240 1317942 
"262144/16384" 393083 1358337 
"524288/64" 165858 234454 
"524288/128" 184977 292213 
"524288/256" 209503 830946 
"524288/512" 282942 701037 
"524288/1024" 330882 913366 
"524288/2048" 402895 1199908 
"524288/4096" 411315 1144546 
"524288/8192" 377204 1101313 
"524288/16384" 492376 1157151 
