Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 28059 28710 
"64/8" 50317 56136 
"64/16" 86125 111300 
"64/32" 140409 138812 
"64/64" 193424 249057 
"128/4" 13467 14215 
"128/8" 54677 53490 
"128/16" 96096 87483 
"128/32" 128906 159034 
"128/64" 194532 235800 
"128/128" 200638 349569 
"256/4" 25780 20359 
"256/8" 57129 26178 
"256/16" 87948 31995 
"256/32" 151641 138372 
"256/64" 160312 297946 
"256/128" 222776 466275 
"256/256" 240167 764334 
"512/4" 25608 18688 
"512/8" 57514 50528 
"512/16" 37948 52470 
"512/32" 124572 209924 
"512/64" 158804 272046 
"512/128" 229583 456347 
"512/256" 247098 840895 
"512/512" 385488 1030064 
"1024/4" 23747 35927 
"1024/8" 44334 41477 
"1024/16" 95816 99874 
"1024/32" 141106 112463 
"1024/64" 176734 402383 
"1024/128" 205748 653047 
"1024/256" 250979 698050 
"1024/512" 408623 1395464 
"1024/1024" 573671 1565902 
"2048/4" 29223 33738 
"2048/8" 44407 48436 
"2048/16" 76040 149445 
"2048/32" 139785 139767 
"2048/64" 194027 352381 
"2048/128" 227151 613575 
"2048/256" 248574 827482 
"2048/512" 422093 1420104 
"2048/1024" 543811 1469167 
"2048/2048" 819196 2120026 
"4096/4" 35352 34112 
"4096/8" 54923 57695 
"4096/16" 64519 96313 
"4096/32" 91103 177717 
"4096/64" 198171 201377 
"4096/128" 244390 711004 
"4096/256" 260459 986282 
"4096/512" 450350 1492110 
"4096/1024" 584969 1743652 
"4096/2048" 771962 2119975 
"4096/4096" 821028 2081448 
"8192/4" 44898 31497 
"8192/8" 58257 74413 
"8192/16" 78965 111029 
"8192/32" 106016 200941 
"8192/64" 129497 352419 
"8192/128" 243990 417109 
"8192/256" 242258 955318 
"8192/512" 434423 1302797 
"8192/1024" 530539 1843352 
"8192/2048" 817236 1991314 
"8192/4096" 843311 2637415 
"8192/8192" 862057 2520556 
"16384/4" 49670 46593 
"16384/8" 69698 74240 
"16384/16" 105724 112601 
"16384/32" 135561 228670 
"16384/64" 147880 329247 
"16384/128" 173804 451561 
"16384/256" 274826 1025345 
"16384/512" 415751 1153479 
"16384/1024" 466778 1681465 
"16384/2048" 799102 1989746 
"16384/4096" 846321 2330516 
"16384/8192" 845707 2460787 
"16384/16384" 998890 3216329 
"32768/64" 186923 380833 
"32768/128" 212808 314264 
"32768/256" 193206 644023 
"32768/512" 369979 1215791 
"32768/1024" 554675 1791487 
"32768/2048" 517832 2084088 
"32768/4096" 855652 2325618 
"32768/8192" 871583 3014818 
"32768/16384" 1008742 3733454 
"65536/64" 201716 378849 
"65536/128" 199014 538760 
"65536/256" 249462 945563 
"65536/512" 379491 1288916 
"65536/1024" 489622 1869144 
"65536/2048" 612440 2152312 
"65536/4096" 720651 2610803 
"65536/8192" 731093 2754872 
"65536/16384" 1001680 2877434 
"131072/64" 213520 342825 
"131072/128" 246809 685996 
"131072/256" 254646 533248 
"131072/512" 404596 1266284 
"131072/1024" 476424 1343460 
"131072/2048" 678114 2215249 
"131072/4096" 756714 2543460 
"131072/8192" 786869 2686009 
"131072/16384" 922028 3441118 
"262144/64" 231222 440010 
"262144/128" 251090 757946 
"262144/256" 273267 1100858 
"262144/512" 419917 1407038 
"262144/1024" 488854 1577668 
"262144/2048" 744997 2251479 
"262144/4096" 786780 2290287 
"262144/8192" 988819 2868003 
"262144/16384" 1052572 3147741 
"524288/64" 225131 490330 
"524288/128" 258186 757210 
"524288/256" 291249 1144946 
"524288/512" 486884 1541171 
"524288/1024" 564456 1865254 
"524288/2048" 738469 1942066 
"524288/4096" 815540 2405820 
"524288/8192" 777701 2588831 
"524288/16384" 1130082 2777155 
