Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 16798 15180 
"64/8" 23522 26468 
"64/16" 38814 40734 
"64/32" 50195 55555 
"64/64" 129254 157643 
"128/4" 16038 15331 
"128/8" 26727 33523 
"128/16" 49400 46346 
"128/32" 71670 85668 
"128/64" 94672 139454 
"128/128" 186815 281260 
"256/4" 10344 9512 
"256/8" 37531 27441 
"256/16" 54491 51927 
"256/32" 81972 88367 
"256/64" 96387 138981 
"256/128" 145045 206934 
"256/256" 185229 453858 
"512/4" 8958 12058 
"512/8" 25584 18841 
"512/16" 49084 56060 
"512/32" 81502 105913 
"512/64" 112059 141209 
"512/128" 144516 302428 
"512/256" 186643 408981 
"512/512" 357329 645509 
"1024/4" 14464 20516 
"1024/8" 33057 25973 
"1024/16" 56577 41615 
"1024/32" 91616 132848 
"1024/64" 123107 253214 
"1024/128" 158265 368198 
"1024/256" 210271 447401 
"1024/512" 303406 730833 
"1024/1024" 452111 910953 
"2048/4" 15227 17138 
"2048/8" 25385 30280 
"2048/16" 54845 64422 
"2048/32" 92106 83592 
"2048/64" 127055 264535 
"2048/128" 171971 376953 
"2048/256" 223040 555163 
"2048/512" 365267 652442 
"2048/1024" 462500 961401 
"2048/2048" 537112 1020448 
"4096/4" 18076 19063 
"4096/8" 22001 39904 
"4096/16" 44432 61517 
"4096/32" 90216 131243 
"4096/64" 133185 151367 
"4096/128" 173025 361196 
"4096/256" 208820 706705 
"4096/512" 341930 978251 
"4096/1024" 413566 945049 
"4096/2048" 584969 1249917 
"4096/4096" 523316 1232255 
"8192/4" 17855 18038 
"8192/8" 29107 27871 
"8192/16" 78603 71064 
"8192/32" 64588 114010 
"8192/64" 121897 224986 
"8192/128" 161868 305716 
"8192/256" 218821 584977 
"8192/512" 356747 935167 
"8192/1024" 416811 1131490 
"8192/2048" 521449 1079584 
"8192/4096" 540300 1094161 
"8192/8192" 533786 1024782 
"16384/4" 16579 17143 
"16384/8" 32283 30507 
"16384/16" 106653 60429 
"16384/32" 107319 141252 
"16384/64" 110655 278345 
"16384/128" 142726 294205 
"16384/256" 195366 711015 
"16384/512" 345050 995446 
"16384/1024" 421463 1172711 
"16384/2048" 605112 1282515 
"16384/4096" 613102 1107096 
"16384/8192" 599820 1575816 
"16384/16384" 659104 1517729 
"32768/64" 131839 279931 
"32768/128" 155852 328330 
"32768/256" 196641 637150 
"32768/512" 299374 995236 
"32768/1024" 341910 1364824 
"32768/2048" 592701 1557932 
"32768/4096" 536318 1442325 
"32768/8192" 598055 1293180 
"32768/16384" 525726 1361417 
"65536/64" 163783 197531 
"65536/128" 175912 315534 
"65536/256" 189680 542646 
"65536/512" 292358 960135 
"65536/1024" 350870 1124176 
"65536/2048" 426819 1566605 
"65536/4096" 391098 1540063 
"65536/8192" 414462 1358254 
"65536/16384" 376342 1316245 
"131072/64" 182832 256673 
"131072/128" 184331 283654 
"131072/256" 205495 850233 
"131072/512" 303794 842002 
"131072/1024" 296118 1007905 
"131072/2048" 398072 1412840 
"131072/4096" 428687 1242246 
"131072/8192" 431457 1277391 
"131072/16384" 423204 1417222 
"262144/64" 170512 215880 
"262144/128" 179710 314566 
"262144/256" 207341 717267 
"262144/512" 313418 990953 
"262144/1024" 351566 1024528 
"262144/2048" 430994 1332100 
"262144/4096" 443450 1296088 
"262144/8192" 431125 1425253 
"262144/16384" 400338 1335589 
"524288/64" 172436 199273 
"524288/128" 181212 331741 
"524288/256" 210270 745023 
"524288/512" 302543 637865 
"524288/1024" 325889 1129288 
"524288/2048" 410879 1271355 
"524288/4096" 434471 1214588 
"524288/8192" 408765 1145629 
"524288/16384" 419476 1132701 
