Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 28307 31496 
"64/8" 48082 13579 
"64/16" 93570 104214 
"64/32" 128758 179219 
"64/64" 167897 230257 
"128/4" 29816 28608 
"128/8" 49459 50016 
"128/16" 99295 96684 
"128/32" 135580 125501 
"128/64" 202531 314547 
"128/128" 233137 352553 
"256/4" 28412 30235 
"256/8" 58128 53588 
"256/16" 85962 115371 
"256/32" 152394 186581 
"256/64" 194984 397563 
"256/128" 215835 590031 
"256/256" 245943 705107 
"512/4" 31145 29774 
"512/8" 58440 55065 
"512/16" 100331 94887 
"512/32" 152468 210872 
"512/64" 172159 299601 
"512/128" 242193 488530 
"512/256" 243125 918982 
"512/512" 393253 1047141 
"1024/4" 28885 30232 
"1024/8" 58165 55842 
"1024/16" 102400 125816 
"1024/32" 87135 188171 
"1024/64" 186625 413382 
"1024/128" 222217 603835 
"1024/256" 258067 721624 
"1024/512" 434282 1466957 
"1024/1024" 571154 1834824 
"2048/4" 30505 30924 
"2048/8" 57766 58224 
"2048/16" 100406 104978 
"2048/32" 155280 234621 
"2048/64" 207708 409106 
"2048/128" 239108 566550 
"2048/256" 265417 885030 
"2048/512" 444457 1400881 
"2048/1024" 572402 1528239 
"2048/2048" 824148 1828499 
"4096/4" 30591 28685 
"4096/8" 58138 59076 
"4096/16" 100791 101844 
"4096/32" 152910 242308 
"4096/64" 204861 384029 
"4096/128" 252623 717957 
"4096/256" 272014 1049164 
"4096/512" 121875 1511939 
"4096/1024" 594566 1677917 
"4096/2048" 789995 2195003 
"4096/4096" 824971 2494606 
"8192/4" 45797 45412 
"8192/8" 64470 58756 
"8192/16" 103562 110623 
"8192/32" 148424 209357 
"8192/64" 164125 339493 
"8192/128" 258113 610527 
"8192/256" 282482 1068206 
"8192/512" 461131 1511726 
"8192/1024" 605118 1857603 
"8192/2048" 832603 1938511 
"8192/4096" 880865 2355374 
"8192/8192" 903803 2663172 
"16384/4" 56391 58967 
"16384/8" 78932 70783 
"16384/16" 86427 121953 
"16384/32" 145645 229364 
"16384/64" 201693 358293 
"16384/128" 197857 645697 
"16384/256" 257265 1150563 
"16384/512" 460599 1574480 
"16384/1024" 567864 1835956 
"16384/2048" 817974 1081093 
"16384/4096" 858115 2611338 
"16384/8192" 858426 3129044 
"16384/16384" 986458 3549412 
"32768/64" 135247 360618 
"32768/128" 221625 693121 
"32768/256" 202605 1071767 
"32768/512" 355104 1584844 
"32768/1024" 541610 1796193 
"32768/2048" 480462 1508531 
"32768/4096" 850121 2387468 
"32768/8192" 879582 3353985 
"32768/16384" 996867 3409058 
"65536/64" 220573 350484 
"65536/128" 242334 720745 
"65536/256" 248372 1072443 
"65536/512" 400366 1546936 
"65536/1024" 382383 1952149 
"65536/2048" 714414 2181193 
"65536/4096" 711929 2754900 
"65536/8192" 754589 2935418 
"65536/16384" 878112 3648750 
"131072/64" 244629 381251 
"131072/128" 239686 706039 
"131072/256" 261406 1076532 
"131072/512" 406486 1459683 
"131072/1024" 481367 1957932 
"131072/2048" 713157 2156253 
"131072/4096" 696557 3070887 
"131072/8192" 768110 3196574 
"131072/16384" 904937 3599390 
"262144/64" 246554 498502 
"262144/128" 270776 840415 
"262144/256" 273338 1070172 
"262144/512" 447891 1282901 
"262144/1024" 545597 1858256 
"262144/2048" 763264 2428631 
"262144/4096" 817228 2433248 
"262144/8192" 852847 2449964 
"262144/16384" 1051276 3303098 
"524288/64" 203424 447130 
"524288/128" 274998 855254 
"524288/256" 283407 1557243 
"524288/512" 485407 1814584 
"524288/1024" 578534 2144677 
"524288/2048" 808131 2486686 
"524288/4096" 805088 2472708 
"524288/8192" 859247 2670932 
"524288/16384" 823254 3489627 
