Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 3014 13252 
"64/8" 24844 27093 
"64/16" 40198 36280 
"64/32" 36762 57031 
"64/64" 91435 165823 
"128/4" 37460 7961 
"128/8" 23180 19198 
"128/16" 44769 52785 
"128/32" 70485 80807 
"128/64" 91494 14045 
"128/128" 134023 270082 
"256/4" 13453 8859 
"256/8" 25211 66821 
"256/16" 39373 16956 
"256/32" 77645 81580 
"256/64" 100709 145438 
"256/128" 138819 196447 
"256/256" 182584 379842 
"512/4" 8135 13159 
"512/8" 28702 11841 
"512/16" 48179 29929 
"512/32" 70223 92302 
"512/64" 95862 180524 
"512/128" 137115 279663 
"512/256" 187343 384109 
"512/512" 305874 579804 
"1024/4" 12669 17391 
"1024/8" 24691 22303 
"1024/16" 54671 24365 
"1024/32" 84530 60581 
"1024/64" 106933 69940 
"1024/128" 150654 335733 
"1024/256" 212582 484168 
"1024/512" 285402 709114 
"1024/1024" 394910 203776 
"2048/4" 13974 13123 
"2048/8" 35502 26961 
"2048/16" 57335 77903 
"2048/32" 85113 99980 
"2048/64" 123484 171425 
"2048/128" 96118 334098 
"2048/256" 196077 563244 
"2048/512" 323540 769651 
"2048/1024" 367817 938195 
"2048/2048" 161693 1005399 
"4096/4" 17705 14421 
"4096/8" 24735 35246 
"4096/16" 68097 41754 
"4096/32" 49030 132270 
"4096/64" 114445 146756 
"4096/128" 163682 416776 
"4096/256" 212108 645258 
"4096/512" 306516 920885 
"4096/1024" 431429 1086178 
"4096/2048" 163414 1270436 
"4096/4096" 480975 1039892 
"8192/4" 15887 20565 
"8192/8" 23914 30463 
"8192/16" 75964 71534 
"8192/32" 98946 154653 
"8192/64" 136030 214477 
"8192/128" 164882 211292 
"8192/256" 203548 254488 
"8192/512" 314823 864139 
"8192/1024" 418644 931971 
"8192/2048" 445433 1111109 
"8192/4096" 533678 1179215 
"8192/8192" 413943 1082441 
"16384/4" 17541 18647 
"16384/8" 41728 32192 
"16384/16" 89411 51702 
"16384/32" 114044 150765 
"16384/64" 121431 227551 
"16384/128" 125944 245386 
"16384/256" 192085 456226 
"16384/512" 316561 834806 
"16384/1024" 450496 1048371 
"16384/2048" 586234 1084676 
"16384/4096" 615177 1062933 
"16384/8192" 594290 1118284 
"16384/16384" 592098 1326226 
"32768/64" 157181 244194 
"32768/128" 162423 309833 
"32768/256" 183955 814782 
"32768/512" 260049 901884 
"32768/1024" 358609 1013174 
"32768/2048" 581189 1216146 
"32768/4096" 568416 1244097 
"32768/8192" 591789 1220954 
"32768/16384" 632415 1444797 
"65536/64" 164742 211808 
"65536/128" 179723 279720 
"65536/256" 186260 820440 
"65536/512" 250206 755605 
"65536/1024" 346091 1138390 
"65536/2048" 449918 1341739 
"65536/4096" 451253 1338616 
"65536/8192" 449233 1071862 
"65536/16384" 455392 1256608 
"131072/64" 179500 206332 
"131072/128" 184670 262447 
"131072/256" 200779 747616 
"131072/512" 285057 808288 
"131072/1024" 316680 990508 
"131072/2048" 428139 1299880 
"131072/4096" 392608 1358314 
"131072/8192" 411936 1196753 
"131072/16384" 400367 1255684 
"262144/64" 163732 233592 
"262144/128" 181629 311969 
"262144/256" 213314 769402 
"262144/512" 300624 874043 
"262144/1024" 354168 1003675 
"262144/2048" 434756 1082886 
"262144/4096" 409426 1010079 
"262144/8192" 404756 1075476 
"262144/16384" 390698 1044148 
"524288/64" 171061 236321 
"524288/128" 186071 309684 
"524288/256" 207089 798851 
"524288/512" 299873 757607 
"524288/1024" 339842 920013 
"524288/2048" 394222 1011883 
"524288/4096" 406863 1094122 
"524288/8192" 413689 1073337 
"524288/16384" 430541 1036504 
