Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 28044 30020 
"64/8" 47579 51485 
"64/16" 73147 69187 
"64/32" 84525 120115 
"64/64" 160854 244297 
"128/4" 30253 27216 
"128/8" 54912 46819 
"128/16" 68928 91760 
"128/32" 118415 155128 
"128/64" 170662 225310 
"128/128" 196023 330828 
"256/4" 16069 28107 
"256/8" 57435 55219 
"256/16" 84996 88513 
"256/32" 128579 185646 
"256/64" 168197 254452 
"256/128" 208622 336933 
"256/256" 274627 646518 
"512/4" 17770 14265 
"512/8" 29135 29679 
"512/16" 96582 97693 
"512/32" 135660 192275 
"512/64" 169817 303282 
"512/128" 203498 465447 
"512/256" 254477 724325 
"512/512" 439445 908101 
"1024/4" 22215 33465 
"1024/8" 47208 40040 
"1024/16" 92872 63907 
"1024/32" 141552 190195 
"1024/64" 193285 360050 
"1024/128" 240873 608455 
"1024/256" 254655 867704 
"1024/512" 378117 1193442 
"1024/1024" 495393 1299612 
"2048/4" 16078 29440 
"2048/8" 55869 47675 
"2048/16" 78747 102430 
"2048/32" 146864 110541 
"2048/64" 175269 347815 
"2048/128" 239588 605914 
"2048/256" 277732 915497 
"2048/512" 499885 1234397 
"2048/1024" 560964 1624172 
"2048/2048" 637197 1990343 
"4096/4" 27019 23653 
"4096/8" 43760 53691 
"4096/16" 75222 92770 
"4096/32" 106059 151732 
"4096/64" 202361 203002 
"4096/128" 238653 685883 
"4096/256" 279858 1039641 
"4096/512" 403664 1341149 
"4096/1024" 531131 1809206 
"4096/2048" 819540 2064440 
"4096/4096" 306768 2374613 
"8192/4" 23953 24443 
"8192/8" 23864 42046 
"8192/16" 54071 92362 
"8192/32" 103345 187477 
"8192/64" 192278 349192 
"8192/128" 245292 409025 
"8192/256" 219412 1045964 
"8192/512" 519070 1520153 
"8192/1024" 581699 1849206 
"8192/2048" 675962 2097817 
"8192/4096" 828908 2462391 
"8192/8192" 828308 2731558 
"16384/4" 10068 9771 
"16384/8" 19542 27900 
"16384/16" 34710 102662 
"16384/32" 87090 178887 
"16384/64" 146802 336994 
"16384/128" 170345 425624 
"16384/256" 280798 1155593 
"16384/512" 416717 899719 
"16384/1024" 533682 1812996 
"16384/2048" 598545 2069190 
"16384/4096" 614852 2317704 
"16384/8192" 886247 2473809 
"16384/16384" 663451 3204481 
"32768/64" 84706 349386 
"32768/128" 216220 461262 
"32768/256" 268742 765801 
"32768/512" 465554 1445055 
"32768/1024" 573920 1711999 
"32768/2048" 669898 2000368 
"32768/4096" 832651 2198889 
"32768/8192" 828520 2432814 
"32768/16384" 991467 2690302 
"65536/64" 86353 332393 
"65536/128" 166628 567996 
"65536/256" 262866 992461 
"65536/512" 392071 1497280 
"65536/1024" 408136 1628994 
"65536/2048" 739842 1776904 
"65536/4096" 778003 2415196 
"65536/8192" 882544 2466803 
"65536/16384" 971726 2218317 
"131072/64" 100372 289988 
"131072/128" 149253 365065 
"131072/256" 219364 665272 
"131072/512" 322034 1039652 
"131072/1024" 378159 1944717 
"131072/2048" 686064 2300033 
"131072/4096" 723683 2722617 
"131072/8192" 722897 3074941 
"131072/16384" 694999 3191193 
"262144/64" 107180 120409 
"262144/128" 158478 419132 
"262144/256" 240179 389165 
"262144/512" 325885 769400 
"262144/1024" 457245 1610133 
"262144/2048" 632964 1881366 
"262144/4096" 666849 2949675 
"262144/8192" 672041 3137161 
"262144/16384" 751619 3408801 
"524288/64" 111775 142957 
"524288/128" 145568 235826 
"524288/256" 182654 436190 
"524288/512" 342821 715631 
"524288/1024" 362102 1281110 
"524288/2048" 621965 1623560 
"524288/4096" 575914 2131840 
"524288/8192" 627725 2357272 
"524288/16384" 801341 3696988 
