Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 12302 12926 
"64/8" 23615 26623 
"64/16" 40458 34840 
"64/32" 46677 53958 
"64/64" 93019 130574 
"128/4" 14181 13975 
"128/8" 26287 22007 
"128/16" 40632 40113 
"128/32" 56716 77105 
"128/64" 88158 112579 
"128/128" 148314 288981 
"256/4" 12378 15359 
"256/8" 29813 31102 
"256/16" 45730 45894 
"256/32" 95124 75739 
"256/64" 111259 132237 
"256/128" 140748 193648 
"256/256" 205942 432297 
"512/4" 11204 10585 
"512/8" 15128 25202 
"512/16" 60944 51404 
"512/32" 73860 110821 
"512/64" 100968 144837 
"512/128" 143176 252354 
"512/256" 198992 369122 
"512/512" 305482 587899 
"1024/4" 14127 18598 
"1024/8" 23501 24208 
"1024/16" 52467 35955 
"1024/32" 82594 94902 
"1024/64" 107697 241049 
"1024/128" 150474 261429 
"1024/256" 195868 483460 
"1024/512" 345149 613934 
"1024/1024" 431143 929283 
"2048/4" 15540 17689 
"2048/8" 23056 25377 
"2048/16" 46463 72260 
"2048/32" 91760 87738 
"2048/64" 119618 166695 
"2048/128" 153718 281740 
"2048/256" 195044 489265 
"2048/512" 322932 763020 
"2048/1024" 378698 1059464 
"2048/2048" 609007 1361578 
"4096/4" 16037 19125 
"4096/8" 25995 37087 
"4096/16" 48977 59235 
"4096/32" 80367 145905 
"4096/64" 124430 129982 
"4096/128" 160550 427830 
"4096/256" 199009 538726 
"4096/512" 339015 780626 
"4096/1024" 397288 1060891 
"4096/2048" 603950 972437 
"4096/4096" 598043 1162702 
"8192/4" 15511 15690 
"8192/8" 20482 34573 
"8192/16" 63567 60958 
"8192/32" 82184 140367 
"8192/64" 118760 207713 
"8192/128" 157175 268431 
"8192/256" 214488 579306 
"8192/512" 304332 617749 
"8192/1024" 433070 846803 
"8192/2048" 541722 1275237 
"8192/4096" 529060 1368760 
"8192/8192" 547523 1067344 
"16384/4" 15969 15855 
"16384/8" 21426 25110 
"16384/16" 88496 65175 
"16384/32" 103038 137955 
"16384/64" 109167 219748 
"16384/128" 165543 276621 
"16384/256" 204938 629813 
"16384/512" 329081 916628 
"16384/1024" 423009 916738 
"16384/2048" 558836 1087836 
"16384/4096" 532709 1305168 
"16384/8192" 622589 1193817 
"16384/16384" 599072 1190013 
"32768/64" 129108 252416 
"32768/128" 152829 286168 
"32768/256" 195267 645456 
"32768/512" 262121 905020 
"32768/1024" 428345 1252316 
"32768/2048" 659316 1356459 
"32768/4096" 552861 1293898 
"32768/8192" 515026 1403529 
"32768/16384" 572868 1511500 
"65536/64" 158933 217737 
"65536/128" 177228 325310 
"65536/256" 184457 466548 
"65536/512" 276976 846599 
"65536/1024" 356631 1290483 
"65536/2048" 466980 1196193 
"65536/4096" 496435 1240273 
"65536/8192" 432045 1449618 
"65536/16384" 450871 1414579 
"131072/64" 157476 247325 
"131072/128" 179811 309201 
"131072/256" 228430 827375 
"131072/512" 267105 830084 
"131072/1024" 344724 1169596 
"131072/2048" 471175 1333915 
"131072/4096" 485847 1433609 
"131072/8192" 428317 1351143 
"131072/16384" 484313 1300729 
"262144/64" 172439 267871 
"262144/128" 174090 316641 
"262144/256" 206544 624680 
"262144/512" 283794 820620 
"262144/1024" 327530 1107190 
"262144/2048" 391246 1194724 
"262144/4096" 444346 1279612 
"262144/8192" 428723 1217180 
"262144/16384" 438276 1232986 
"524288/64" 168569 219614 
"524288/128" 186112 310829 
"524288/256" 203011 684576 
"524288/512" 292139 627581 
"524288/1024" 337059 877648 
"524288/2048" 410273 968246 
"524288/4096" 403386 1054090 
"524288/8192" 390206 1014024 
"524288/16384" 412028 1055037 
