Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 
"64/4" 538 3879 3157 14770 12302 
"64/8" 23469 30246 21403 22535 23615 
"64/16" 33438 33664 39286 42327 40458 
"64/32" 36325 50630 49537 57091 46677 
"64/64" 2532 101610 83655 90024 93019 
"128/4" 16888 5350 13124 15019 14181 
"128/8" 24677 23782 22229 21849 26287 
"128/16" 40125 41515 34052 49651 40632 
"128/32" 74505 62110 57090 55177 56716 
"128/64" 89124 86136 82955 90066 88158 
"128/128" 144288 142716 139309 146294 148314 
"256/4" 15652 11731 10975 5653 12378 
"256/8" 28664 23663 11045 26561 29813 
"256/16" 44145 36529 40615 39012 45730 
"256/32" 61287 62605 99385 57272 95124 
"256/64" 85531 81197 108658 87191 111259 
"256/128" 157352 141920 138372 165476 140748 
"256/256" 217497 253971 196016 273508 205942 
"512/4" 18560 12009 11882 14110 11204 
"512/8" 14245 36579 29802 18324 15128 
"512/16" 48334 42794 56662 46293 60944 
"512/32" 69245 78963 76510 69830 73860 
"512/64" 105218 97542 103076 111281 100968 
"512/128" 138450 146238 144099 151478 143176 
"512/256" 182674 222610 190332 226651 198992 
"512/512" 242302 253965 283055 244259 305482 
"1024/4" 16407 15929 15159 22894 14127 
"1024/8" 18442 18709 31659 18934 23501 
"1024/16" 27224 49413 53286 53547 52467 
"1024/32" 86493 69296 85135 75448 82594 
"1024/64" 100020 113612 115444 119667 107697 
"1024/128" 153021 149142 151949 142539 150474 
"1024/256" 202375 206530 216952 227405 195868 
"1024/512" 246273 246797 293576 289013 345149 
"1024/1024" 418294 345815 428263 349473 431143 
"2048/4" 12735 15503 16458 16301 15540 
"2048/8" 23288 19484 23404 22902 23056 
"2048/16" 51917 48285 45340 44325 46463 
"2048/32" 78714 84054 86457 79012 91760 
"2048/64" 124385 123507 120245 125084 119618 
"2048/128" 157103 162889 76395 164922 153718 
"2048/256" 112422 225151 198158 231492 195044 
"2048/512" 278218 288206 314007 276685 322932 
"2048/1024" 386050 417964 406262 435842 378698 
"2048/2048" 479407 584277 517191 234244 609007 
"4096/4" 20463 18171 16700 16444 16037 
"4096/8" 21484 33242 32665 21650 25995 
"4096/16" 40313 55358 50135 43995 48977 
"4096/32" 83154 84861 80707 75335 80367 
"4096/64" 94456 122863 120374 126360 124430 
"4096/128" 164221 163342 161885 164181 160550 
"4096/256" 237242 222875 201179 231988 199009 
"4096/512" 284581 276586 353343 269459 339015 
"4096/1024" 422402 413068 393656 420016 397288 
"4096/2048" 468974 557357 532019 517110 603950 
"4096/4096" 465304 578041 325753 587088 598043 
"8192/4" 14321 18970 18091 18318 15511 
"8192/8" 19383 23546 26469 22910 20482 
"8192/16" 60081 45013 55578 66510 63567 
"8192/32" 60934 39219 66350 82101 82184 
"8192/64" 119135 116266 121865 121118 118760 
"8192/128" 163728 165394 163981 164171 157175 
"8192/256" 230040 224020 201952 223227 214488 
"8192/512" 278591 277383 314678 287075 304332 
"8192/1024" 396343 396535 392432 175699 433070 
"8192/2048" 651965 627313 380103 578857 541722 
"8192/4096" 410320 566648 488753 573677 529060 
"8192/8192" 580050 545914 489135 598353 547523 
"16384/4" 16302 17134 18278 18157 15969 
"16384/8" 24723 25371 24134 28682 21426 
"16384/16" 87946 90228 91809 89760 88496 
"16384/32" 97927 107469 82366 97433 103038 
"16384/64" 122144 87394 111855 107484 109167 
"16384/128" 162541 163439 166792 160598 165543 
"16384/256" 232872 221369 205846 228498 204938 
"16384/512" 290547 281192 317144 278275 329081 
"16384/1024" 427780 400722 406915 440891 423009 
"16384/2048" 563372 474294 567274 497420 558836 
"16384/4096" 534009 652806 530981 630033 532709 
"16384/8192" 568851 552634 585036 567175 622589 
