Mode 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 
"64/4" 34669 34669 32957 26263 25165 
"64/8" 8683 34371 8618 26250 28156 
"64/16" 29411 60203 56337 56443 52937 
"64/32" 30812 113656 97407 87557 31809 
"64/64" 219883 121419 169273 149896 10812 
"128/4" 34923 15669 27296 30316 994 
"128/8" 33951 9475 27078 30309 29991 
"128/16" 69338 64513 30397 16804 46191 
"128/32" 128752 108925 102070 28206 107571 
"128/64" 158238 68227 161815 58211 5749 
"128/128" 259633 50976 203221 49454 5408 
"256/4" 31702 8974 11221 8803 25865 
"256/8" 35053 14064 11804 18037 27849 
"256/16" 64648 62059 27556 25221 41204 
"256/32" 115632 66630 53668 63054 97006 
"256/64" 219363 41897 111733 61434 110628 
"256/128" 264741 83469 88857 60534 120417 
"256/256" 391475 59343 189078 65556 106534 
"512/4" 34982 8452 8773 6919 9938 
"512/8" 35010 25607 14991 16757 11795 
"512/16" 73151 61178 41097 26907 49310 
"512/32" 129064 28962 55634 108017 93398 
"512/64" 209065 153800 57181 40468 53083 
"512/128" 271324 25444 81335 61933 62669 
"512/256" 365479 81868 94549 122079 100590 
"512/512" 260686 170275 277208 184907 151842 
"1024/4" 36669 11968 8256 8345 9285 
"1024/8" 34008 13211 14858 18372 15501 
"1024/16" 67497 50572 22975 36911 35469 
"1024/32" 137929 71976 81275 59798 54225 
"1024/64" 226148 77405 67275 99737 95150 
"1024/128" 306503 49278 67649 72250 69673 
"1024/256" 388305 239864 78060 62393 77038 
"1024/512" 337739 128531 182820 179018 184074 
"1024/1024" 452301 238466 415421 311076 291821 
"2048/4" 35027 9803 9540 10244 19621 
"2048/8" 35052 19601 17318 20682 23423 
"2048/16" 71598 38933 28508 34954 73974 
"2048/32" 124362 43514 44265 62557 131544 
"2048/64" 165948 60841 130711 86635 198929 
"2048/128" 77965 93704 56942 183166 312852 
"2048/256" 72796 78185 89656 106080 318856 
"2048/512" 160713 163996 154218 158328 461357 
"2048/1024" 220261 397685 175344 100201 539778 
"2048/2048" 325489 604507 387950 389657 827084 
"4096/4" 10916 9189 9447 10000 34797 
"4096/8" 16317 20587 15928 16655 33713 
"4096/16" 50973 31009 33996 37433 68676 
"4096/32" 82492 72593 67253 75645 133337 
"4096/64" 92057 63029 77155 69947 200716 
"4096/128" 123794 90423 69601 77060 258437 
"4096/256" 78854 103772 95041 88514 333603 
"4096/512" 241426 135557 152099 82146 400866 
"4096/1024" 270827 494088 294423 312914 594216 
"4096/2048" 167649 558262 332499 433848 743659 
"4096/4096" 605568 898255 511948 462137 447651 
"8192/4" 27046 6697 9743 9772 22142 
"8192/8" 23579 17156 17239 14680 33820 
"8192/16" 68757 58917 32358 36759 52235 
"8192/32" 131704 43479 79198 51355 130833 
"8192/64" 218668 211778 85970 98773 216638 
"8192/128" 302276 304965 81177 110426 308829 
"8192/256" 393087 351571 75582 78517 370747 
"8192/512" 392697 452495 137653 152867 482792 
"8192/1024" 567828 550541 106847 299789 537603 
"8192/2048" 705353 574752 558651 397729 741345 
"8192/4096" 760342 798139 493796 519603 662678 
"8192/8192" 740163 1048230 567903 554790 613262 
"16384/4" 34674 34829 12385 10281 13770 
"16384/8" 22457 31968 20037 23802 30276 
"16384/16" 70850 68499 29379 28370 67432 
"16384/32" 82596 130155 48315 59677 52504 
"16384/64" 206420 203515 65690 55591 76712 
"16384/128" 327182 68249 117469 92703 86066 
"16384/256" 357916 80025 77433 83096 103346 
"16384/512" 426546 147325 131471 165650 147185 
"16384/1024" 572048 274158 228648 284726 270698 
"16384/2048" 699365 245398 414920 250854 241601 
"16384/4096" 812855 563122 494300 491510 464858 
"16384/8192" 1150640 677447 674488 658789 654055 
"16384/16384" 999151 784336 654497 767757 621244 
"32768/64" 203127 37974 61152 63205 57130 
"32768/128" 243668 72139 71247 73218 79567 
"32768/256" 413053 446916 82430 74736 99527 
"32768/512" 123463 525003 204039 154448 123414 
"32768/1024" 301942 645484 274160 218094 275696 
"32768/2048" 442565 745642 393099 378168 383497 
"32768/4096" 551178 1005649 336089 506023 506648 
"32768/8192" 592731 1325622 655845 605962 663495 
"32768/16384" 801684 1348302 559477 795148 823274 
"65536/64" 82851 201386 61015 43767 59398 
"65536/128" 80668 44039 65921 116679 77674 
"65536/256" 176390 400357 143723 61718 90905 
"65536/512" 197405 72885 99520 155192 119119 
"65536/1024" 747786 558532 142580 288712 193516 
"65536/2048" 409979 299128 236072 208091 383323 
"65536/4096" 511228 869834 479993 357008 523605 
"65536/8192" 592292 1006201 423263 464329 629802 
"65536/16384" 737967 1333195 585796 611028 686184 
"131072/64" 55037 54702 54336 61403 85487 
"131072/128" 85387 282128 38241 37960 64347 
"131072/256" 80818 426327 81527 82901 77871 
"131072/512" 466409 201724 94523 404700 144857 
"131072/1024" 277983 544364 158721 534941 721698 
"131072/2048" 391748 965325 269016 994354 335394 
"131072/4096" 501302 390834 529887 297840 529498 
"131072/8192" 612760 1140312 458591 1050803 674519 
"131072/16384" 694296 1276483 626338 1359443 190071 
"262144/64" 50953 77254 69319 80865 158661 
"262144/128" 68975 100187 76555 76003 276291 
"262144/256" 64500 173602 77791 80370 76641 
"262144/512" 148194 151356 113522 123454 153329 
"262144/1024" 173161 214740 167140 157406 165484 
"262144/2048" 361498 281736 277442 403325 310689 
"262144/4096" 355705 490298 421706 521562 442721 
"262144/8192" 430062 507850 415189 541127 1188828 
"262144/16384" 686414 673056 706277 1175923 1105728 
"524288/64" 88794 51222 45109 101149 151464 
"524288/128" 107017 46773 39194 56091 228003 
"524288/256" 330902 72680 166513 87547 92201 
"524288/512" 144716 113271 101328 113953 142352 
"524288/1024" 225498 178416 171065 254227 271117 
"524288/2048" 272199 385868 302688 420130 275427 
