Mode 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 
"64/4" 3791156 3738358 4897948 4274062 5860307 
"64/8" 2772930 7100397 4274062 3791156 4274062 
"64/16" 3203069 7940539 4564786 3791156 4897948 
"64/32" 5860307 7100397 7293312 4643754 4564786 
"64/64" 3541098 3738358 4988978 4564786 4564786 
"128/4" 4759253 3124872 2969325 3359523 3445772 
"128/8" 6727225 4717434 3759450 3759450 4233807 
"128/16" 7917784 4596273 4104338 4407601 4889281 
"128/32" 7176872 4557257 4759253 6406138 4934216 
"128/64" 4267461 4557257 6406138 4759253 5379161 
"128/128" 4717434 4717434 5325799 5325799 4934216 
"256/4" 4907284 3236056 3410808 3465855 3545976 
"256/8" 3275543 4070199 4132864 4264168 4553502 
"256/16" 3245838 4572895 4819184 5971678 7073132 
"256/32" 6107548 4998665 4929815 5347168 5687020 
"256/64" 5428265 2613746 5217259 5022044 7735574 
"256/128" 4840911 5142301 5540300 5117791 8024634 
"256/256" 5810112 5117791 5455847 8271916 6107548 
"512/4" 3963567 3556580 3550700 2826358 3877684 
"512/8" 4882800 4271001 4340054 3788747 4375425 
"512/16" 7211022 4784885 5331314 6736026 5278892 
"512/32" 5566231 6909408 5509113 4155301 7647578 
"512/64" 6652558 5331314 5398323 4650188 9145790 
"512/128" 6104175 6319739 7211022 5822804 6104175 
"512/256" 5384786 5624545 6736026 7988981 8140399 
"512/512" 6086873 5509113 6491676 4742616 5968453 
"1024/4" 3751699 3696803 3481072 2918161 4014717 
"1024/8" 6787181 7054742 4550690 4654248 4995276 
"1024/16" 5917516 4854136 5363307 5175871 5500686 
"1024/32" 8525047 8326715 5390231 4805258 8610501 
"1024/64" 6569179 6163794 5821271 5845038 7577494 
"1024/128" 6441107 5885083 5751117 5120336 5660167 
"1024/256" 8076196 6025439 5720477 6025439 6609617 
"1024/512" 8895850 6137371 5917516 9220512 6172653 
"1024/1024" 8750850 7369466 6431462 6441107 8000971 
"2048/4" 5535444 3946119 3786104 3630870 5593112 
"2048/8" 7293167 4356379 4741090 4666399 7636816 
