Mode 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 
"64/4" 3541098 5283570 5389653 3363612 5283570 
"64/8" 3057153 7100397 4897948 4897948 5860307 
"64/16" 3057153 7100397 2772930 3738358 4564786 
"64/32" 4274062 4018152 3588436 3203069 3588436 
"64/64" 4897948 3165299 2772930 3203069 3363612 
"128/4" 3867787 4012317 3468030 3359523 3468030 
"128/8" 5784891 3867787 3468030 5122535 3657016 
"128/16" 4934216 3867787 5122535 3759450 3867787 
"128/32" 6727225 3277486 3895854 3867787 4135958 
"128/64" 2969325 3359523 5122535 3759450 3106789 
"128/128" 2985839 3895854 3759450 3124872 3199360 
"256/4" 5687020 3935921 3087188 3511189 3770085 
"256/8" 3159869 4070199 3326279 3705040 3879045 
"256/16" 3245838 5022044 3994490 4840911 4132864 
"256/32" 3052087 5569035 3605511 4496299 6249745 
"256/64" 3879045 4070199 3557725 3935921 4652146 
"256/128" 3410808 3994490 4054829 6398720 3717869 
"256/256" 4054829 4132864 5569035 4264168 4350555 
"512/4" 3684733 3628697 3678421 3849877 3736016 
"512/8" 4091959 3556580 3822466 5624545 4305250 
"512/16" 4228947 3684733 4131319 5331314 3742527 
"512/32" 5951911 3795443 3849877 5079126 4271001 
"512/64" 4163357 3795443 3822466 4195896 3659616 
"512/128" 4375425 3905895 4262523 4305250 3736016 
"512/256" 5624545 3905895 3970896 3877684 6174377 
"512/512" 4195896 4262523 4271001 3934520 3877684 
"1024/4" 4199201 3863055 3725664 5096034 4079544 
"1024/8" 5507740 4064103 4064103 3709575 4211554 
"1024/16" 6609617 4876180 4211554 3999762 4321737 
"1024/32" 6559147 4451639 3970183 3999762 5507740 
"1024/64" 4531485 4783849 4044965 5593820 5593820 
"1024/128" 4810640 4374559 4110780 4832290 4926518 
"1024/256" 7066349 4415030 4095102 4110780 6199382 
"1024/512" 6918376 5885083 4339202 4410497 4570058 
"1024/1024" 4589593 4415030 4451639 4474829 6733974 
"2048/4" 4063729 5521212 3715681 3477979 4112366 
"2048/8" 4603874 4321315 4223576 3915540 4376355 
"2048/16" 6851089 5611381 4170264 4120256 5596757 
"2048/32" 4994712 6020395 4423683 4441984 4663865 
"2048/64" 4543002 6786139 4347560 4112366 5068389 
"2048/128" 4293237 6945257 6317030 3179330 4686767 
"2048/256" 4502520 4911886 4531020 5852228 6670210 
"2048/512" 4274012 4611288 4807425 4656281 7846081 
"2048/1024" 4994712 4900677 4960102 4653758 5071381 
"2048/2048" 4762117 4741090 4591569 5032754 5009275 
"4096/4" 3785942 6142675 4019805 3643812 4136930 
"4096/8" 4495223 4347346 5178081 4399673 6625976 
"4096/16" 4681411 4696769 4530788 4462528 6420447 
"4096/32" 4510565 4817948 4982841 4380601 6490793 
"4096/64" 4686519 4566920 3297602 4801789 7197849 
"4096/128" 4941279 4928521 4882301 4746074 7237268 
"4096/256" 4846491 3562214 4847858 4801789 7200866 
"4096/512" 4893426 4756587 4824714 6361016 4725189 
"4096/1024" 4864330 6169144 4875373 4757904 4836939 
"4096/2048" 6500617 6595451 4556020 4501111 5184332 
"4096/4096" 4413235 4501111 4325455 4423462 4904602 
"8192/4" 4196965 5535816 2917329 5672914 4021596 
"8192/8" 4015486 6481984 6248582 3873350 5919188 
"8192/16" 6154564 4858693 4665396 4735482 6420214 
"8192/32" 4740709 6215800 4556507 5091232 6601541 
"8192/64" 4937591 4576535 6369040 4810398 5088216 
"8192/128" 5133064 6770651 4961834 7199064 4902367 
"8192/256" 6036702 7346838 4531269 5191229 6742748 
"8192/512" 5622783 7359427 4864196 4710810 4531269 
"8192/1024" 5152307 5777847 6553692 5740202 4118487 
"8192/2048" 3616507 4910774 4873164 4807705 4625826 
"8192/4096" 4602281 6095604 4237859 6127127 4373801 
"8192/8192" 5274909 4297757 5004472 4300447 4067297 
"16384/4" 4195634 6445388 4273385 4678675 4207450 
"16384/8" 6208391 6442970 3988406 6255866 6075022 
"16384/16" 6614125 4782213 6445388 4714626 5851550 
"16384/32" 4915624 4939296 4761668 4844242 4912813 
"16384/64" 4993492 5045925 6858364 4921609 4995307 
"16384/128" 7123547 5917050 4880712 4978660 4960332 
"16384/256" 6684900 4976857 4708166 5851550 5102499 
"16384/512" 7521994 4989142 6767854 5626377 3514378 
"16384/1024" 5012066 7556734 7477794 6284471 4844583 
"16384/2048" 4917031 6164394 6548575 6375425 5505571 
"16384/4096" 5361251 3537171 4527032 4505957 4030513 
"16384/8192" 4942494 5085131 4768276 4067491 4714949 
"16384/16384" 5357489 4304974 4804951 4153286 5287006 
"32768/64" 5038120 5059076 7400010 5768007 5004366 
"32768/128" 5033323 6702441 6455622 4089860 7196960 
"32768/256" 7604317 7259301 5000543 6140929 5843044 
"32768/512" 5476788 5113663 4053432 6273801 6742556 
"32768/1024" 5612088 5059076 4960297 7108002 5049782 
"32768/2048" 5336853 5201921 7311047 6952666 5064669 
"32768/4096" 5510826 5862984 4990556 3797830 4380132 
"32768/8192" 4052476 5578602 4730334 4073012 4514661 
"32768/16384" 4065542 5624490 4729683 4039968 4130048 
"65536/64" 4570800 5494722 8410731 4970055 6673769 
"65536/128" 5772101 5692373 6701592 6460600 5054872 
"65536/256" 5641899 6868203 6711245 6571340 6886960 
"65536/512" 6502937 5360876 7811293 6548328 4499276 
"65536/1024" 4492731 5410470 7081232 7904513 6708625 
"65536/2048" 5057569 6666970 4149425 5535665 5374082 
"65536/4096" 6580622 3883399 5673106 4110889 5343265 
"65536/8192" 4113780 5606686 3574726 4357483 4488403 
"65536/16384" 4034738 5417615 4962249 4469210 4404614 
"131072/64" 7356186 5638243 4610196 5787829 6055859 
"131072/128" 5540061 6922934 4560744 4621901 6148719 
"131072/256" 6842711 5080133 4766773 5344398 6986455 
"131072/512" 5147150 8089783 7443032 5473430 6211031 
"131072/1024" 6230247 7470137 5176812 6588809 6241493 
"131072/2048" 4400869 4499269 5516269 6013596 5481453 
"131072/4096" 5163344 4627737 5256153 5138634 5477084 
"131072/8192" 5529529 4898963 4016046 4417525 5522308 
"131072/16384" 4545585 5529529 4592442 4894601 5510242 
"262144/64" 6691616 5851958 4161147 8683087 7909939 
"262144/128" 7392479 8782967 8640508 7592431 7923334 
"262144/256" 5283883 6185273 7827276 6337176 5120991 
"262144/512" 7318134 7451294 5284619 6508034 7538501 
"262144/1024" 8660449 7076921 5511286 5402479 5349437 
"262144/2048" 5349775 5445558 8682264 6320238 6335059 
"262144/4096" 5468525 5639336 4593858 6045630 5551776 
"262144/8192" 4141742 5631076 4264998 4803714 5496024 
"262144/16384" 5035804 4780239 4874482 5161425 5606154 
"524288/64" 8572127 8776020 7620341 7527890 8838311 
"524288/128" 8866392 7500007 9027937 6902343 8528773 
"524288/256" 8600523 8979057 9001109 6033584 7414933 
"524288/512" 7322149 7554371 7378831 8983238 8410141 
"524288/1024" 6387685 8198403 8842932 7045084 8966353 
"524288/2048" 8554919 7503539 6785667 9050342 8610963 
"524288/4096" 6953041 6912345 7257674 5730177 5321370 
"524288/8192" 5683349 5683716 5697544 4939585 5684451 
"524288/16384" 4887882 5686479 5699833 5681734 5651856 
