Mode 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 
"64/4" 1599680 1768283 2379626 1879725 2561267 
"64/8" 2444640 2379626 2467108 2006158 3057153 
"64/16" 3057153 2561267 2561267 1828508 2358717 
"64/32" 4018152 4274062 3406295 3363612 4564786 
"64/64" 3363612 1879725 2561267 1879725 1780008 
"128/4" 1967960 1710838 1642783 1598754 1705404 
"128/8" 3657016 2202044 3560017 2098744 2202044 
"128/16" 4407601 2727923 2608629 2558895 3380677 
"128/32" 2985839 3380677 3053774 3759450 3982553 
"128/64" 4012317 3199360 4012317 4267461 4267461 
"128/128" 4104338 2326073 2608629 2211113 2969325 
"256/4" 2849590 1600674 2266207 1479379 2533571 
"256/8" 3159869 1970871 2114473 2081678 2205688 
"256/16" 3617659 2413957 2582316 2812272 2665657 
"256/32" 3879045 2000242 2842047 2699161 3511189 
"256/64" 2754556 2533571 3557725 3197509 3454704 
"256/128" 3654598 3756894 3810220 3994490 4652146 
"256/256" 3950402 2726577 2975955 4496299 2754556 
"512/4" 2995907 1679288 1747618 2625909 1766304 
"512/8" 3201349 2024389 3163620 2235086 2105777 
"512/16" 2427068 2483197 2474613 2405320 2597325 
"512/32" 2796910 2225819 2796910 3710197 3970896 
"512/64" 5127637 2995907 3220553 3104171 5278892 
"512/128" 5278892 3325278 3145087 3299730 5019764 
"512/256" 4610256 4195896 4195896 4163357 4532414 
"512/512" 4375425 2926501 4701087 2922519 3158966 
"1024/4" 1888889 1903117 1790460 1822368 1874871 
"1024/8" 2425431 2375790 2271501 2310605 2934110 
"1024/16" 2746483 2744728 2789291 2638501 3458646 
"1024/32" 4470172 3160839 2638501 3012308 4428688 
"1024/64" 4741598 4392454 3055164 2892612 2783867 
"1024/128" 3422814 3160839 2659742 3074849 4321737 
"1024/256" 3955557 3495237 3461434 3447541 4356809 
"1024/512" 4654248 5245404 4433259 4493556 4470172 
"1024/1024" 4317393 3379719 3390391 3210456 4654248 
"2048/4" 1912356 2848305 1780738 1848169 1763917 
"2048/8" 3127245 2345819 2273187 2392868 3384788 
"2048/16" 3346546 2683678 2653011 3937075 2775597 
"2048/32" 2395538 3555722 2920945 4196751 2223755 
"2048/64" 3011047 3155969 3051697 3180508 3277593 
"2048/128" 3002627 3261415 2980747 2990085 4321315 
"2048/256" 3012103 3121562 3122697 3112514 4414590 
"2048/512" 3500658 3561619 3638560 3150182 3757946 
"2048/1024" 4423683 5689430 4853603 4807425 5095447 
"2048/2048" 3938881 2540795 3430751 3542524 4686767 
"4096/4" 2183288 2381196 1837457 1863365 1922157 
"4096/8" 3005151 2210253 2060478 2386820 2370354 
"4096/16" 2003762 1893765 1991221 3136841 3757786 
"4096/32" 2908979 2087771 1935584 3000952 2959594 
