Mode 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 
"64/4" 720041 1780008 1049372 1163036 1599680 
"64/8" 1638743 2444640 1828508 1232453 2278628 
"64/16" 1357066 2662899 2203800 1363961 1734015 
"64/32" 1183548 1828508 1679761 1638743 1780008 
"64/64" 1526887 1255511 1232453 1226821 1648808 
"128/4" 1185654 1424795 1040839 1076312 1024942 
"128/8" 1778862 2377579 1772988 1332828 1254941 
"128/16" 2621367 1561553 1827299 1487977 1579934 
"128/32" 2727923 1727352 1471662 1778862 1772988 
"128/64" 1727352 1618028 2286447 1637771 2464907 
"128/128" 2166499 2367096 1406136 1598754 1526043 
"256/4" 1673001 1089202 1094754 1642294 1487577 
"256/8" 1254656 1298662 1340826 1384034 1347557 
"256/16" 1479379 1479379 1471270 1540948 1540948 
"256/32" 1673001 1662639 1707589 1683493 2034350 
"256/64" 1868008 1911233 1884399 1911233 2242541 
"256/128" 1897721 1970871 2812272 1985448 3043436 
"256/256" 2419396 1610276 2325094 2613746 2350543 
"512/4" 1391933 1171691 1187895 1179413 1207940 
"512/8" 2216629 1869318 1410215 1471074 1357615 
"512/16" 2651850 1414860 1541840 2424328 1785395 
"512/32" 1674052 1625889 1662389 1662389 1677976 
"512/64" 1827947 1803387 1795846 1821745 2509312 
"512/128" 1910902 2047551 2047551 2024389 1904125 
"512/256" 2107844 2124526 2065273 2169601 2942541 
"512/512" 1809465 1801873 1917728 1854787 1842059 
"1024/4" 1267024 1247157 1227903 1227903 1248607 
"1024/8" 2147692 1326505 1469467 1492963 1501313 
"1024/16" 2133821 1715375 1592612 1651398 2375790 
"1024/32" 2730767 2461573 1741810 2474336 2443368 
"1024/64" 2869422 1885572 1617808 1818510 2338280 
"1024/128" 1969440 2236023 1931359 2715230 1968537 
"1024/256" 2240689 3142339 2192645 2146618 2165014 
"1024/512" 3411938 2275110 2295784 2300703 2098375 
"1024/1024" 2528227 1924436 1981251 1906496 2753527 
"2048/4" 1631886 1239563 1254040 1254956 1926510 
"2048/8" 1533970 1550304 1515833 1509175 1509175 
"2048/16" 2525852 1702728 2596083 1674514 1726687 
"2048/32" 2782790 2681165 1831618 1817281 2398213 
"2048/64" 1750616 1810768 1860176 1787035 2753355 
"2048/128" 1788524 1834748 1911931 1880538 2449504 
"2048/256" 1859773 1952344 1926510 1982533 2821176 
"2048/512" 2137966 2392202 2370418 2204352 2293826 
"2048/1024" 2994254 2392202 2398213 2888532 2491420 
"2048/2048" 1933883 2635914 1968901 1986201 2608697 
"4096/4" 1235623 1525498 1246561 1268092 1168952 
"4096/8" 1515406 1529573 1513137 1515406 1599942 
"4096/16" 1661527 1680050 1613162 1677425 1677917 
"4096/32" 1748087 1769331 1764788 2199781 1773899 
"4096/64" 1816475 1822062 1844163 1976786 2162674 
"4096/128" 2144319 1785514 2471637 1799541 1786999 
"4096/256" 1797281 2451183 1832752 2528382 1881528 
"4096/512" 2008682 1974060 1967504 2807257 1946770 
"4096/1024" 2908979 2919360 2189130 2230918 3096138 
"4096/2048" 2365133 3497668 2374613 3266255 3485604 
"4096/4096" 2512850 2830848 1939298 1967279 2862450 
"8192/4" 1481929 1261842 1255847 1268926 1556513 
"8192/8" 1534889 1756470 1526909 1501749 1513924 
"8192/16" 1687046 2056754 1682090 1812432 1668045 
"8192/32" 1770499 1777092 1791080 1718863 1778932 
"8192/64" 1819245 1830585 1817128 1820402 1789774 
"8192/128" 2605614 1769769 1792107 1792575 2422291 
"8192/256" 2832670 1834691 1788563 1794166 1957506 
"8192/512" 1894998 2322733 1815208 1855497 2934020 
"8192/1024" 2053681 1850401 2093598 1913572 2892524 
"8192/2048" 3375615 2647780 2109278 2980855 2312104 
"8192/4096" 3340825 2478019 2377210 3072825 2283827 
"8192/8192" 1884604 2257419 2201586 2817109 2509877 
"16384/4" 1692397 1273837 1276416 1672828 1666904 
"16384/8" 1548440 1542289 1832871 1551376 1514518 
"16384/16" 1704867 2167478 1710213 1702080 1667915 
"16384/32" 1802818 1796080 2194472 1804238 1736137 
"16384/64" 1859051 2164338 1843986 1839445 2304722 
"16384/128" 3027982 2209288 2333602 2311856 1806372 
"16384/256" 1760962 1774697 1772591 1780306 1771631 
"16384/512" 1785904 1784142 2173236 1797677 1848599 
"16384/1024" 2273010 1833506 2185399 1588382 1812566 
"16384/2048" 1957440 1876104 2170901 2139207 2259557 
"16384/4096" 2060875 2099727 2593598 2544901 1979942 
"16384/8192" 3378903 2349319 2305650 2226683 2648475 
"16384/16384" 2097804 1853985 1854886 1843788 1660500 
"32768/64" 2433029 1867661 1887876 1839440 2404636 
"32768/128" 2390957 1838210 2270824 1786387 2482424 
"32768/256" 2249012 1752761 1848793 1810389 1827528 
"32768/512" 1938577 2776948 2004423 1758705 1827747 
"32768/1024" 1820147 1836368 1976605 1818100 1787665 
"32768/2048" 1858770 2061518 1946319 1767139 2112306 
"32768/4096" 1873312 1838849 1816706 1822778 1843264 
"32768/8192" 2574640 3022908 2626047 2061765 2089252 
"32768/16384" 2289244 3622839 2830885 2282364 2469489 
"65536/64" 2646216 2087345 2123169 2058813 2656189 
"65536/128" 2042763 1973736 2032627 2575480 2700181 
"65536/256" 2773888 2475868 2546467 2442364 1946247 
"65536/512" 2159974 1996399 2434102 1988413 1999013 
"65536/1024" 2209277 1979763 2441345 1846344 1992160 
"65536/2048" 1953911 2164328 2022279 2640776 2189637 
"65536/4096" 1933611 1946895 1969056 2097555 1946647 
"65536/8192" 2041428 2061592 2000555 2061592 2068682 
"65536/16384" 2449940 3309238 2453526 2633666 2464392 
"131072/64" 2294475 2251825 2224076 2289306 2251014 
"131072/128" 2820029 2781421 2774011 2163508 2161475 
"131072/256" 2095011 2122791 2195766 2077837 2455398 
"131072/512" 2071136 2136743 2084778 2453666 2117550 
"131072/1024" 2424300 2644330 2084573 2737285 1808509 
"131072/2048" 2055931 2658884 2537602 2574030 2582543 
"131072/4096" 2351405 2041684 2299311 2492581 2009812 
"131072/8192" 2173843 2534946 2057578 2550931 2094476 
"131072/16384" 2275161 2294120 2460849 2175365 2932049 
"262144/64" 2514762 2554658 2547708 3077099 2600143 
"262144/128" 2387881 2564459 2423375 2434994 2870421 
"262144/256" 2765289 2371636 2355691 2340801 2371488 
"262144/512" 2716662 2396108 2340572 2374320 2626930 
"262144/1024" 2399974 2349490 2604639 2377359 2340926 
"262144/2048" 2546569 2334777 2306226 2328759 2534384 
"262144/4096" 2277393 2257641 2257933 2212689 2320453 
"262144/8192" 2339153 2368678 2421000 2264938 2126464 
"262144/16384" 2505844 2505011 2448273 2470702 2635569 
"524288/64" 2675784 2752588 2746170 2669560 2909142 
"524288/128" 2948784 2918904 2690516 2807222 2954283 
"524288/256" 2691527 2769233 2824189 2572562 2712948 
"524288/512" 2676852 2523028 2756802 2493142 2551332 
"524288/1024" 2529395 2655347 2707090 2486641 2435503 
