Mode 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 
"64/4" 35012 25848 36617 34976 35316 
"64/8" 34989 34898 35512 8254 30243 
"64/16" 12856 61768 66595 66529 63552 
"64/32" 119634 123771 93832 9864 82575 
"64/64" 202469 185536 162019 176741 6294 
"128/4" 14767 8139 8309 37340 687 
"128/8" 13810 10248 35505 33934 28113 
"128/16" 71233 71072 55411 27880 60692 
"128/32" 138984 117200 112179 44046 112579 
"128/64" 186815 193899 35526 38719 8152 
"128/128" 80917 277624 35400 261148 10262 
"256/4" 37981 8058 7607 9971 26702 
"256/8" 35044 19946 12903 13272 27838 
"256/16" 67084 21469 24558 17414 57787 
"256/32" 124697 25974 128318 37959 109355 
"256/64" 181688 56202 153835 45722 80298 
"256/128" 317693 84071 78836 87883 71208 
"256/256" 224172 81524 71270 69114 73268 
"512/4" 35391 9612 13020 8076 11616 
"512/8" 34629 9105 13206 13434 13833 
"512/16" 74343 20120 23229 28403 29371 
"512/32" 125732 91922 38418 72175 96274 
"512/64" 216681 190687 160298 157096 208214 
"512/128" 303840 195264 47953 68956 77457 
"512/256" 367040 283653 79182 80515 72408 
"512/512" 364424 154597 175336 163995 137045 
"1024/4" 37280 9730 8469 9423 7128 
"1024/8" 34820 17904 16227 19924 32123 
"1024/16" 71614 35001 32568 35222 29685 
"1024/32" 134382 68655 77710 93379 55247 
"1024/64" 231774 37466 45257 37635 192411 
"1024/128" 343740 48883 45424 60054 94676 
"1024/256" 362848 71091 80713 72820 78227 
"1024/512" 425927 140754 140331 144127 185105 
"1024/1024" 696578 336627 285383 310693 307138 
"2048/4" 34587 11481 8419 19425 19835 
"2048/8" 34593 22294 16018 16078 14120 
"2048/16" 73273 19733 27043 25597 71468 
"2048/32" 134691 70882 61034 70587 138688 
"2048/64" 233709 114803 88207 62330 195404 
"2048/128" 40716 158735 48239 71887 313343 
"2048/256" 74709 76478 78473 79027 364477 
"2048/512" 153039 150366 308426 151277 489823 
"2048/1024" 302560 440898 275196 452678 591072 
"2048/2048" 336243 398830 433073 553517 670365 
"4096/4" 11253 10101 12849 13337 28940 
"4096/8" 16277 26152 24887 31849 34784 
"4096/16" 35157 62438 52334 49796 70387 
"4096/32" 104454 94764 101268 56762 134613 
"4096/64" 192003 79855 140785 140173 211590 
"4096/128" 64485 147598 65705 211166 350382 
"4096/256" 274290 187838 152408 210809 465190 
"4096/512" 156742 138974 173890 145268 442725 
"4096/1024" 295421 649110 301064 314495 667106 
"4096/2048" 377332 706676 396738 623163 680989 
"4096/4096" 610518 702457 730380 741764 634932 
"8192/4" 13291 11385 10319 9845 19960 
"8192/8" 33950 16391 17989 23796 38418 
"8192/16" 50768 25891 28797 41261 63758 
"8192/32" 113409 73980 87502 61970 124794 
"8192/64" 215335 195229 55520 87352 214096 
"8192/128" 176662 305423 153967 177565 299632 
"8192/256" 402872 376018 76780 135678 423160 
"8192/512" 461962 504927 181283 142692 505864 
"8192/1024" 611428 686387 304467 470476 647737 
"8192/2048" 718164 759418 440877 365747 730579 
"8192/4096" 733057 896072 534933 532289 280211 
"8192/8192" 226005 1313003 632836 793329 815355 
"16384/4" 18740 23893 9430 10618 9166 
"16384/8" 34328 34158 26357 17319 35119 
"16384/16" 40004 35287 28999 30865 41865 
"16384/32" 131194 130140 53843 50918 54792 
"16384/64" 174145 135321 137331 78963 96302 
"16384/128" 367040 111220 126971 153376 172285 
"16384/256" 359053 195475 177419 183411 83457 
"16384/512" 457782 165448 179003 128116 197117 
"16384/1024" 253567 285211 241491 277953 283753 
"16384/2048" 779929 352677 498904 385486 522900 
"16384/4096" 949297 538487 572825 673239 538858 
"16384/8192" 1140310 690697 662332 656592 577961 
"16384/16384" 921693 747618 978438 790053 513702 
"32768/64" 114007 70928 71865 79646 72928 
"32768/128" 321084 181292 72605 85562 82521 
"32768/256" 433520 462816 104300 194886 98581 
"32768/512" 154804 548538 109555 147820 160558 
"32768/1024" 161191 262376 306807 280845 218386 
"32768/2048" 389464 1077109 472719 420122 430433 
"32768/4096" 555201 1090812 583580 533116 511984 
"32768/8192" 618203 685109 526919 602229 643290 
"32768/16384" 715508 1174894 613003 884592 830392 
"65536/64" 71614 130066 53878 69853 114096 
"65536/128" 100429 320198 78748 88449 87331 
"65536/256" 442681 138759 99128 79870 94916 
"65536/512" 495733 407268 149535 155434 135109 
"65536/1024" 655471 807958 212032 219328 300146 
"65536/2048" 384580 752810 355482 383637 283310 
"65536/4096" 590244 978005 399795 444176 411046 
"65536/8192" 721906 1392839 517587 513363 698046 
"65536/16384" 646057 986378 682055 807014 640332 
"131072/64" 66350 120856 64794 69776 53662 
"131072/128" 80867 336758 83839 81407 151974 
"131072/256" 115956 250409 100665 329660 145850 
"131072/512" 122617 390173 132509 410276 157109 
"131072/1024" 186076 522357 247977 539555 316070 
"131072/2048" 380249 667647 285207 206178 371101 
"131072/4096" 538411 736086 594029 478668 515759 
"131072/8192" 665130 790418 548930 780612 258844 
"131072/16384" 650820 686722 688844 1107485 628006 
"262144/64" 57848 93249 61438 94194 105213 
"262144/128" 79033 236105 105960 95236 239852 
"262144/256" 102783 80314 128552 92508 208306 
"262144/512" 215439 124934 156052 130719 114075 
"262144/1024" 265254 276878 297951 193680 227092 
"262144/2048" 380087 281728 268383 376909 233092 
"262144/4096" 521500 476752 506550 377186 436804 
"262144/8192" 652503 521919 543024 593693 848881 
"262144/16384" 521151 682052 696495 1036457 1087441 
"524288/64" 76447 59282 55937 107545 149188 
"524288/128" 173870 98876 97860 150901 104865 
"524288/256" 111565 88126 152544 143233 128390 
"524288/512" 307926 140570 261661 139771 144528 
"524288/1024" 235922 271701 176895 211892 208423 
"524288/2048" 748747 312022 326160 370862 318965 
"524288/4096" 365001 413525 521123 502402 445134 
"524288/8192" 510640 507787 550767 331426 503653 
"524288/16384" 707290 684600 701458 693890 1056123 
