Mode 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 
"64/4" 79682 76459 19741 18984 73729 
"64/8" 13138 128265 19576 18806 116115 
"64/16" 17348 144102 19602 18653 254006 
"64/32" 222066 225423 19013 18713 173991 
"64/64" 344233 279676 18901 18481 240575 
"128/4" 64513 71949 19095 18901 66110 
"128/8" 33022 104230 18932 18798 141587 
"128/16" 197538 211549 18876 18631 129279 
"128/32" 340480 288981 18965 18502 284388 
"128/64" 303350 1869 18694 18290 258135 
"128/128" 416888 2052 17538 17952 282592 
"256/4" 94997 2225 19227 18422 78165 
"256/8" 138765 2555 19191 18199 120756 
"256/16" 204296 2820 19348 18172 223193 
"256/32" 280731 3136 19284 18058 290844 
"256/64" 350231 3318 19158 17922 300447 
"256/128" 391475 3493 18501 16782 310347 
"256/256" 448362 3675 18773 17271 418971 
"512/4" 77493 3989 18682 18161 69812 
"512/8" 137634 4478 18908 17683 101407 
"512/16" 241051 4904 19417 18138 150322 
"512/32" 310293 5105 19401 18515 132676 
"512/64" 375906 5607 19271 18361 187474 
"512/128" 388768 5858 18533 18023 148278 
"512/256" 574069 6032 18790 18090 150407 
"512/512" 693003 6269 18845 18766 152154 
"1024/4" 81540 61039 19614 18888 63650 
"1024/8" 126999 77847 19599 19686 102987 
"1024/16" 220347 133717 19379 19576 139638 
"1024/32" 338858 151611 19948 20131 97933 
"1024/64" 430064 132247 19818 20077 129032 
"1024/128" 500007 135433 19379 19472 113889 
"1024/256" 514625 137969 19385 19777 224669 
"1024/512" 639150 154169 20183 20584 141866 
"1024/1024" 815323 155689 20750 20931 170470 
"2048/4" 74015 66053 21064 20835 70307 
"2048/8" 126387 82027 21784 21764 109889 
"2048/16" 225175 100707 22271 22475 155103 
"2048/32" 308570 127697 22169 22449 343861 
"2048/64" 125666 119319 21898 21647 339244 
"2048/128" 118060 111002 22159 22265 423675 
"2048/256" 113575 100455 21186 22696 451892 
"2048/512" 124946 147687 23657 23674 747939 
