Mode 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 
"64/4" 33971 33932 9263 31112 24922 
"64/8" 35164 8392 30274 25276 24326 
"64/16" 69854 62255 61177 68674 55077 
"64/32" 118734 95264 110158 113656 127777 
"64/64" 226948 129316 156084 155722 6560 
"128/4" 33594 32063 11772 29575 1315 
"128/8" 35496 29451 33204 12224 30060 
"128/16" 69490 12315 61632 26811 55172 
"128/32" 122383 32686 114696 94059 16638 
"128/64" 193969 101587 170445 209485 5514 
"128/128" 257022 35604 228571 305421 10474 
"256/4" 38706 13971 8650 12627 1499 
"256/8" 31075 29452 26468 19564 27807 
"256/16" 64385 9304 25391 62788 55747 
"256/32" 111548 71015 37312 85790 87876 
"256/64" 198921 62976 55980 54959 57221 
"256/128" 263636 69846 127178 62362 66684 
"256/256" 295649 78767 69247 79679 78239 
"512/4" 37128 10481 13851 14734 9550 
"512/8" 34944 10099 13303 13461 10396 
"512/16" 67351 11257 15291 9908 12054 
"512/32" 117004 61119 76611 58213 104491 
"512/64" 183642 113026 50185 46306 52107 
"512/128" 263792 67218 102953 44417 63224 
"512/256" 341368 24140 76795 79158 320242 
"512/512" 435347 149840 173144 150893 159654 
"1024/4" 35733 11987 9617 9095 13093 
"1024/8" 34923 9211 20770 13336 10745 
"1024/16" 72265 11673 11681 12238 23868 
"1024/32" 139113 34703 33315 85133 37354 
"1024/64" 216133 50396 55607 50563 63927 
"1024/128" 331304 161411 67112 75571 77758 
"1024/256" 376724 70557 79361 94866 74695 
"1024/512" 446564 155762 154563 146202 271544 
"1024/1024" 664464 371543 285630 346066 301447 
"2048/4" 36604 8747 10664 9309 9178 
"2048/8" 35295 12606 10506 9764 34969 
"2048/16" 73597 13251 13505 10423 68355 
"2048/32" 135360 36966 35163 34255 136532 
"2048/64" 213336 62959 64335 54823 202493 
"2048/128" 77222 84873 65212 73082 312057 
"2048/256" 74513 86764 87398 76801 261929 
"2048/512" 152145 198658 279058 152778 469195 
"2048/1024" 274756 104096 265254 94369 566999 
"2048/2048" 341904 334540 572707 642247 740204 
"4096/4" 9972 10051 9599 12368 34934 
"4096/8" 10736 12761 10852 11476 34716 
"4096/16" 16841 13643 31824 22695 74367 
"4096/32" 34749 33355 38416 45557 138317 
"4096/64" 114618 62674 55150 55474 211710 
"4096/128" 68311 65342 66133 55317 342502 
"4096/256" 256466 143190 72893 70979 364514 
"4096/512" 151878 138471 163258 169068 491417 
"4096/1024" 313651 487803 310370 192606 534785 
"4096/2048" 407281 732217 338260 729884 694702 
"4096/4096" 517562 685636 550463 583143 780768 
"8192/4" 9642 12481 10792 9761 19208 
