Mode 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 
"64/4" 17897 78540 19735 18968 92506 
"64/8" 147751 134769 19446 18985 107943 
"64/16" 154646 136482 19411 18828 192178 
"64/32" 267684 274528 18833 18730 182882 
"64/64" 460591 304761 18449 18374 233664 
"128/4" 17765 77061 19101 19002 76555 
"128/8" 131014 98475 19053 18716 110154 
"128/16" 224181 120894 18826 18566 144288 
"128/32" 318465 195737 19075 18467 227699 
"128/64" 75874 1870 18691 18262 245280 
"128/128" 481150 2053 18388 18066 287587 
"256/4" 76483 2373 19114 18421 79063 
"256/8" 143590 2629 19104 18179 133953 
"256/16" 220897 2963 19291 18207 190352 
"256/32" 243821 3146 19237 18008 271777 
"256/64" 280364 3317 19027 17720 308032 
"256/128" 399337 3533 18842 17092 424604 
"256/256" 465466 3791 18451 17724 412215 
"512/4" 94118 4182 19677 18327 71409 
"512/8" 155526 4567 19445 18372 112996 
"512/16" 224542 4927 19423 18532 206711 
"512/32" 302045 5177 19394 18515 262566 
"512/64" 361054 5680 19120 18369 155628 
"512/128" 425260 5851 18430 18423 164208 
"512/256" 577155 6138 18849 18281 242302 
"512/512" 678122 6277 18900 18619 157685 
"1024/4" 77917 73389 2105 19425 64204 
"1024/8" 149599 102913 19283 19517 87001 
"1024/16" 248856 113186 19773 3604 128739 
"1024/32" 366127 131048 19965 20174 146242 
"1024/64" 431533 143276 19840 20033 127872 
"1024/128" 482591 94918 19392 19499 101447 
"1024/256" 617642 187924 19611 19918 163500 
"1024/512" 666216 102997 20327 20254 150632 
"1024/1024" 593243 147467 20732 20851 362603 
"2048/4" 77195 79993 20979 20941 91851 
"2048/8" 146130 6969 21932 21660 129495 
"2048/16" 239977 116676 22430 22440 208621 
"2048/32" 343806 120230 22088 22689 353527 
"2048/64" 99162 106840 22284 22590 413160 
"2048/128" 264665 193808 21778 22581 459900 
"2048/256" 114771 60780 22941 23039 493736 
"2048/512" 122174 145216 23670 23816 627836 
"2048/1024" 122591 108011 24205 24334 792882 
"2048/2048" 131695 129759 24885 24824 808859 
"4096/4" 89802 84966 26122 25926 73790 
"4096/8" 55793 41418 27547 27409 138927 
