Mode 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 
"64/4" 16256 25386 34279 10099 32110 
"64/8" 34389 31904 30696 25048 28159 
"64/16" 14365 22947 41670 16214 52125 
"64/32" 113898 120277 94128 120547 85006 
"64/64" 209093 155632 162805 183381 5199 
"128/4" 34753 35135 30483 12139 2068 
"128/8" 18859 29781 32471 29385 27491 
"128/16" 70135 63491 12220 51672 56861 
"128/32" 133191 48634 117097 34078 99295 
"128/64" 162648 164744 39493 156075 5266 
"128/128" 319983 246632 39999 252906 10599 
"256/4" 38594 13202 14317 11091 16623 
"256/8" 31553 34806 11100 12628 27219 
"256/16" 62514 13435 10911 15616 54772 
"256/32" 117531 31980 98609 24434 104828 
"256/64" 196626 40327 66717 59176 55761 
"256/128" 315360 229588 76647 35237 99496 
"256/256" 314437 70115 75916 79109 78193 
"512/4" 35297 10671 9013 11943 15833 
"512/8" 34898 10324 11368 12123 11116 
"512/16" 73564 10680 10413 19752 10414 
"512/32" 117865 54736 37193 38389 107225 
"512/64" 216484 97618 156524 99054 154120 
"512/128" 300649 69058 49103 87638 91495 
"512/256" 341803 287796 80454 76076 76225 
"512/512" 470649 137563 144837 147120 166293 
"1024/4" 35789 9685 10442 10966 10822 
"1024/8" 35019 18419 12090 18144 19057 
"1024/16" 71633 10119 18903 17050 10551 
"1024/32" 134719 31143 30860 132708 32592 
"1024/64" 228677 116018 102535 49878 84879 
"1024/128" 338965 57748 53416 59708 78690 
"1024/256" 380260 71878 103843 77930 72654 
"1024/512" 417440 142086 153821 153777 243757 
"1024/1024" 674163 256633 359688 213735 284683 
"2048/4" 35404 8079 9591 14935 8673 
"2048/8" 34563 11176 11837 11876 34685 
"2048/16" 73555 14954 11463 14450 71220 
"2048/32" 135298 38591 31204 32711 137375 
"2048/64" 230189 83363 60925 74079 189791 
"2048/128" 96321 220856 71620 70854 319699 
"2048/256" 75084 74396 95455 104266 320450 
"2048/512" 160653 145147 201278 152835 491701 
"2048/1024" 287511 603403 303715 495759 590543 
"2048/2048" 386345 389128 606470 662557 693978 
"4096/4" 10841 10095 14366 16197 18747 
"4096/8" 11398 23460 18399 21554 34803 
"4096/16" 55708 50685 32433 44035 73200 
"4096/32" 79045 49536 108477 52487 137833 
"4096/64" 98617 60401 51848 118518 211898 
"4096/128" 69782 73835 71234 212160 341413 
"4096/256" 296169 86144 66434 169326 432755 
"4096/512" 152126 137597 152761 148308 493138 
"4096/1024" 312311 550322 289961 329736 629465 
"4096/2048" 381801 719340 402916 580247 702946 
"4096/4096" 572532 1035630 561951 652016 1059452 
"8192/4" 14518 15843 10723 9799 27657 
"8192/8" 33759 28867 32414 26327 24977 
"8192/16" 69173 23266 46552 44180 63663 
"8192/32" 129996 72873 94963 68895 110491 
"8192/64" 220575 173931 63383 62342 213000 
"8192/128" 310976 296973 158827 112073 305648 
"8192/256" 349935 370848 80199 142464 392845 
"8192/512" 434730 510244 241089 140459 463870 
"8192/1024" 619342 686552 306619 233755 604129 
"8192/2048" 668141 778923 393506 416048 661338 
"8192/4096" 851040 867323 592288 645498 185109 
"8192/8192" 913657 743028 608074 540402 685237 
"16384/4" 24192 28507 10670 9874 11507 
"16384/8" 33278 34019 25131 31975 32635 
"16384/16" 47383 70250 52343 57254 44208 
"16384/32" 131728 131036 67399 32866 30480 
"16384/64" 209067 210334 89638 63733 62068 
"16384/128" 366885 139382 116244 140752 148810 
"16384/256" 373058 170555 168364 211150 84165 
"16384/512" 494417 118599 172921 102720 170903 
"16384/1024" 575198 285897 219633 277530 286083 
"16384/2048" 721632 462381 603375 387172 474595 
"16384/4096" 914749 626803 555763 439709 559127 
"16384/8192" 1322372 769312 705178 620089 647790 
"16384/16384" 742136 898930 670814 680230 714088 
"32768/64" 207048 87185 60265 67533 56438 
"32768/128" 356922 208656 71164 93162 84647 
"32768/256" 353392 464255 138705 171439 73756 
"32768/512" 264172 545406 144521 183817 165884 
"32768/1024" 284032 378007 279049 288232 273591 
"32768/2048" 383359 1059049 524060 441148 419467 
"32768/4096" 533038 1077050 552252 590085 546396 
"32768/8192" 652062 615245 578551 668435 643670 
"32768/16384" 738467 987137 593020 777577 786183 
"65536/64" 128135 132252 61664 59963 119807 
"65536/128" 140856 292172 71971 129397 71785 
"65536/256" 456397 383911 160862 79047 166424 
"65536/512" 441783 94031 155165 152407 278840 
"65536/1024" 589718 798625 225122 257079 336089 
"65536/2048" 408239 755782 469337 383032 458996 
"65536/4096" 525511 889262 492656 582941 445202 
"65536/8192" 643392 1376924 725926 666957 686637 
"65536/16384" 713651 1013360 830843 776831 811139 
"131072/64" 68718 123213 130189 110367 62666 
"131072/128" 110659 360565 87072 77756 120876 
"131072/256" 176193 357124 126112 121533 182500 
"131072/512" 131688 177315 150574 400964 154469 
"131072/1024" 293930 129265 333151 137832 132061 
"131072/2048" 374407 647016 450538 330922 389891 
