Mode 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 
"64/4" 32420 81944 16060 15440 59535 
"64/8" 125448 116822 19440 15758 124286 
"64/16" 22053 161144 19270 18894 198135 
"64/32" 204474 167583 18811 18614 164099 
"64/64" 75662 220788 18620 18464 222989 
"128/4" 43419 75468 19061 18806 58823 
"128/8" 41937 57451 19022 18876 134324 
"128/16" 192164 127619 18965 18477 198487 
"128/32" 276480 152919 18954 18478 176846 
"128/64" 308403 1869 18798 18063 16870 
"128/128" 266066 2051 18361 17069 320748 
"256/4" 72871 2190 18951 18429 70893 
"256/8" 124639 2566 19196 18143 133254 
"256/16" 179892 2810 19342 18152 147556 
"256/32" 212252 3135 18717 17961 278257 
"256/64" 274417 3271 18764 17789 221444 
"256/128" 304365 3496 18435 17152 306188 
"256/256" 379842 3632 18386 17811 428843 
"512/4" 74503 3889 19673 17696 75805 
"512/8" 124601 4380 19428 17841 131386 
"512/16" 183517 4703 19435 18342 121816 
"512/32" 214131 5146 18860 18253 111744 
"512/64" 215571 5346 19089 18358 121968 
"512/128" 336870 5605 18272 17893 170046 
"512/256" 429599 5994 18585 18038 155628 
"512/512" 480764 6173 18770 18533 168644 
"1024/4" 83104 70929 19274 19053 73189 
"1024/8" 132557 92997 19581 19590 83983 
"1024/16" 211754 93116 19601 19975 134084 
"1024/32" 336179 100097 18983 20124 271252 
"1024/64" 364945 135433 19770 19975 122430 
"1024/128" 498267 106135 19267 19486 171868 
"1024/256" 446610 206035 16909 19643 218753 
"1024/512" 566408 115721 20198 20450 143539 
"1024/1024" 696578 120513 20524 20437 96568 
"2048/4" 77649 74281 21150 21148 75034 
"2048/8" 156360 103733 21839 21822 130661 
"2048/16" 252342 113955 22314 22455 216737 
"2048/32" 313812 121154 22731 22637 315808 
"2048/64" 388038 138903 22508 22524 291571 
"2048/128" 101400 121275 22147 22238 401815 
"2048/256" 125459 125023 22448 21837 613531 
"2048/512" 114381 93023 21939 23356 142043 
"2048/1024" 128063 102482 23921 24055 747678 
"2048/2048" 132918 120455 24797 24772 570009 
"4096/4" 79116 66877 24645 24905 89198 
"4096/8" 88827 82854 27198 26506 107031 
"4096/16" 102364 112908 27626 27704 221610 
"4096/32" 109753 110045 27070 27596 388361 
"4096/64" 110747 110693 108971 27481 417191 
"4096/128" 104885 119055 100245 28011 457753 
"4096/256" 102397 107540 151166 28450 506305 
"4096/512" 72167 106243 111680 29933 738957 
"4096/1024" 111716 339075 121831 31462 475385 
"4096/2048" 110963 435796 112333 32046 706211 
"4096/4096" 108754 469500 98565 31435 696731 
"8192/4" 78037 72048 67570 30855 69064 
"8192/8" 172951 91393 85317 67948 137281 
"8192/16" 234385 97663 71532 98269 235004 
"8192/32" 230048 105946 95923 99771 302008 
"8192/64" 352784 221746 109797 101731 323999 
"8192/128" 483648 412695 104016 97420 442091 
"8192/256" 573706 557581 71490 101224 495641 
"8192/512" 341094 695248 110174 104273 617705 
"8192/1024" 665527 518419 103414 101318 345974 
"8192/2048" 656788 731824 105631 124765 240557 
"8192/4096" 668896 375952 104975 154767 28552 
"8192/8192" 621167 575927 102884 421960 202636 
"16384/4" 89242 76419 20865 68328 72729 
"16384/8" 113600 150328 78023 97964 136828 
"16384/16" 246969 203613 98509 172348 216866 
"16384/32" 265387 295558 111557 105144 145632 
"16384/64" 373833 318804 89367 94425 127305 
"16384/128" 456059 109741 98756 111573 129697 
"16384/256" 500900 107557 106440 95807 32142 
"16384/512" 411142 106393 14953 101002 103107 
"16384/1024" 655859 197853 16756 113352 30084 
"16384/2048" 458690 141464 17774 35269 37331 
"16384/4096" 701098 35471 116252 49730 42707 
"16384/8192" 617637 118685 96145 99228 97032 
"16384/16384" 746222 117710 119484 112835 108616 
"32768/64" 386546 38762 116068 103689 37643 
"32768/128" 369770 111907 109843 102468 107676 
"32768/256" 472414 593353 118045 55303 38397 
"32768/512" 465580 667958 100563 49632 123938 
"32768/1024" 99535 493219 96198 108631 111131 
"32768/2048" 187378 533186 23502 106222 33945 
"32768/4096" 104462 476527 13995 91842 97011 
"32768/8192" 107155 36267 14192 34247 48738 
"32768/16384" 39060 618181 12982 99687 104365 
"65536/64" 104372 388958 98662 104431 108531 
"65536/128" 52476 367418 108766 107279 109428 
"65536/256" 546470 514637 101118 114252 14770 
"65536/512" 571145 367093 106476 106301 16950 
"65536/1024" 540591 663783 20453 106367 22042 
"65536/2048" 119248 607861 16621 106918 20771 
"65536/4096" 112321 66715 16679 14535 24189 
"65536/8192" 107591 661031 17872 13839 116737 
"65536/16384" 56327 87569 16710 19883 9936 
"131072/64" 105837 316410 101829 18608 96202 
"131072/128" 107399 401988 20656 18723 59610 
"131072/256" 106354 110551 16291 346240 80587 
"131072/512" 116368 116611 18681 379543 108650 
"131072/1024" 115672 524636 21737 110948 18822 
