Mode 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 
"64/4" 37294 34187 35974 35635 27645 
"64/8" 33280 33075 29698 29711 31667 
"64/16" 68082 55937 59934 54706 64068 
"64/32" 124057 101764 89009 89127 91810 
"64/64" 44822 158387 44261 69564 179338 
"128/4" 29076 6485 26256 7621 7397 
"128/8" 34955 16922 18145 29305 27705 
"128/16" 71148 26021 59396 50293 47074 
"128/32" 128906 67651 109861 117430 121662 
"128/64" 183119 88464 86903 153839 5719 
"128/128" 312169 35193 37736 86067 10303 
"256/4" 37897 10198 8104 9900 26575 
"256/8" 34242 17341 12641 13071 28048 
"256/16" 62547 39426 55067 57787 55907 
"256/32" 120121 93769 79679 43880 129027 
"256/64" 182181 119906 158630 202371 161324 
"256/128" 267779 39506 30614 49306 238566 
"256/256" 390763 20221 167777 235479 145536 
"512/4" 34960 8056 6720 7955 11332 
"512/8" 35315 20827 21545 12898 16224 
"512/16" 71858 48641 38432 25643 38337 
"512/32" 126042 78625 120585 62037 102938 
"512/64" 219448 166242 157870 64329 193714 
"512/128" 323864 161564 129002 225060 54128 
"512/256" 296662 78987 78156 65769 327769 
"512/512" 356026 25419 87463 328622 159500 
"1024/4" 36375 10342 10691 9442 17126 
"1024/8" 35295 12964 15102 12996 18200 
"1024/16" 71814 44390 22596 29620 51490 
"1024/32" 138173 49914 59963 97971 83933 
"1024/64" 233526 152380 190086 83866 196513 
"1024/128" 256894 250789 77540 253288 166228 
"1024/256" 337739 33599 84134 85547 47729 
"1024/512" 468228 134151 130980 140428 134348 
"1024/1024" 532226 287812 350329 210395 265222 
"2048/4" 37261 10553 12241 9843 27652 
"2048/8" 35085 48623 17999 17144 36395 
"2048/16" 74405 45885 30497 29411 76563 
"2048/32" 131298 47080 43719 41982 132393 
"2048/64" 99402 107812 75797 63165 233334 
"2048/128" 184452 159404 132222 101501 312340 
"2048/256" 72968 66280 82958 80490 361319 
"2048/512" 141027 157054 148653 66265 423132 
"2048/1024" 324763 275046 224803 271620 491364 
"2048/2048" 335677 400709 339016 384753 628019 
"4096/4" 9643 11998 13848 15657 16687 
"4096/8" 29848 28886 24513 20419 27943 
"4096/16" 53498 37777 59072 51883 65610 
"4096/32" 68141 83209 81434 109956 118350 
"4096/64" 70235 86226 70620 151204 215330 
"4096/128" 144480 142622 217156 161272 270150 
"4096/256" 76858 71489 100151 285020 374985 
"4096/512" 314018 166530 159204 152533 485254 
"4096/1024" 204158 547011 287395 91186 632012 
"4096/2048" 134994 795813 416261 396628 760345 
"4096/4096" 373997 534735 813486 589769 249544 
"8192/4" 19009 10619 10480 11847 24295 
