Mode 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 
"64/4" 1114 66944 15896 12979 6003 
"64/8" 5716 121694 9269 18924 74075 
"64/16" 182261 127716 19335 18697 29197 
"64/32" 209093 161144 18862 18593 178741 
"64/64" 78632 231050 18396 18417 209747 
"128/4" 10850 57685 18887 18806 21170 
"128/8" 48687 95243 18732 18642 65609 
"128/16" 169960 128782 18773 18491 105355 
"128/32" 228961 173474 18815 18443 148973 
"128/64" 258011 1868 18408 18012 228961 
"128/128" 363535 2051 18542 17787 303350 
"256/4" 66097 2190 19015 18410 19294 
"256/8" 111896 2594 19137 18314 124812 
"256/16" 158701 2769 19217 18056 148495 
"256/32" 204490 3144 19173 18057 189178 
"256/64" 250009 3328 18847 17748 338633 
"256/128" 368375 3495 18258 17545 275544 
"256/256" 270613 3674 18566 17171 398744 
"512/4" 84083 3805 19455 18143 82330 
"512/8" 110417 4380 19463 18304 122337 
"512/16" 129227 4744 19363 18395 142143 
"512/32" 217316 5147 19352 18024 92720 
"512/64" 247811 5311 18677 18182 321777 
"512/128" 314704 5736 18590 15807 266113 
"512/256" 417976 6047 18716 18036 157050 
"512/512" 462440 6218 18956 18475 212710 
"1024/4" 82513 16953 19527 19046 73101 
"1024/8" 136678 95665 19599 19595 85740 
"1024/16" 220641 28150 19581 19934 103864 
"1024/32" 274740 89527 19692 20129 145850 
"1024/64" 424202 126557 19854 19893 105556 
"1024/128" 424202 129488 19352 19346 120230 
"1024/256" 477866 193468 19701 19626 119961 
"1024/512" 670166 214086 20199 20151 276171 
"1024/1024" 638865 134791 20557 20532 195378 
"2048/4" 75560 68109 21101 21134 82077 
"2048/8" 137366 97385 21832 21809 136361 
"2048/16" 213484 113424 22279 22242 202412 
"2048/32" 310152 111570 22467 22649 283264 
"2048/64" 338402 108768 22434 22543 299365 
"2048/128" 121824 113499 21953 22248 423132 
"2048/256" 98333 115368 22688 22570 600576 
"2048/512" 343916 118292 23454 23373 658949 
"2048/1024" 114811 130338 23986 24089 675904 
"2048/2048" 45031 125008 24515 24870 738042 
"4096/4" 80469 82839 24736 24941 91121 
"4096/8" 91758 84146 7721 26626 150113 
"4096/16" 85790 109084 27259 27635 213789 
"4096/32" 111973 113444 26933 27053 289141 
"4096/64" 117555 118388 107537 27901 314760 
"4096/128" 102868 110882 122057 28019 478670 
"4096/256" 126310 69101 106227 23239 555698 
"4096/512" 111099 95491 114352 29870 594319 
"4096/1024" 111138 381124 70775 31485 514755 
"4096/2048" 97915 456998 106149 32067 832003 
"4096/4096" 105949 460897 109372 31442 813679 
"8192/4" 70352 61135 58447 30476 76834 
"8192/8" 121906 102060 18745 80988 116715 
"8192/16" 197779 105210 96388 103171 236229 
"8192/32" 317628 99315 103973 98046 304354 
"8192/64" 354173 32544 108235 113986 221907 
"8192/128" 407039 280481 101941 74695 426110 
"8192/256" 457088 573467 148397 111658 480778 
"8192/512" 606411 518678 108059 106197 571987 
"8192/1024" 691303 512473 105111 104295 292717 
"8192/2048" 683928 728040 107522 99716 424148 
"8192/4096" 506304 752516 20834 71166 112865 
"8192/8192" 369492 567584 118191 375936 107215 
"16384/4" 77999 71885 62906 65484 68593 
"16384/8" 114403 118963 79924 117114 119792 
"16384/16" 165927 197359 101127 192540 195128 
"16384/32" 261963 310033 108043 120092 208216 
"16384/64" 290233 392570 112611 121052 113837 
"16384/128" 428551 114080 96441 114005 100737 
"16384/256" 427700 108726 33973 113192 86869 
"16384/512" 469065 176371 13581 124869 49617 
"16384/1024" 624014 89774 16427 100682 37576 
"16384/2048" 726438 94617 18126 32586 70813 
"16384/4096" 696360 34540 382240 36503 34934 
"16384/8192" 465772 114477 106586 249691 35842 
"16384/16384" 708617 88093 120574 105397 99676 
"32768/64" 356057 40967 93039 131842 34078 
"32768/128" 448133 104488 36986 109592 99563 
"32768/256" 489680 562366 95473 33232 39101 
"32768/512" 672165 516373 112145 84712 98128 
"32768/1024" 112047 569719 111457 104734 110328 
"32768/2048" 111158 718910 41905 67550 44757 
"32768/4096" 135348 672702 15002 124267 116079 
"32768/8192" 110257 425436 13033 63806 75176 
"32768/16384" 38507 727610 10790 43667 111016 
"65536/64" 114890 397585 40305 103462 103425 
"65536/128" 107027 364364 107896 103421 100669 
"65536/256" 507531 487517 97044 131545 27297 
"65536/512" 516747 360119 111988 107285 16693 
"65536/1024" 607461 655176 18323 183893 17155 
"65536/2048" 114950 614910 16848 112351 24876 
"65536/4096" 114612 379241 21506 17223 20084 
"65536/8192" 116154 567582 17083 14134 108774 
"65536/16384" 36724 382321 17706 16473 11247 
"131072/64" 114566 350237 105942 17561 41148 
"131072/128" 114253 380434 27520 28966 36700 
"131072/256" 115456 390129 17614 17983 14522 
"131072/512" 39708 505614 19480 111332 122409 
"131072/1024" 120100 605937 22157 465858 26256 
"131072/2048" 114355 117440 15838 600553 113076 
"131072/4096" 109143 112139 106980 598403 109113 
"131072/8192" 115470 388011 74301 631520 109349 
"131072/16384" 25324 630538 12468 659070 113545 
"262144/64" 114590 152484 16580 156192 355763 
"262144/128" 103793 236574 22655 145825 246723 
"262144/256" 108083 119711 104842 39275 106933 
"262144/512" 68027 106094 13450 103698 41311 
"262144/1024" 109423 26536 22679 19771 22493 
"262144/2048" 45130 17809 15378 123695 110063 
"262144/4096" 115109 15927 23609 40904 44422 
"262144/8192" 64502 18651 18791 110545 127467 
"262144/16384" 25229 18385 17309 118121 637863 
"524288/64" 26209 16832 20769 356987 151406 
"524288/128" 93488 11632 18913 107298 110888 
"524288/256" 198679 16879 28060 19548 106128 
"524288/512" 79702 12367 106364 17034 113004 
"524288/1024" 98700 116043 19157 16450 114638 
"524288/2048" 116687 20648 18059 115466 51229 
"524288/4096" 66382 16600 19837 24772 37731 
"524288/8192" 35245 16397 22393 20163 17155 
"524288/16384" 31681 46867 15087 15602 648397 
