Mode 6-HDD-1-NVMe/encryption-1 6-HDD-1-NVMe/encryption-2 6-HDD-1-NVMe/encryption-3 6-HDD-1-NVMe/encryption-4 6-HDD-1-NVMe/encryption-5 
"64/4" 23791 27431 24922 18354 23510 
"64/8" 42698 40660 40198 34332 38978 
"64/16" 52492 54187 52760 52328 46108 
"64/32" 83111 68013 66316 67944 61768 
"64/64" 75747 82473 74075 76459 72652 
"128/4" 22566 22126 23230 23694 26572 
"128/8" 36383 36614 29331 34991 33808 
"128/16" 68558 59448 45533 56561 48267 
"128/32" 88028 85970 61774 10005 68523 
"128/64" 108836 98530 80504 81581 84164 
"128/128" 139890 135306 105687 106483 107831 
"256/4" 18217 23963 13773 13544 12398 
"256/8" 38329 23784 38456 43699 48038 
"256/16" 60435 56424 59244 62224 66684 
"256/32" 71588 88557 87283 81296 73970 
"256/64" 107883 95132 87518 80371 87639 
"256/128" 151662 136316 116195 105778 140729 
"256/256" 212419 256274 188382 165170 181811 
"512/4" 12273 12357 18269 17397 19974 
"512/8" 26187 24049 42866 45466 21825 
"512/16" 66131 68321 64843 60996 64175 
"512/32" 92804 84837 91119 79649 72133 
"512/64" 114796 40702 114156 118053 91383 
"512/128" 27245 144965 141946 142578 146748 
"512/256" 205957 195638 199936 176794 195353 
"512/512" 283503 247468 235603 237584 219538 
"1024/4" 17157 17844 15280 19742 17257 
"1024/8" 29485 28824 24235 21283 20663 
"1024/16" 36146 71428 62660 64173 61687 
"1024/32" 78395 87031 65670 81321 78976 
"1024/64" 87747 101106 75829 75194 107835 
"1024/128" 154152 157245 152019 144880 148620 
"1024/256" 192774 163606 83571 183476 80814 
"1024/512" 230221 286125 171238 243924 235459 
"1024/1024" 323737 304137 356168 330006 316229 
"2048/4" 17684 13827 18278 13364 18236 
"2048/8" 26565 24874 32314 28694 15397 
"2048/16" 64344 58013 54206 69520 48308 
"2048/32" 70242 82932 68364 87606 81880 
"2048/64" 103791 126070 118175 105382 112004 
"2048/128" 160401 152382 145723 151133 152088 
"2048/256" 201434 156397 188273 184937 202952 
"2048/512" 275011 265049 249694 242572 171627 
"2048/1024" 295138 316238 362218 301795 351948 
"2048/2048" 354387 332584 347070 159141 152767 
"4096/4" 17555 18108 19735 15255 21882 
"4096/8" 28059 29014 23992 22617 27191 
"4096/16" 31903 36091 49126 39990 38544 
"4096/32" 80566 79859 84833 106232 80942 
"4096/64" 111204 95167 94819 108013 95758 
"4096/128" 154740 150472 149768 121755 151026 
"4096/256" 178903 172093 180480 168379 163978 
"4096/512" 250013 244902 245518 255425 247731 
"4096/1024" 319347 331013 298713 324872 331851 
"4096/2048" 397978 372029 335192 406106 357699 
"4096/4096" 343509 367918 327186 413108 443010 
"8192/4" 17455 19080 11457 11037 11976 
"8192/8" 26334 29599 22349 30935 18887 
"8192/16" 29540 25137 33973 36477 43407 
"8192/32" 59248 56325 59325 56379 55106 
"8192/64" 95314 105557 82659 96332 95453 
"8192/128" 156583 159467 156811 154946 141374 
"8192/256" 215188 208569 189730 192835 213132 
"8192/512" 267015 237958 262800 253183 276121 
"8192/1024" 310257 349430 349206 345217 297122 
"8192/2048" 417596 436903 382425 421076 368098 
"8192/4096" 430752 455797 386286 442952 366711 
"8192/8192" 525838 460816 371823 467099 465000 
"16384/4" 7682 18966 7977 9051 7984 
"16384/8" 15151 12557 16699 15474 16737 
"16384/16" 24769 21710 25514 21576 25904 
"16384/32" 36575 41435 36011 36765 38143 
"16384/64" 67909 69970 73961 74222 82133 
"16384/128" 116588 124875 158675 158837 159197 
"16384/256" 212233 212332 190748 192102 209377 
"16384/512" 231353 262757 254984 248208 255580 
"16384/1024" 302299 319924 366008 349748 363095 
"16384/2048" 433945 429787 488505 380996 408842 
"16384/4096" 515007 424818 408427 453286 449962 
"16384/8192" 447259 497495 476210 508551 555862 
"16384/16384" 508755 515042 605330 507950 502854 
"32768/64" 61916 63866 62427 47682 60422 
"32768/128" 109567 108328 108569 101117 103455 
"32768/256" 212035 204248 191872 187046 206898 
"32768/512" 253467 242866 265609 252117 268080 
"32768/1024" 313164 369295 379989 372473 334003 
"32768/2048" 442338 439761 430314 444034 438297 
"32768/4096" 480159 497637 512480 493665 401927 
"32768/8192" 517563 511224 585939 562705 515772 
"32768/16384" 613277 523784 516534 575159 538566 
"65536/64" 56715 55798 57303 59363 57131 
"65536/128" 96170 91091 92741 101548 93038 
"65536/256" 145462 162989 144676 144282 133947 
"65536/512" 195137 192857 212825 195211 200712 
"65536/1024" 302340 289535 321040 375831 299859 
"65536/2048" 459895 458623 482112 410466 503178 
"65536/4096" 474856 460590 524095 468686 516536 
"65536/8192" 558347 483179 375020 492074 551408 
"65536/16384" 620576 630820 553995 599916 620329 
"131072/64" 55989 57082 59796 56479 55094 
"131072/128" 90275 93562 97941 91229 94511 
"131072/256" 136703 132501 139143 136982 136681 
"131072/512" 142589 150124 149932 153399 156482 
"131072/1024" 263529 234154 263088 317972 277135 
"131072/2048" 382284 361797 387129 341003 359811 
"131072/4096" 460603 495011 443679 444921 465470 
"131072/8192" 527949 514930 519138 488544 541599 
"131072/16384" 623374 639257 639516 609549 612612 
"262144/64" 55503 56825 57036 55071 55760 
"262144/128" 95042 82920 81477 80353 93970 
"262144/256" 120222 122110 133467 132805 130029 
"262144/512" 170990 154277 165916 163708 156023 
"262144/1024" 226057 217646 269729 251439 248389 
"262144/2048" 351087 365184 326012 358813 338979 
"262144/4096" 388247 449608 458114 427579 457106 
"262144/8192" 537956 535022 538682 519635 523248 
"262144/16384" 628877 642930 650012 635120 655332 
"524288/64" 57271 56690 57046 56932 58612 
"524288/128" 88931 89127 83613 85133 95185 
"524288/256" 128127 126117 131669 132937 126579 
"524288/512" 164366 155679 168224 163588 157042 
"524288/1024" 237027 212962 231220 233780 210400 
"524288/2048" 313062 344834 352858 323549 311284 
"524288/4096" 409135 434492 415361 408296 435412 
"524288/8192" 525299 523017 531902 534947 536455 
"524288/16384" 645310 637539 649923 631813 649680 
