Mode 6-HDD-1-NVMe/encryption-1 6-HDD-1-NVMe/encryption-2 6-HDD-1-NVMe/encryption-3 6-HDD-1-NVMe/encryption-4 6-HDD-1-NVMe/encryption-5 
"64/4" 2467108 3738358 5860307 5389653 5860307 
"64/8" 7100397 7100397 3958892 7100397 7100397 
"64/16" 3791156 4207076 5283570 3588436 3588436 
"64/32" 4564786 4274062 5389653 3738358 5389653 
"64/64" 4897948 4988978 4274062 7100397 7100397 
"128/4" 2843510 3124872 3759450 3560017 3560017 
"128/8" 6406138 3759450 3895854 4267461 3785961 
"128/16" 4012317 4759253 4934216 6114306 4934216 
"128/32" 4267461 4596273 4759253 4934216 4596273 
"128/64" 4934216 5325799 5545860 5325799 4717434 
"128/128" 5325799 6406138 5325799 7582312 5325799 
"256/4" 3465855 5117791 3557725 3667079 5320671 
"256/8" 4404088 4840911 4553502 4281170 6107548 
"256/16" 7735574 4572895 5117791 5117791 5569035 
"256/32" 7314033 5117791 5938650 5022044 4998665 
"256/64" 8024634 5687020 5687020 6936061 7314033 
"256/128" 8534922 5687020 5687020 5320671 5938650 
"256/256" 7735574 7735574 5217259 8815202 6398720 
"512/4" 3504346 3934520 3684733 3710197 4068701 
"512/8" 6472112 7410080 7309196 5164632 7758090 
"512/16" 8265729 8665997 8265729 8528336 8528336 
"512/32" 8394979 7435738 7871843 8992598 6319739 
"512/64" 5699180 6571132 5807059 9510316 5951911 
"512/128" 8808176 6156675 8265729 8394979 8394979 
"512/256" 5951911 8992598 5951911 9681823 7988981 
"512/512" 7115451 8808176 5509113 6571132 8701110 
"1024/4" 5251818 3894582 3684119 5390231 5564829 
"1024/8" 6441107 6025439 7319232 7577494 5417427 
"1024/16" 5536137 8391792 6317933 5593820 6093831 
"1024/32" 5564829 9142007 8000971 8970167 8525047 
"1024/64" 6025439 9402175 6317933 9300377 8768716 
"1024/128" 7755368 9569770 8610501 9320560 9655828 
"1024/256" 6208343 6744549 8680108 9300377 6787181 
"1024/512" 5885083 6830356 9381637 9569770 9569770 
"1024/1024" 5925680 8680108 6290174 8525047 6918376 
"2048/4" 5492967 5389574 5564129 6041567 6075753 
"2048/8" 6873016 7336772 6990474 7529708 6670210 
"2048/16" 7419150 7726111 5626082 6962145 6225466 
"2048/32" 6207471 5492967 6284678 5785224 6378005 
"2048/64" 6523312 6895083 8784909 9228493 9441504 
"2048/128" 8357547 6717153 8398403 6149699 6711905 
"2048/256" 6243566 7013303 8903279 6670210 6321679 
"2048/512" 5564129 7789164 6543188 8793903 8531869 
"2048/1024" 7477273 6873016 8608824 8574451 9140117 
"2048/2048" 7817519 6523312 8229438 6359119 5953632 
"4096/4" 4048222 6077484 4015108 4132949 6013663 
"4096/8" 5171846 5211065 6872481 4982841 5198450 
"4096/16" 5867831 7987643 5810280 8569343 7024216 
"4096/32" 6291135 6370451 6207035 9163546 6254490 
"4096/64" 6545196 6321227 9373535 6605595 6930704 
"4096/128" 6608135 8752710 8939441 8865630 6493246 
"4096/256" 6649056 9242423 7683972 8906998 9614850 
"4096/512" 6638778 9373535 8770583 9461292 9456085 
"4096/1024" 8047509 7001316 9292414 7314299 9348033 
"4096/2048" 8426437 6049663 9183139 8642630 7532368 
"4096/4096" 5980170 5184332 7888614 5792648 6041154 
"8192/4" 4861443 4160376 6248582 6229323 4124914 
"8192/8" 7103807 7243074 6522590 5333867 4518161 
"8192/16" 7781080 6028229 8206671 8642207 8685901 
"8192/32" 6496691 6485654 7906413 6866721 7772279 
"8192/64" 6730861 6792065 7013901 9052027 6558696 
"8192/128" 9893942 6715075 6995337 8000301 6475875 
"8192/256" 8366536 6884607 7275280 9671156 6855760 
"8192/512" 9143564 6948652 6758664 9660279 6501608 
"8192/1024" 7706040 9579481 6675934 9706673 6590145 
"8192/2048" 6517641 8030217 7346838 9526362 6480761 
"8192/4096" 6809564 7627351 7474698 7509002 6267959 
"8192/8192" 6239504 7080386 6814966 6913698 5389927 
"16384/4" 6194400 6194400 6213443 6263278 6166607 
"16384/8" 6889995 7265900 7743209 6869333 7753693 
"16384/16" 8775530 7334141 8706596 7910787 6034479 
"16384/32" 8619233 9460533 9437147 8224159 6504566 
"16384/64" 7861915 9082902 9740803 9953854 8291637 
"16384/128" 6977442 9209496 7816309 9845471 7334141 
"16384/256" 10106094 7491652 9297968 10168903 9948090 
"16384/512" 9541978 9887970 9804734 8846703 7301412 
"16384/1024" 10058757 9016167 9959624 7884466 9971186 
"16384/2048" 9858182 9132392 9828573 8864963 8449664 
"16384/4096" 7899874 7988030 6686851 7659492 7776506 
"16384/8192" 6603955 6284471 6542963 5702479 6389653 
"16384/16384" 6686851 6649324 6397981 6717573 6627520 
"32768/64" 8763671 10051258 9287792 7963410 10097782 
"32768/128" 7393640 10259083 10330023 8562211 8834651 
"32768/256" 10366644 10288266 10337015 10320714 9611918 
"32768/512" 9132881 10372903 8870574 9601174 9476061 
"32768/1024" 7801581 8046868 10327694 9905648 8412841 
"32768/2048" 10220936 9784356 8775421 8782711 10204999 
"32768/4096" 8025254 8023380 8327208 7961104 7959259 
"32768/8192" 6160749 6532640 6347983 6002538 6500199 
"32768/16384" 6333357 6518388 6537923 6339199 6531398 
"65536/64" 9149237 10275500 10338495 9194223 9880300 
"65536/128" 10502825 10458866 10135688 10417643 10454093 
"65536/256" 10168684 10560121 10517694 10549988 8676754 
"65536/512" 10599620 10016392 10343552 10561744 10526152 
"65536/1024" 10627076 9859391 10625023 10687402 10763146 
"65536/2048" 10457673 10506036 10455684 8048236 10717404 
"65536/4096" 8383796 8212712 7734802 8146991 7917034 
"65536/8192" 6633185 6413120 6417012 6610374 6569299 
"65536/16384" 6637830 6650035 6667617 6625830 6646658 
"131072/64" 11150372 10646794 11149468 11130281 10621698 
"131072/128" 10511019 11314919 11210399 10848486 11226653 
"131072/256" 11383803 11199893 11136143 11363097 11200806 
"131072/512" 11377678 11256536 10900758 11249856 11321910 
"131072/1024" 11444232 10758471 11412397 11378619 11595335 
"131072/2048" 11293535 11779689 11220008 10657114 10733056 
"131072/4096" 8663055 8799781 8920725 8578567 8588618 
"131072/8192" 6725433 6708609 6697331 6652433 6693172 
"131072/16384" 6721979 6719514 6704109 6697983 6712705 
"262144/64" 11693473 11598859 11702309 11676212 11596657 
"262144/128" 11935152 11722771 11952537 11939039 11822603 
"262144/256" 12159402 11959168 12019961 11997533 11892422 
"262144/512" 12009983 11912393 12172325 12011163 9359313 
"262144/1024" 12060438 12257134 12014970 11343380 12014445 
"262144/2048" 11907491 12132300 11934115 11818409 11848338 
"262144/4096" 8941386 8933758 9329612 8881726 8869975 
"262144/8192" 6789002 6168824 6826856 6815641 6799961 
"262144/16384" 6827534 6781967 6801349 6796724 6816021 
"524288/64" 11999026 12136304 11985358 12065322 12047012 
"524288/128" 12046220 12150051 12281285 12237136 12337926 
"524288/256" 12359423 12343744 11949862 12425348 11890802 
"524288/512" 12405370 12105772 12425979 11865203 12430124 
"524288/1024" 11815476 12492263 12451379 11824815 12480706 
"524288/2048" 12377301 12353105 12342289 12353035 12318505 
"524288/4096" 9270411 9322168 9564679 9001883 9091651 
"524288/8192" 6879325 6898511 6891096 6898078 6915171 
"524288/16384" 6929248 6940073 6907612 6917912 6901174 
