Mode 6-HDD-1-NVMe/encryption-1 6-HDD-1-NVMe/encryption-2 6-HDD-1-NVMe/encryption-3 6-HDD-1-NVMe/encryption-4 6-HDD-1-NVMe/encryption-5 
"64/4" 3203069 4564786 5283570 3363612 4564786 
"64/8" 4643754 4564786 2772930 5735102 5860307 
"64/16" 4274062 4018152 3022727 3057153 2689580 
"64/32" 5389653 4897948 4274062 4564786 3022727 
"64/64" 3363612 3363612 4018152 3588436 5283570 
"128/4" 3199360 3445772 2985839 3560017 3445772 
"128/8" 3657016 2905056 4717434 4934216 3445772 
"128/16" 3053774 3759450 4012317 3657016 5325799 
"128/32" 3759450 6114306 4012317 4104338 3867787 
"128/64" 3982553 3124872 3657016 3380677 5122535 
"128/128" 3785961 3982553 3053774 3536566 5545860 
"256/4" 3454704 4929815 4819184 3275543 3935921 
"256/8" 4197489 3770085 2872459 3368013 4132864 
"256/16" 5841722 4332998 5687020 3935921 3465855 
"256/32" 6554972 6554972 4197489 6891544 3994490 
"256/64" 4422226 4009406 3994490 5810112 4070199 
"256/128" 5810112 3545976 4070199 4070199 6107548 
"256/256" 5687020 4070199 6554972 4755158 4197489 
"512/4" 3481620 4871723 5509113 4163357 5019764 
"512/8" 5968453 4030519 4331300 5744919 6472112 
"512/16" 6086873 6246213 6174377 5951911 6472112 
"512/32" 4375425 5951911 6931711 6999490 4650188 
"512/64" 3963567 6571132 6035551 4620174 3934520 
"512/128" 4091959 4305250 4271001 4375425 5624545 
"512/256" 4571003 7334159 4457157 6571132 7334159 
"512/512" 5684095 4262523 4237291 5886650 4916336 
"1024/4" 5500686 3849207 4114719 5991815 5417427 
"1024/8" 5720477 4064103 3696803 6609617 4720752 
"1024/16" 4392454 4700088 4392454 4694950 4876180 
"1024/32" 6317933 7066349 7020149 7066349 6479979 
"1024/64" 4282950 4339202 5950309 7113161 6963241 
"1024/128" 6244448 7220790 6519323 4356809 4415030 
"1024/256" 6016997 7054742 6559147 7066349 4451639 
"1024/512" 6776473 4920874 7257394 4848656 4920874 
"1024/1024" 4287225 4339202 4876180 7208671 7160597 
"2048/4" 4170264 4079167 3924484 4104506 6132138 
"2048/8" 5970183 6167360 4531020 4531020 4550221 
"2048/16" 6802261 4572018 4414590 4611288 4509611 
"2048/32" 4878411 4623699 4444282 6939647 4831762 
"2048/64" 6543188 4730646 7183386 4820915 7112016 
"2048/128" 3873168 4934459 6670210 4886737 4839929 
"2048/256" 4818211 4889518 7237860 4886737 7262337 
"2048/512" 4728042 7237860 5293261 4911886 4581773 
"2048/1024" 6479029 4889518 4842658 7286980 7286980 
"2048/2048" 6873016 4829046 4853603 7036283 4764758 
"4096/4" 3549702 5689064 4153935 4149921 6140479 
"4096/8" 3683658 4622213 4562069 4551192 6661947 
"4096/16" 3871253 6451792 4713521 6883496 4617244 
"4096/32" 4659824 6565206 4836939 5625724 6595451 
"4096/64" 4801789 7146945 4882301 4763181 4649735 
"4096/128" 4864330 5996870 6451792 6703539 5057654 
"4096/256" 4864330 4917236 5867831 4946971 4952675 
"4096/512" 4882301 4946971 4846491 4935601 4958393 
"4096/1024" 6605595 5171846 6703539 4946971 5231694 
"4096/2048" 6245395 7123239 4882301 5223741 6086096 
"4096/4096" 4380601 4476482 5936773 5928578 4491697 
"8192/4" 5442863 4313945 5295233 6192276 6230453 
"8192/8" 6267959 6379683 6872214 6239504 6736139 
"8192/16" 4563770 6435847 4796296 6793408 7025373 
"8192/32" 4832725 6591409 4976927 6491781 5142283 
"8192/64" 4902367 4955393 5830794 6675934 6737460 
"8192/128" 5004472 6825797 6753351 5535816 4953250 
"8192/256" 7400641 5509188 6330318 7092077 4908670 
"8192/512" 5954062 4995015 6109695 7426233 7315554 
"8192/1024" 6301295 7002465 7313997 5041185 7379976 
"8192/2048" 5278151 6725591 5050818 5741161 6653956 
"8192/4096" 5825851 5872650 6272536 4454317 5784656 
"8192/8192" 5357988 5323125 5181053 5588034 4106182 
"16384/4" 5316044 6387871 6023371 5425162 6249039 
"16384/8" 5720518 7147999 7001613 7120594 6171037 
"16384/16" 6668035 6918435 7142056 4932206 4743590 
"16384/32" 7396503 7180114 6818216 4957469 7376654 
"16384/64" 7484309 7457506 7508843 6437538 4992041 
"16384/128" 5767086 7494921 7526113 6850160 7536843 
"16384/256" 7499010 7494921 7550092 5960159 7245981 
"16384/512" 7560891 7522817 7553412 5712909 7526113 
"16384/1024" 6913563 6684900 7560891 7505563 5016823 
"16384/2048" 6448412 7074413 7265900 7373488 4999668 
"16384/4096" 5696807 5843092 6353028 6171037 6109046 
"16384/8192" 5340004 5297194 5153778 5316044 5312346 
"16384/16384" 5387732 5380560 5378876 5064892 4314976 
"32768/64" 7370248 6690043 6958298 7592135 6759135 
"32768/128" 7084918 6643797 7668811 7645349 7715305 
"32768/256" 7611476 7616960 6721452 5101516 7606421 
"32768/512" 7641523 5206256 6836464 6852143 7615272 
"32768/1024" 6809705 7593813 7192064 7597591 6995842 
"32768/2048" 6418540 7514100 7324293 7198468 7545038 
"32768/4096" 6278673 5550217 6728691 6506661 6206094 
"32768/8192" 5256232 5626562 5264689 5620580 5540819 
"32768/16384" 4055944 5228637 5480720 5586993 5303900 
"65536/64" 7874171 8338020 8549908 8470342 8222785 
"65536/128" 8901830 8597240 8312553 8221801 8052244 
"65536/256" 8250923 8407644 8052244 8763896 7718296 
"65536/512" 8982408 8760265 8444061 5587539 8749669 
"65536/1024" 5139652 8875387 8290240 8975075 8097074 
"65536/2048" 5639931 8659534 8077800 7695607 8782657 
"65536/4096" 6534007 6949116 7042408 4683811 6900099 
"65536/8192" 5570441 5273659 5267292 5512352 5466312 
"65536/16384" 5372297 5614817 5200917 5509038 5551989 
"131072/64" 8437686 8379554 8584193 8834142 8424239 
"131072/128" 8314666 8955456 8682620 8600577 8997227 
"131072/256" 8708615 8814030 8880808 8311398 8524957 
"131072/512" 8706271 8682072 8700346 8399398 9010351 
"131072/1024" 8874213 8066991 8751034 8631228 8824075 
"131072/2048" 8460149 7828959 8479854 8901226 6487421 
"131072/4096" 6949714 7030232 7118072 6724035 6876090 
"131072/8192" 4890378 5621753 5604445 5617674 5537215 
"131072/16384" 5529529 5513724 5552707 5614118 5609020 
"262144/64" 8941677 9000674 8046670 8820734 8895883 
"262144/128" 9003769 8848133 9030094 9051355 8818399 
"262144/256" 8852336 8648459 8772036 8718684 8960916 
"262144/512" 8795895 9110076 9026388 8987064 8889553 
"262144/1024" 9090193 8891638 9019206 8885602 8735517 
"262144/2048" 8029101 8981558 8716058 8456038 8787389 
"262144/4096" 7152048 7142895 7336004 6986047 6994980 
"262144/8192" 5630355 5500974 5621173 5644170 5644055 
"262144/16384" 5646141 5427280 5632057 5687174 5663445 
"524288/64" 9070426 9084890 9005311 9083276 8909500 
"524288/128" 8957733 8949348 8923455 9055224 8938508 
"524288/256" 9089284 8986616 8270679 9033203 8660067 
"524288/512" 9089434 9057238 9060858 8485954 9126289 
"524288/1024" 8444958 9112372 9174225 8412425 8281799 
"524288/2048" 9092892 9045986 9056305 8893465 8996322 
"524288/4096" 7163856 7198988 7386937 7043189 7116999 
"524288/8192" 5599342 5689128 5685009 5705423 5704239 
"524288/16384" 5695685 5707778 5688215 5695921 5685627 
