Mode 6-HDD-1-NVMe/encryption-1 6-HDD-1-NVMe/encryption-2 6-HDD-1-NVMe/encryption-3 6-HDD-1-NVMe/encryption-4 6-HDD-1-NVMe/encryption-5 
"64/4" 1553394 1562436 1828508 1562436 2923952 
"64/8" 3541098 3057153 1638743 3057153 2203800 
"64/16" 1828508 3406295 2467108 2561267 2561267 
"64/32" 2379626 2379626 3541098 3588436 2379626 
"64/64" 2561267 2561267 2203800 2467108 2467108 
"128/4" 2175277 1705404 2784517 1684006 2511022 
"128/8" 2132084 2098744 2166499 2166499 3124872 
"128/16" 3560017 2558895 2211113 2558895 3199360 
"128/32" 2464907 4267461 2453642 3053774 3445772 
"128/64" 2969325 5603747 3445772 6045455 5325799 
"128/128" 2784517 2843510 2843510 2453642 2409592 
"256/4" 2247235 1696795 1694118 1718521 2975955 
"256/8" 3368013 2210228 3236056 1981783 3810220 
"256/16" 4264168 2880164 2557711 2563818 2588541 
"256/32" 4070199 4672389 2943325 2943325 4009406 
"256/64" 3499745 3368013 3410808 3410808 3465855 
"256/128" 7571923 4496299 4496299 4572895 4572895 
"256/256" 4652146 2692393 2754556 3499745 3705040 
"512/4" 2651850 1729323 2722449 3008498 1933266 
"512/8" 3604335 2225819 2521095 3849877 3877684 
"512/16" 4271001 4305250 4340054 4331300 4411377 
"512/32" 3140488 2894940 3220553 3259661 4916336 
"512/64" 3346002 4871723 5278892 4882800 4340054 
"512/128" 5227492 3877684 5227492 3905895 3884698 
"512/256" 6652558 5127637 6909408 7435738 7410080 
"512/512" 3366987 3580298 4871723 4838792 3556580 
"1024/4" 2579861 1689730 2679655 1789714 2926114 
"1024/8" 3291652 3220084 3521025 2281152 3603747 
"1024/16" 3101494 4162573 3880507 4178773 3447541 
"1024/32" 2455943 4741598 3643490 3142339 2822283 
"1024/64" 3791442 4995276 4810640 3294177 3271594 
"1024/128" 3066069 4783849 4321737 3355952 4321737 
"1024/256" 4507705 5018624 5144870 3671521 4762630 
"1024/512" 6172653 4949226 6172653 6431462 6172653 
"1024/1024" 3403826 4995276 4339202 3518141 3618930 
"2048/4" 1923059 2582813 1972971 1771556 1849761 
"2048/8" 2394870 2438378 3336148 2534049 3683812 
"2048/16" 2763987 2705656 2779189 2662880 3736694 
"2048/32" 2896324 3999400 4079167 4240255 4367454 
"2048/64" 4112366 4144109 4178378 3136379 4376355 
"2048/128" 2589040 4303993 4046500 3093459 4338776 
"2048/256" 4112366 4170264 3140967 4213218 3140967 
"2048/512" 4412322 4569586 4603874 4623699 4550221 
"2048/1024" 5626082 5868220 4900677 5475461 4601407 
"2048/2048" 4864597 4697018 5032754 4686767 5107566 
"4096/4" 2561557 2392470 2577699 2803592 2807257 
"4096/8" 2878275 2817385 3261295 3468714 3298235 
"4096/16" 2643949 3674205 2750624 2765680 2626969 
"4096/32" 3410188 2976515 3977000 3897601 4218190 
"4096/64" 4018865 4294102 3068488 4320017 4316760 
"4096/128" 4043458 4027344 2961635 3103408 3881749 
"4096/256" 2860543 3901141 3734100 3009363 3627654 
"4096/512" 2944377 3003050 3771811 3799338 4067390 
"4096/1024" 3402085 4501111 4297324 4418911 3421735 
"4096/2048" 5777065 5920406 5996870 4476482 5867831 
"4096/4096" 4623457 4676314 4551192 3194587 4376138 
"8192/4" 2435857 2590879 2612350 2775018 2411411 
"8192/8" 2403820 2767642 3546333 3529576 3468296 
"8192/16" 2706171 3317920 3044239 3590057 3575487 
"8192/32" 2883543 2990974 2936025 3402019 3564729 
"8192/64" 3063510 3347660 3426104 4108637 3944043 
"8192/128" 3716653 2904014 2927769 3766356 3783776 
"8192/256" 3580330 2808359 2868377 3744193 3814017 
"8192/512" 3456781 3623372 3273040 3613465 3747460 
"8192/1024" 3551098 3945854 3132781 3453654 3421669 
"8192/2048" 4218089 4055296 4262568 4213951 3820802 
"8192/4096" 5174810 4543252 4293461 5482815 5468852 
"8192/8192" 3585187 4063449 4404639 4114541 4427912 
"16384/4" 2619800 2853940 2602339 2612629 2808452 
"16384/8" 3447902 2480506 3523388 3268339 3446346 
"16384/16" 3463193 3815458 3843412 2742985 2793951 
"16384/32" 4141522 3821824 3875929 4058363 4136536 
"16384/64" 4288854 3425388 4218298 4240161 4172198 
"16384/128" 2886062 3948077 3995131 3274881 3117829 
"16384/256" 3711796 3405527 3567840 3353837 3716815 
"16384/512" 3708391 3689278 3691062 3710994 3699407 
"16384/1024" 3749261 3562476 3761368 3757872 3521041 
"16384/2048" 3756844 3789996 3578802 3561737 3791669 
"16384/4096" 4083686 4074485 4078596 3605465 3443583 
"16384/8192" 5410639 5362924 5370049 5329650 5102499 
"16384/16384" 4052380 4187197 3658637 4246712 4263310 
"32768/64" 4348810 4309943 4209100 3876892 3888079 
"32768/128" 4077604 3843284 4103169 4058459 4034395 
"32768/256" 3768568 3746583 3764748 3642039 3787260 
"32768/512" 3583543 3464224 3697994 3497191 3733454 
"32768/1024" 3578039 3449270 3761657 3750468 3410158 
"32768/2048" 3592629 3611605 3702178 3532244 3687180 
"32768/4096" 3714786 3726672 3495235 3718907 3710173 
"32768/8192" 3955099 4024118 4102189 4100108 4081600 
"32768/16384" 6001489 5708592 5388747 5990242 5997038 
