Mode 6-HDD-1-NVMe/encryption-1 6-HDD-1-NVMe/encryption-2 6-HDD-1-NVMe/encryption-3 6-HDD-1-NVMe/encryption-4 6-HDD-1-NVMe/encryption-5 
"64/4" 987600 1638743 1828508 901377 1679761 
"64/8" 1163036 1679761 2358717 2203800 2358717 
"64/16" 1460430 2006158 2067979 1336792 1330167 
"64/32" 1638743 1452528 1679761 2203800 1690338 
"64/64" 1879725 1357066 2133730 1879725 1232453 
"128/4" 1155043 1663139 1561553 1152564 1827299 
"128/8" 1306873 1266785 1455701 1093856 1440082 
"128/16" 1363288 1471662 2166499 1508887 2166499 
"128/32" 1618028 1637771 1663139 1778862 1705404 
"128/64" 1266785 1471662 1663139 1778862 2464907 
"128/128" 1059322 1561553 1579934 1409828 1579934 
"256/4" 1662639 1089202 1267990 1911233 1924938 
"256/8" 1985448 1312954 1455317 2077650 1354356 
"256/16" 2392442 1497953 1504249 1924938 1718521 
"256/32" 2463808 1662639 2325094 1673001 1707589 
"256/64" 2030503 2588541 2775920 1911233 1952947 
"256/128" 1790149 1855098 1985448 1970871 2613746 
"256/256" 2582316 1707589 1683493 1686137 1868008 
"512/4" 1082507 1174254 1179413 1267845 1257451 
"512/8" 2160868 1391032 2294796 1372364 2337255 
"512/16" 1565443 1684557 2275345 1689859 2285029 
"512/32" 2207515 1795846 2486072 1848401 1705969 
"512/64" 2768068 1700565 1940253 1977778 1695195 
"512/128" 2942541 2178404 2207515 2228129 2187279 
"512/256" 2160868 2307123 3325278 2307123 3346002 
"512/512" 2548017 1897396 2532990 2339802 1904125 
"1024/4" 1135391 1214706 1145689 1248970 1673273 
"1024/8" 2008114 1381548 1510288 1532928 1488307 
"1024/16" 2137006 1620249 2260740 2516377 1582636 
"1024/32" 2236023 1762539 2415881 2737730 2701567 
"1024/64" 2151996 2437821 2509027 1783768 1828574 
"1024/128" 1845071 2541692 2753527 2753527 1917562 
"1024/256" 2301937 1861867 2803859 2150918 2165014 
"1024/512" 2829721 2275110 1962242 2286009 3251778 
"1024/1024" 1800216 2358827 1889720 1893052 2579861 
"2048/4" 1222626 1252760 1251118 1266614 1242791 
"2048/8" 1444461 1491617 2068465 2197585 1497076 
"2048/16" 2408974 1660915 1693997 1783696 1652925 
"2048/32" 1748834 1773385 1646273 1745990 2656292 
"2048/64" 1752044 1766819 2863496 2760434 2774700 
"2048/128" 1912356 1744572 2443928 2635914 2635914 
"2048/256" 2404254 1826943 1812296 2702252 2730599 
"2048/512" 2122645 2797290 2994254 2522144 2712491 
"2048/1024" 3396834 2162727 2306143 3256469 3084572 
"2048/2048" 1984365 1901771 1889224 1957683 2575842 
"4096/4" 1398464 1254572 1258339 1255672 1487846 
"4096/8" 1520906 1673178 1510875 1565819 1524415 
"4096/16" 1642308 1671062 1658319 1657519 1671225 
"4096/32" 1871077 1748799 1751831 1793342 1793342 
"4096/64" 2644356 2771033 2491711 2892815 1787185 
"4096/128" 2486662 1773166 1800484 2367414 2571141 
"4096/256" 2324806 2633815 2719708 2073910 2792200 
"4096/512" 2805423 2782703 1897111 1874548 2838331 
"4096/1024" 2927818 2771480 2131020 2121284 2382847 
"4096/2048" 2264141 3300770 3586008 3245890 2490267 
"4096/4096" 1869448 3003050 3266255 2355405 2834585 
"8192/4" 1262445 1165297 1268130 1549494 1650656 
"8192/8" 1528675 1623744 1519011 1670153 1773881 
"8192/16" 1684234 1677655 1676918 1974492 1646937 
"8192/32" 1982009 1778564 1784661 1956503 2020233 
"8192/64" 2081297 1800371 1822043 1813197 1782346 
"8192/128" 2143490 2071885 2118381 2025712 1765223 
"8192/256" 2334569 2040872 2090287 1798769 1775531 
"8192/512" 2373925 1819245 1814729 2605614 2167696 
"8192/1024" 2149524 2728737 1894475 2657200 2373269 
"8192/2048" 2836645 2801719 3220277 2901807 3169189 
"8192/4096" 3444997 3368335 2735254 3481298 3275536 
"8192/8192" 2761857 1873301 1796511 2656173 3041006 
"16384/4" 1241010 1234855 1288454 1579184 1662991 
"16384/8" 1550361 1533341 1922341 1547150 1996103 
"16384/16" 1692189 1690482 1686665 2344589 1704867 
"16384/32" 1796878 1801825 1798054 1812183 1800645 
"16384/64" 2208365 1823097 1651124 2292727 1822033 
"16384/128" 2284419 1778923 1782014 2266413 1774697 
"16384/256" 1760376 1758169 1700816 2178402 2117324 
"16384/512" 2675387 1958611 1777773 2681442 2321697 
"16384/1024" 1785718 1845918 2657180 2346271 2152406 
"16384/2048" 1825276 2448687 2938763 2785005 2736540 
"16384/4096" 2742547 2391090 3032927 2692157 2879411 
"16384/8192" 3168430 3354656 3771690 3691855 2892622 
"16384/16384" 1852985 2844960 3096475 3129614 3004024 
"32768/64" 1975753 2404468 1936883 2419580 1960170 
"32768/128" 1773845 2360285 1787177 1870431 2344942 
"32768/256" 1747635 2278051 1904910 1699340 2234459 
"32768/512" 2221099 2282022 1885080 1817811 2164331 
"32768/1024" 2270224 2644694 2729736 2663452 2797807 
"32768/2048" 1885701 2215406 2679132 2735005 2674752 
"32768/4096" 2758721 2856123 1875127 2857310 2786858 
"32768/8192" 3182945 2129027 2582817 3051025 3095694 
"32768/16384" 3815543 3619595 3606866 3538701 3759496 
"65536/64" 2663524 1883489 2170069 2746230 2623962 
"65536/128" 2124893 2249082 2029415 2201421 2589015 
"65536/256" 2570446 2140730 2519739 1932523 1883385 
"65536/512" 1938643 2712678 2477363 2165044 2663215 
"65536/1024" 2688770 2504723 1972730 2759075 2722619 
"65536/2048" 2613086 2142949 2717882 2682264 2665384 
"65536/4096" 2673524 2623636 2388688 2675372 2644612 
"65536/8192" 2808234 2846534 2787474 2791040 2842472 
"65536/16384" 3461641 3435681 3138097 3483355 3436970 
"131072/64" 2338482 2326902 2638847 2211328 2297534 
"131072/128" 2803734 2154732 2324757 2764470 2750321 
"131072/256" 2670963 2627797 2206598 2475064 2490492 
"131072/512" 2223483 2630966 2083025 2682667 2641560 
"131072/1024" 2367414 2729416 2737121 2754828 2581427 
"131072/2048" 2317114 2674497 2678824 2698177 2675044 
"131072/4096" 2641890 2602852 2644127 2521008 2637745 
"131072/8192" 2686954 2700337 2711177 2659579 2669160 
"131072/16384" 3070681 2993533 3038923 3054796 3064160 
"262144/64" 2547661 2538333 2747928 3038997 3041359 
"262144/128" 2432640 2444598 2402701 2412247 2911874 
"262144/256" 2423311 2465268 2446426 2756477 2491795 
"262144/512" 2720689 2344085 2807735 2820151 2511534 
"262144/1024" 2593684 2776188 2796773 2718462 2713652 
"262144/2048" 2698341 2689786 2701570 2695404 2707397 
"262144/4096" 2621331 2441634 2627796 2620287 2615034 
"262144/8192" 2639599 2643591 2654435 2643992 2637130 
"262144/16384" 2910386 2915565 2911350 2920894 2907700 
"524288/64" 2883409 2796726 2842360 2721112 2787137 
"524288/128" 2651144 2725284 2661834 2715531 2965646 
"524288/256" 2777478 2695096 2771897 2524184 2785033 
"524288/512" 2695859 2626628 2812040 2601305 2606661 
"524288/1024" 2744303 2787565 2679821 2551391 2758700 
"524288/2048" 2701291 2691306 2700385 2649110 2682109 
"524288/4096" 2473873 2584520 2605858 2602416 2601886 
"524288/8192" 2610932 2543803 2607721 2545136 2603343 
"524288/16384" 2658513 2755378 2764735 2839886 2831188 
