Mode 6-HDD-1-NVMe/encryption-1 6-HDD-1-NVMe/encryption-2 6-HDD-1-NVMe/encryption-3 6-HDD-1-NVMe/encryption-4 6-HDD-1-NVMe/encryption-5 
"64/4" 25690 30798 25205 29714 31051 
"64/8" 44108 49228 45615 37910 38228 
"64/16" 76919 63870 52937 56089 64717 
"64/32" 90908 71662 64129 66529 72066 
"64/64" 108686 116165 119634 94659 95095 
"128/4" 23396 23720 24479 28380 28107 
"128/8" 43258 46868 42707 46713 42809 
"128/16" 61127 63589 60575 59232 57066 
"128/32" 89946 78480 78538 72847 72103 
"128/64" 113173 91760 93226 83993 95024 
"128/128" 146613 142375 109861 109302 118519 
"256/4" 26950 30065 28156 25731 26834 
"256/8" 46741 52849 42566 48264 52555 
"256/16" 74899 73630 62899 57868 72787 
"256/32" 94049 106980 74680 78917 76239 
"256/64" 118517 110720 96128 90140 90650 
"256/128" 153483 150240 116891 113481 156572 
"256/256" 199698 184181 180406 168991 225159 
"512/4" 26790 27422 10629 30006 28226 
"512/8" 46218 47166 41960 48411 49897 
"512/16" 70241 60305 72398 69169 70776 
"512/32" 101685 76748 89107 87403 83687 
"512/64" 122107 93654 114387 91363 100158 
"512/128" 154775 151435 154686 154264 150238 
"512/256" 202291 205622 216309 179708 201493 
"512/512" 268073 271462 244176 254990 218422 
"1024/4" 29665 19598 17370 21910 17709 
"1024/8" 20351 24006 23639 44543 42936 
"1024/16" 64443 82400 62745 71547 84307 
"1024/32" 81339 114170 85071 82721 109320 
"1024/64" 92568 144021 98405 97580 138583 
"1024/128" 155508 188063 157730 148667 161417 
"1024/256" 208131 202175 183940 184271 209655 
"1024/512" 245569 232728 250921 240657 241103 
"1024/1024" 326518 274828 295780 295861 302509 
"2048/4" 24742 27346 23774 24128 28551 
"2048/8" 43103 36332 40915 50239 33199 
"2048/16" 46562 70586 64028 75862 38578 
"2048/32" 91838 79082 84107 105839 81704 
"2048/64" 143175 143278 139737 136595 142086 
"2048/128" 158075 162657 160930 191134 164511 
"2048/256" 209644 212465 209409 198103 217737 
"2048/512" 321819 323796 315704 287521 288982 
"2048/1024" 287357 293785 325489 342244 321301 
"2048/2048" 343105 441487 449127 373316 370211 
"4096/4" 23003 28527 21519 18166 21840 
"4096/8" 38643 41814 41399 35955 25011 
"4096/16" 37578 59260 43025 43986 30717 
"4096/32" 51538 61070 31924 55252 50226 
"4096/64" 119594 96793 96253 137008 98643 
"4096/128" 165910 164378 161993 133724 123604 
"4096/256" 218196 203175 193764 192390 210136 
"4096/512" 294929 317617 247734 275641 325827 
"4096/1024" 388906 389206 327704 385762 284563 
"4096/2048" 356142 444500 367124 404224 406587 
"4096/4096" 535919 464285 589506 565428 466719 
"8192/4" 22734 18504 21665 10534 22199 
"8192/8" 30435 15437 19571 17365 17902 
"8192/16" 41759 28918 45103 38046 30912 
"8192/32" 46019 46950 42685 56048 57547 
"8192/64" 69122 64333 60455 68111 52984 
