Mode 6-HDD-1-NVMe/encryption-1 6-HDD-1-NVMe/encryption-2 6-HDD-1-NVMe/encryption-3 6-HDD-1-NVMe/encryption-4 6-HDD-1-NVMe/encryption-5 
"64/4" 13792 13026 14818 15724 13718 
"64/8" 1790 21827 24262 25826 23332 
"64/16" 35616 33404 31904 35187 30003 
"64/32" 47868 49961 53294 46411 41716 
"64/64" 71835 87301 81422 82372 82881 
"128/4" 14153 16307 12761 12515 12955 
"128/8" 24408 28906 24858 27321 28532 
"128/16" 40973 39383 39265 33169 46092 
"128/32" 63589 54605 59258 46258 52738 
"128/64" 79692 74247 72610 72444 73991 
"128/128" 86903 81469 85915 111806 109124 
"256/4" 9100 14523 9985 10696 10152 
"256/8" 20942 23664 30809 31651 28375 
"256/16" 42872 36518 52083 40396 37037 
"256/32" 52022 50226 58179 60822 59590 
"256/64" 73039 74180 79928 87106 55712 
"256/128" 106134 59382 83743 112577 94363 
"256/256" 149363 138229 99183 91391 98383 
"512/4" 17566 14032 9279 7903 14279 
"512/8" 18725 17755 28812 25279 28851 
"512/16" 47071 40731 46575 47166 50986 
"512/32" 69124 58328 61901 70486 66477 
"512/64" 92636 70620 86708 86648 87940 
"512/128" 95076 86516 111738 110224 89996 
"512/256" 130120 103789 125710 104833 124601 
"512/512" 147808 106665 117004 165320 124334 
"1024/4" 19850 16211 11852 12542 14809 
"1024/8" 12576 12400 33457 37934 21996 
"1024/16" 38512 27572 43175 43656 26753 
"1024/32" 66719 72184 74489 65843 63447 
"1024/64" 90204 95797 93646 90266 73791 
"1024/128" 102851 93832 117138 97478 86825 
"1024/256" 101457 158979 96620 100293 99990 
"1024/512" 108325 139970 115512 161235 139697 
"1024/1024" 127236 144817 181499 237529 130515 
"2048/4" 15039 14458 14270 14547 15195 
"2048/8" 20276 17502 24982 17748 16993 
"2048/16" 42298 52933 49587 41889 49287 
"2048/32" 64098 64214 69044 59633 59657 
"2048/64" 93760 91995 98348 98117 101667 
"2048/128" 121169 101436 117430 126725 130578 
"2048/256" 104708 144724 136171 144592 161093 
"2048/512" 156252 155387 199238 194233 181032 
"2048/1024" 148340 146643 144980 152767 132987 
"2048/2048" 157009 252001 263133 196073 241366 
"4096/4" 13362 16475 15123 13718 16565 
"4096/8" 19910 20600 22772 21944 23288 
"4096/16" 34636 39155 41994 38016 41355 
"4096/32" 59727 65302 59351 63599 64709 
"4096/64" 82956 77993 83174 85342 98870 
"4096/128" 109002 110317 113393 102692 103015 
"4096/256" 123415 115214 137903 121894 111583 
"4096/512" 160923 152147 146327 180392 174171 
"4096/1024" 183602 185574 182694 235864 224412 
"4096/2048" 214248 252282 196913 253574 256673 
"4096/4096" 244944 249846 211919 182013 255156 
"8192/4" 15121 16076 17812 15643 16771 
"8192/8" 23481 20912 22268 21798 19499 
"8192/16" 52286 53372 55147 50386 40128 
"8192/32" 57506 62182 55313 59499 59701 
"8192/64" 82306 80793 78917 85576 84106 
"8192/128" 89820 95527 93779 85012 98142 
"8192/256" 93420 115817 124598 88336 134007 
"8192/512" 120744 156103 191419 182674 144229 
"8192/1024" 201030 219489 237003 235911 227821 
"8192/2048" 252667 251419 262110 260882 229828 
"8192/4096" 252777 170617 262344 258505 241709 
"8192/8192" 254157 251366 263392 261667 258421 
"16384/4" 16585 16506 14710 16199 16513 
"16384/8" 16937 16406 20075 18888 18276 
"16384/16" 55590 59515 58543 55133 48870 
"16384/32" 68019 64959 69284 66032 67524 
"16384/64" 79627 71831 77346 81936 80455 
"16384/128" 92487 91387 89898 90788 90520 
"16384/256" 107126 129875 103771 122390 96689 
"16384/512" 113781 139774 168389 106019 154258 
"16384/1024" 183827 180793 149491 178519 180585 
"16384/2048" 253500 251099 253027 263044 253826 
"16384/4096" 211463 229006 129691 222608 229399 
"16384/8192" 213094 252871 230054 222234 248744 
"16384/16384" 247900 244646 238143 263103 219851 
"32768/64" 80859 83290 88098 89239 82695 
"32768/128" 73932 93152 88943 94471 90855 
"32768/256" 109729 103537 104213 100692 95803 
"32768/512" 119573 111388 136866 147902 144861 
"32768/1024" 203304 187238 177892 210848 200678 
"32768/2048" 230387 240843 152182 255172 248428 
"32768/4096" 242508 232451 238478 224752 246361 
"32768/8192" 228743 232215 231685 251138 250198 
"32768/16384" 170570 248411 261883 238224 249413 
"65536/64" 82952 86386 83387 89455 85985 
"65536/128" 96968 91756 91375 94292 99189 
"65536/256" 106084 100850 97124 97420 96418 
"65536/512" 113358 132828 128920 129954 165655 
"65536/1024" 193670 197817 204429 169287 209217 
"65536/2048" 235990 237302 256896 243692 231537 
"65536/4096" 241994 199854 246374 251857 231236 
"65536/8192" 206124 244110 248756 256108 245813 
"65536/16384" 246924 247121 257419 254130 248978 
"131072/64" 85620 84541 88157 81994 83698 
"131072/128" 93119 90825 94472 96344 95945 
"131072/256" 106958 108576 98478 104721 103357 
"131072/512" 122925 143252 152984 160358 178207 
"131072/1024" 206417 212571 217517 194405 201601 
"131072/2048" 235497 233587 245453 252844 241734 
"131072/4096" 227709 234241 250192 250984 238134 
"131072/8192" 243858 236226 247156 237225 248477 
"131072/16384" 243331 247559 244024 242757 234961 
"262144/64" 82768 83850 84099 87965 82147 
"262144/128" 92952 95320 92402 92437 94926 
"262144/256" 108190 105351 98848 100646 104281 
"262144/512" 126473 135036 146984 154124 180317 
"262144/1024" 190793 203995 205818 205572 177532 
"262144/2048" 238204 243707 234273 238157 233553 
"262144/4096" 225130 233731 237792 238906 233556 
