Mode 6-HDD-1-NVMe/encryption-1 6-HDD-1-NVMe/encryption-2 6-HDD-1-NVMe/encryption-3 6-HDD-1-NVMe/encryption-4 6-HDD-1-NVMe/encryption-5 
"64/4" 2657 24807 25118 26100 23247 
"64/8" 43248 39505 42161 38764 45646 
"64/16" 71758 45584 51943 58497 50393 
"64/32" 82778 97266 61712 8011 85904 
"64/64" 87216 119421 107943 83240 89633 
"128/4" 21917 25206 25217 12634 12614 
"128/8" 41014 41722 41940 36260 34342 
"128/16" 63021 63051 53490 60121 50373 
"128/32" 81942 89317 75745 75162 72689 
"128/64" 87913 92011 91619 81112 89451 
"128/128" 143825 146774 105958 108200 118310 
"256/4" 24001 22818 14963 20598 24272 
"256/8" 24601 25715 39560 47241 20522 
"256/16" 62152 63240 55171 58851 68834 
"256/32" 71991 95521 65741 76944 77977 
"256/64" 90811 117595 83495 30335 84216 
"256/128" 142542 157352 108471 109870 139360 
"256/256" 171119 171831 212967 179531 219722 
"512/4" 23563 28351 17353 18374 24889 
"512/8" 28142 31179 37744 30587 27797 
"512/16" 65000 54935 53161 60902 67493 
"512/32" 92449 86401 72634 74885 81747 
"512/64" 121328 85906 104065 116307 89215 
"512/128" 165805 139096 139666 150713 145702 
"512/256" 189492 204059 181823 178766 201891 
"512/512" 109259 217779 244148 237374 223584 
"1024/4" 28010 27151 20879 22071 29550 
"1024/8" 31201 33077 28231 31404 34646 
"1024/16" 59900 63092 59847 63318 66515 
"1024/32" 73515 80687 78281 78811 64765 
"1024/64" 58404 107846 95300 89508 98526 
"1024/128" 146247 142937 146998 153496 153502 
"1024/256" 199304 198218 176916 179647 208172 
"1024/512" 227453 229336 239985 245387 227707 
"1024/1024" 315370 303857 293416 296453 309373 
"2048/4" 28675 28693 29579 26444 29512 
"2048/8" 36413 34199 32204 29325 31815 
"2048/16" 41212 44491 44862 46414 37123 
"2048/32" 101512 79223 82497 97737 80357 
"2048/64" 117155 127832 102063 124112 118026 
"2048/128" 148782 152710 145270 151290 99441 
"2048/256" 199650 209793 172638 139454 202150 
"2048/512" 229133 221837 248337 242394 279058 
"2048/1024" 295615 276276 295696 293624 272447 
"2048/2048" 331506 366702 354314 325440 308948 
"4096/4" 28617 26492 27713 23805 26577 
"4096/8" 36918 28501 36395 40768 35488 
"4096/16" 50473 46367 48775 52810 51041 
"4096/32" 56311 68005 54268 60204 57004 
"4096/64" 117542 100370 96236 128328 95799 
"4096/128" 151878 154193 154548 142335 106056 
"4096/256" 206837 156683 184381 187914 172898 
"4096/512" 279744 229288 244975 246926 273522 
"4096/1024" 305442 265339 302107 330002 340284 
"4096/2048" 400194 344087 336703 344142 339269 
"4096/4096" 455822 463034 386048 386343 435056 
"8192/4" 24588 30425 33329 31794 34043 
"8192/8" 43916 44122 38438 42420 48163 
"8192/16" 55103 57794 56279 57896 58341 
"8192/32" 68254 64700 61018 45238 76628 
"8192/64" 71855 75002 72304 78460 80135 
"8192/128" 157538 161364 118781 152100 130691 
"8192/256" 207606 206544 190396 184285 214652 
"8192/512" 242619 224290 266033 256441 256688 
"8192/1024" 308214 296253 305480 339859 312671 
"8192/2048" 325985 420596 421184 380600 403644 
"8192/4096" 425582 452722 443003 418578 424169 
"8192/8192" 480268 482507 572349 404323 480610 
"16384/4" 34043 31450 34188 36091 34597 
"16384/8" 42761 47614 52941 51349 49378 
"16384/16" 66668 67361 61670 65355 67447 
"16384/32" 74640 78666 73913 76736 82575 
"16384/64" 60581 82611 81110 101720 80845 
"16384/128" 108136 127446 135995 124393 134940 
"16384/256" 209078 192759 188751 187872 188317 
"16384/512" 231791 227139 255429 258165 260237 
"16384/1024" 274803 341219 373017 324815 315126 
"16384/2048" 348803 441225 362053 402565 444855 
"16384/4096" 463347 454858 501302 454720 464660 
"16384/8192" 488825 470885 481384 472435 489570 
"16384/16384" 577961 676573 521551 573083 535599 
"32768/64" 81061 89870 88151 90125 94078 
"32768/128" 123729 135351 132934 141359 144156 
"32768/256" 200850 189629 142556 184106 176459 
"32768/512" 241490 203193 234365 244806 218412 
"32768/1024" 309143 279683 322436 310614 336890 
"32768/2048" 429818 418444 454852 446035 458076 
"32768/4096" 437023 520515 514735 387677 482677 
"32768/8192" 498213 545432 535117 531808 505383 
"32768/16384" 501146 572805 618637 626742 636949 
"65536/64" 94981 93303 100078 94501 98698 
"65536/128" 118821 145956 153964 151397 152978 
"65536/256" 194377 196625 183165 182768 196143 
"65536/512" 216804 254999 255412 264333 239339 
"65536/1024" 316369 375357 342247 291157 327501 
"65536/2048" 418848 435299 462593 472648 362642 
"65536/4096" 497918 472321 479836 479071 519643 
"65536/8192" 549840 505455 502422 533498 569181 
"65536/16384" 676368 675364 627535 634946 675279 
"131072/64" 112204 100272 97880 96963 100525 
"131072/128" 157901 153560 162763 163215 155075 
"131072/256" 209384 208170 188847 189580 205697 
"131072/512" 269929 261261 269517 273870 255811 
"131072/1024" 374035 390216 372427 396351 337600 
"131072/2048" 474616 478910 491241 480074 495319 
"131072/4096" 485491 521046 497861 479251 545969 
"131072/8192" 568109 590174 579985 532148 585833 
"131072/16384" 663434 665380 647093 671460 647986 
"262144/64" 100839 99029 101119 99245 97326 
"262144/128" 143006 168170 124813 162269 136944 
"262144/256" 209926 218387 195944 190312 211361 
"262144/512" 274526 273593 301345 286425 300577 
"262144/1024" 421788 377484 440593 438654 409615 
"262144/2048" 504871 499791 526916 470510 489231 
"262144/4096" 528304 522813 565522 529240 566383 
"262144/8192" 583696 594674 577645 584304 581434 
"262144/16384" 667282 640731 664042 674526 647440 
"524288/64" 102071 105460 103261 106698 105736 
"524288/128" 166165 165708 167697 167108 153888 
"524288/256" 220237 220856 197361 200919 221166 
"524288/512" 299992 294125 306507 306251 299662 
"524288/1024" 419342 416296 434018 373023 417434 
"524288/2048" 503874 505745 509144 531334 522411 
"524288/4096" 585886 578349 571546 576889 576546 
"524288/8192" 589212 598981 589357 599130 580519 
"524288/16384" 625055 663251 675863 672424 664635 
