Mode 6-HDD-1-NVMe/encryption-1 6-HDD-1-NVMe/encryption-2 6-HDD-1-NVMe/encryption-3 6-HDD-1-NVMe/encryption-4 6-HDD-1-NVMe/encryption-5 
"64/4" 3619 14049 15147 14635 12635 
"64/8" 21549 25010 22873 25118 21262 
"64/16" 34113 36423 35284 37057 29906 
"64/32" 51903 49265 53368 46443 48013 
"64/64" 66398 66185 83760 79212 77385 
"128/4" 13766 14553 15065 13899 13081 
"128/8" 26272 26505 23551 28674 25785 
"128/16" 31396 41927 37436 40635 42609 
"128/32" 50792 57500 61774 50932 54633 
"128/64" 73475 74073 70866 78423 79503 
"128/128" 83497 102401 83122 117097 103050 
"256/4" 11430 10845 11388 13786 13692 
"256/8" 34015 23279 24777 26733 24565 
"256/16" 42651 34571 43551 51822 34486 
"256/32" 62529 61259 59124 57946 55796 
"256/64" 78307 72170 93394 74200 71010 
"256/128" 105003 104798 108057 100005 96709 
"256/256" 129431 96971 96927 127359 138016 
"512/4" 17150 14381 11584 12235 17981 
"512/8" 25917 26012 28883 23796 17013 
"512/16" 43079 43050 43559 48562 43753 
"512/32" 54935 65390 55344 59563 67033 
"512/64" 89793 92484 79912 77189 88659 
"512/128" 88171 94102 87208 85893 105367 
"512/256" 128739 107385 114235 119286 113853 
"512/512" 156959 125983 145337 130381 167591 
"1024/4" 16432 15704 12339 13021 13478 
"1024/8" 18772 29191 21804 21374 22033 
"1024/16" 48046 44882 42058 48760 41371 
"1024/32" 61327 64217 64091 68243 69165 
"1024/64" 78210 78879 85963 95291 80143 
"1024/128" 88131 117269 117189 119484 87363 
"1024/256" 113780 142279 96677 130562 105155 
"1024/512" 125200 129585 149729 136370 131602 
"1024/1024" 128515 140911 134210 184540 177898 
"2048/4" 19416 15396 14752 12959 17095 
"2048/8" 16090 25845 19498 22564 20074 
"2048/16" 43648 42132 44069 45923 44077 
"2048/32" 68286 62963 65905 66004 69065 
"2048/64" 95358 96698 98741 95184 99470 
"2048/128" 109782 120342 123783 125659 116291 
"2048/256" 102266 146316 114120 143106 154030 
"2048/512" 125915 145516 140835 135191 169916 
"2048/1024" 147232 124642 156923 142647 164363 
"2048/2048" 135458 157793 196526 192626 143486 
"4096/4" 14540 16449 15556 16337 17419 
"4096/8" 17508 18790 24645 24288 20625 
"4096/16" 30048 31852 44408 38390 45714 
"4096/32" 62969 59297 60137 52975 71522 
"4096/64" 77839 97022 89422 84395 90004 
"4096/128" 107760 96813 110407 91403 96825 
"4096/256" 138753 124524 134259 111192 159297 
"4096/512" 141246 170496 162797 128296 209301 
"4096/1024" 196496 180425 236693 199891 208107 
"4096/2048" 219391 175870 176970 260843 258683 
"4096/4096" 174379 183923 196046 169432 257238 
"8192/4" 16430 16037 16009 15997 17034 
"8192/8" 19949 19309 20613 19153 20031 
"8192/16" 39948 46162 53534 56853 47348 
"8192/32" 59820 54045 60017 59980 59160 
"8192/64" 82214 79405 76865 95629 79120 
"8192/128" 93016 100335 93351 93313 87271 
"8192/256" 123901 115250 91105 125445 109492 
"8192/512" 154330 159862 181050 197184 210683 
"8192/1024" 195471 199279 229159 234747 186317 
"8192/2048" 252107 249642 186507 261233 253787 
"8192/4096" 252394 251272 262691 261082 251465 
"8192/8192" 197506 252697 233935 211766 257220 
"16384/4" 14100 15549 16754 17109 15954 
"16384/8" 19002 20862 21479 22820 20033 
"16384/16" 57114 61426 54928 60613 58350 
"16384/32" 69317 72578 63193 70333 67855 
"16384/64" 77600 79762 75833 72515 80297 
"16384/128" 95670 91096 94466 91747 91494 
"16384/256" 108101 95328 121433 115152 134682 
"16384/512" 133730 136484 162041 168184 159117 
"16384/1024" 174934 197445 236308 215058 169306 
"16384/2048" 246498 250865 263094 261528 258826 
"16384/4096" 249973 222472 260461 259956 256577 
"16384/8192" 181158 252469 261930 261621 186181 
"16384/16384" 252426 250236 260539 241147 245814 
"32768/64" 76497 86152 82595 80447 75301 
"32768/128" 92101 93210 87697 88319 88657 
"32768/256" 99372 91313 122801 97653 104711 
"32768/512" 113207 144110 188779 122096 169443 
"32768/1024" 202181 164642 195662 206291 184743 
"32768/2048" 252529 229004 250002 247350 249834 
"32768/4096" 227971 225513 261792 255702 245585 
"32768/8192" 233060 224204 242765 236330 235573 
"32768/16384" 231191 252712 262915 261041 252133 
"65536/64" 87606 88014 84995 86370 89957 
"65536/128" 95071 92510 90850 91793 93122 
"65536/256" 108193 102185 100514 99974 109754 
"65536/512" 124016 137234 170891 152463 170658 
"65536/1024" 208104 201769 206728 212939 211853 
"65536/2048" 245625 239166 257148 239673 257488 
"65536/4096" 223401 214422 258329 257860 252532 
"65536/8192" 241869 245611 248079 230229 247979 
"65536/16384" 247606 240232 245035 253605 231715 
"131072/64" 82949 85574 83790 86335 82207 
"131072/128" 95417 96400 90931 93553 96116 
"131072/256" 103361 104567 100597 101483 102572 
"131072/512" 136443 136568 139025 146169 179335 
"131072/1024" 212365 180418 204731 227878 208953 
"131072/2048" 236830 243061 246458 256013 239008 
"131072/4096" 244211 238511 255016 240932 246469 
"131072/8192" 243050 242160 247248 253061 252784 
"131072/16384" 237769 242424 246164 236326 224485 
"262144/64" 88246 84655 83133 85843 90865 
"262144/128" 90331 97249 92650 96352 96953 
"262144/256" 103201 102230 104677 103179 108963 
"262144/512" 117192 136459 151408 159473 179294 
"262144/1024" 190069 203230 232033 215104 211876 
"262144/2048" 243763 237316 230242 235170 243213 
"262144/4096" 227053 244970 248176 256326 242701 
"262144/8192" 239372 242255 231220 240001 224095 
"262144/16384" 231685 247091 240437 251317 231382 
"524288/64" 83435 84420 86241 84895 85007 
"524288/128" 90356 93573 92255 94722 94312 
"524288/256" 107138 113150 101625 100719 110113 
"524288/512" 124555 131462 145690 158487 183680 
"524288/1024" 215323 206446 218531 214729 218632 
"524288/2048" 246544 226559 236765 246226 241028 
"524288/4096" 240716 251751 232744 247516 240702 
"524288/8192" 236421 232508 242047 246048 243331 
"524288/16384" 240544 234352 249816 240170 244019 
