Mode 6-HDD-1-NVMe/encryption-1 6-HDD-1-NVMe/encryption-2 6-HDD-1-NVMe/encryption-3 6-HDD-1-NVMe/encryption-4 6-HDD-1-NVMe/encryption-5 
"64/4" 5001 29959 24989 26699 30844 
"64/8" 42549 39976 44079 36056 37424 
"64/16" 76199 50909 49274 51733 51693 
"64/32" 75919 78909 69116 69854 72222 
"64/64" 109933 92220 105111 84101 89753 
"128/4" 19598 22885 23443 25769 25350 
"128/8" 43026 40752 42313 42809 36189 
"128/16" 62588 62624 56686 54511 55508 
"128/32" 77573 79656 81420 75078 75553 
"128/64" 94191 92551 92551 83993 91822 
"128/128" 144133 129967 106759 114598 117972 
"256/4" 26264 29921 28437 25592 26109 
"256/8" 44544 50453 41884 47805 50147 
"256/16" 72399 60164 62362 29044 64112 
"256/32" 94704 106481 78284 77814 78623 
"256/64" 95343 92350 89914 84714 84183 
"256/128" 181442 146950 114693 107970 149968 
"256/256" 186874 185357 185389 30574 221034 
"512/4" 27552 26827 24901 28928 27752 
"512/8" 27516 45845 43570 45579 44661 
"512/16" 70097 65666 70629 68012 69356 
"512/32" 83644 89464 77339 85893 74734 
"512/64" 80037 91852 106819 93532 92433 
"512/128" 173916 150186 143896 151982 146368 
"512/256" 200553 205780 182008 180676 198771 
"512/512" 274375 236616 244844 247126 230001 
"1024/4" 24994 24849 26701 26609 28292 
"1024/8" 45985 35225 43241 47725 50745 
"1024/16" 62595 77699 62381 69773 68009 
"1024/32" 79547 102237 84217 82051 102873 
"1024/64" 89981 122518 112702 97339 125382 
"1024/128" 154307 156957 157101 148883 159451 
"1024/256" 204271 199498 179272 180568 207458 
"1024/512" 66958 230939 249015 240482 265075 
"1024/1024" 275569 276830 297748 339072 278571 
"2048/4" 26355 27449 25811 28403 27177 
"2048/8" 42777 43353 51092 50509 44299 
"2048/16" 64238 69102 63023 71083 67026 
"2048/32" 106989 82720 82219 88566 81985 
"2048/64" 141818 143357 113174 133612 115725 
"2048/128" 155468 156611 151535 160629 149510 
"2048/256" 206241 206390 188877 188724 212051 
"2048/512" 227452 290870 205787 271620 240656 
"2048/1024" 297159 289390 324358 317466 277463 
"2048/2048" 340697 440898 445980 321710 371475 
"4096/4" 28521 25336 27539 25980 26361 
"4096/8" 48130 45618 46272 46322 46505 
"4096/16" 64548 64863 63044 68262 63404 
"4096/32" 82799 72463 96612 99420 83658 
