Mode 6-HDD-1-NVMe/encryption-1 6-HDD-1-NVMe/encryption-2 6-HDD-1-NVMe/encryption-3 6-HDD-1-NVMe/encryption-4 6-HDD-1-NVMe/encryption-5 
"64/4" 1802 12190 16177 12716 14004 
"64/8" 22159 22647 23747 25612 21978 
"64/16" 33210 30459 32518 34575 29919 
"64/32" 51653 51446 48968 42188 50073 
"64/64" 60955 65909 67162 62429 70718 
"128/4" 2403 14906 12932 32880 30018 
"128/8" 25000 8574 23070 25508 25152 
"128/16" 32644 30296 36717 33596 39239 
"128/32" 59706 55143 50548 49021 49766 
"128/64" 12539 63521 65907 78286 74329 
"128/128" 96303 80096 92344 85559 83445 
"256/4" 12008 36877 9358 12268 7121 
"256/8" 14285 23633 21454 23653 32956 
"256/16" 36250 44537 37675 34693 34520 
"256/32" 49747 59672 51727 55580 53245 
"256/64" 74077 70800 86600 76440 75600 
"256/128" 83580 94189 83063 92757 90942 
"256/256" 109266 125176 95377 91860 125733 
"512/4" 16752 13471 7519 9893 26020 
"512/8" 23739 16482 23937 36802 20672 
"512/16" 40976 41437 37131 40157 41194 
"512/32" 32854 54613 52463 63217 55693 
"512/64" 69964 80463 68040 86971 78769 
"512/128" 96992 98068 80313 110776 110919 
"512/256" 115631 111206 95275 109143 115395 
"512/512" 110439 127774 115868 134987 147130 
"1024/4" 18143 14193 12710 12243 20889 
"1024/8" 19597 18514 24055 35963 22977 
"1024/16" 26550 41197 30426 38201 46155 
"1024/32" 39988 60897 62151 60793 57813 
"1024/64" 78733 79781 73892 75179 78079 
"1024/128" 69395 96503 109054 87957 103423 
"1024/256" 110096 114462 97134 101134 112082 
"1024/512" 109835 143099 133058 145164 160626 
"1024/1024" 112451 185473 133542 163712 137541 
"2048/4" 15371 19855 14239 15080 15500 
"2048/8" 18752 20548 24768 23779 20284 
"2048/16" 49379 49633 32290 43344 31617 
"2048/32" 66615 62173 64221 62323 63719 
"2048/64" 85700 89206 78775 88958 81288 
"2048/128" 99105 99191 97654 87810 94456 
"2048/256" 113518 112683 98570 107241 123844 
"2048/512" 119348 113652 123694 107034 141975 
"2048/1024" 144980 128095 108394 134426 152231 
