Mode 6-HDD-1-NVMe/encryption-1 6-HDD-1-NVMe/encryption-2 6-HDD-1-NVMe/encryption-3 6-HDD-1-NVMe/encryption-4 6-HDD-1-NVMe/encryption-5 
"64/4" 11884 26777 28867 22630 23651 
"64/8" 41267 40000 34745 33454 37560 
"64/16" 52287 43956 42834 8676 54885 
"64/32" 64437 75111 62750 65635 61080 
"64/64" 79025 73387 81745 76091 79095 
"128/4" 22015 21599 24297 26159 24366 
"128/8" 47991 37361 37580 38833 34241 
"128/16" 59121 47833 59121 48446 48577 
"128/32" 68848 78584 18997 61155 63304 
"128/64" 93632 79256 81162 84495 84033 
"128/128" 126985 151838 102971 111875 102577 
"256/4" 14662 13037 15631 15046 26367 
"256/8" 39857 40308 39524 44515 47824 
"256/16" 67051 56764 68834 68777 57759 
"256/32" 88128 92990 89130 75093 76598 
"256/64" 116308 94846 87283 85164 83939 
"256/128" 134456 129229 133536 112177 145615 
"256/256" 181965 173665 184942 164942 219902 
"512/4" 23389 17837 16615 13080 19272 
"512/8" 25892 23214 42902 40362 43667 
"512/16" 67680 68984 66597 62385 58904 
"512/32" 97858 81489 78914 78014 78287 
"512/64" 114362 90383 119851 107811 86023 
"512/128" 148493 157442 149319 45141 142815 
"512/256" 182783 192914 205210 175579 219920 
"512/512" 281165 286529 237584 238032 276033 
"1024/4" 22378 22846 23479 22162 21167 
"1024/8" 29035 39005 28774 27010 40845 
"1024/16" 60150 66226 61898 64589 64466 
"1024/32" 77852 78794 77546 61222 56008 
"1024/64" 95230 90523 89983 96566 111375 
"1024/128" 159056 157904 161794 159103 158270 
"1024/256" 191861 189457 190153 194749 242300 
"1024/512" 96239 280775 244688 250862 272924 
"1024/1024" 314884 309551 288217 334764 317703 
"2048/4" 21229 22076 24984 25331 27096 
"2048/8" 36267 30527 43466 46279 31817 
"2048/16" 64538 38074 65744 62775 68792 
"2048/32" 80427 64894 77370 92984 73124 
"2048/64" 109261 86614 98542 122357 103112 
"2048/128" 160653 155022 159265 155468 162722 
"2048/256" 191958 189435 190689 187853 229005 
"2048/512" 240373 248243 255616 246803 252587 
"2048/1024" 346008 283769 361273 367157 295178 
"2048/2048" 395670 395670 359805 414816 391148 
"4096/4" 22227 22573 25882 20246 26383 
"4096/8" 41381 33404 38393 39903 29029 
"4096/16" 56896 49536 53240 52178 63737 
"4096/32" 82436 80545 82011 96405 81353 
"4096/64" 115624 116126 111189 118873 94536 
"4096/128" 126299 95629 133437 139011 153293 
"4096/256" 193371 191257 193123 195179 233403 
"4096/512" 281841 273980 245680 255885 252341 
"4096/1024" 327000 284209 346705 281859 329048 
"4096/2048" 382167 314276 385468 403664 267450 
"4096/4096" 327811 439767 423005 336788 331716 
"8192/4" 14606 16066 17539 13254 15046 
"8192/8" 34082 39614 22763 38696 27935 
"8192/16" 30499 38027 37001 26219 47227 
"8192/32" 67425 81109 49088 69381 80611 
"8192/64" 111034 100827 96451 109556 95604 
"8192/128" 157040 157480 159868 162323 158006 
"8192/256" 208436 207697 189056 193084 216703 
"8192/512" 269990 241908 270890 250404 232635 
"8192/1024" 339145 368976 317963 356858 333114 
"8192/2048" 429127 414828 378837 432683 410835 
"8192/4096" 401095 385109 430930 442427 398906 
"8192/8192" 459841 428875 443598 450284 465769 
"16384/4" 11572 11101 15214 7245 10758 
"16384/8" 24168 14687 18992 18459 17412 
"16384/16" 44101 28161 32575 27217 23637 
"16384/32" 37668 57466 41067 48009 38786 
"16384/64" 89048 86423 97186 72805 101076 
"16384/128" 123405 157368 147599 158255 115598 
"16384/256" 209870 210453 191504 188764 216182 
"16384/512" 256996 240569 232866 258341 259244 
"16384/1024" 311879 299820 379594 359692 305067 
"16384/2048" 398076 409293 444157 438956 437921 
"16384/4096" 444191 473830 453990 452346 452507 
"16384/8192" 539692 513104 418664 428159 540924 
"16384/16384" 465560 509611 556731 504386 554597 
"32768/64" 71180 79302 76788 76632 76676 
"32768/128" 121575 150728 139002 128797 124775 
