Mode 6-HDD-1-NVMe/encryption-1 6-HDD-1-NVMe/encryption-2 6-HDD-1-NVMe/encryption-3 6-HDD-1-NVMe/encryption-4 6-HDD-1-NVMe/encryption-5 
"64/4" 555 11630 14568 13686 12232 
"64/8" 20963 25286 22988 25377 20579 
"64/16" 31188 31094 32905 30346 28245 
"64/32" 54374 45911 42583 44348 52074 
"64/64" 1875 63946 65844 11795 71662 
"128/4" 5795 12886 6115 15831 13469 
"128/8" 24051 19323 22261 18655 30438 
"128/16" 37622 31777 34688 38929 36290 
"128/32" 57145 52073 49669 44942 55652 
"128/64" 69302 72026 73951 72278 66735 
"128/128" 96981 64513 79692 82687 82955 
"256/4" 8340 12787 10956 8603 13119 
"256/8" 20937 20026 24238 13891 27618 
"256/16" 33459 35305 36983 43132 37143 
"256/32" 51260 50255 56326 76718 52946 
"256/64" 70350 75473 73019 83907 65689 
"256/128" 97006 82603 93876 91727 94821 
"256/256" 109590 104066 112224 104360 93565 
"512/4" 9879 11735 12876 9173 13927 
"512/8" 16271 14990 23728 15380 32286 
"512/16" 35403 38510 45221 47721 39263 
"512/32" 50818 58796 58500 66201 40255 
"512/64" 72685 71487 79590 82012 85660 
"512/128" 84613 84169 83932 91738 109633 
"512/256" 102835 120099 127934 114545 133476 
"512/512" 140737 141005 165486 132915 146119 
"1024/4" 11657 14676 11363 14061 15921 
"1024/8" 21861 21704 17571 20600 21784 
"1024/16" 44716 45042 39314 45398 47409 
"1024/32" 65657 65373 61925 66902 60570 
"1024/64" 80782 88214 79768 94474 90966 
"1024/128" 94316 106933 96157 80699 107811 
"1024/256" 129242 109624 104075 109905 126419 
"1024/512" 118026 138772 160656 154030 146078 
"1024/1024" 122661 169007 148471 146222 185810 
"2048/4" 15184 14189 14778 13725 17214 
"2048/8" 19102 20666 14904 21978 18413 
"2048/16" 27311 40333 39871 33577 32583 
"2048/32" 66545 62607 61097 65634 55727 
"2048/64" 98818 82451 62593 85644 76781 
"2048/128" 120124 102221 97910 88550 91682 
"2048/256" 141368 118841 112342 114734 108463 
"2048/512" 140390 130463 144359 154102 146621 
"2048/1024" 181108 149718 161717 193150 156468 
"2048/2048" 216902 181077 219855 186507 216584 
"4096/4" 14459 16799 14993 16940 14505 
"4096/8" 16781 21541 23692 23121 21197 
"4096/16" 35936 36089 42417 44825 33378 
"4096/32" 64684 62316 63810 58831 52750 
"4096/64" 79399 84885 87286 79168 87502 
"4096/128" 98660 104529 101893 89869 101862 
"4096/256" 122836 129447 118813 112880 130683 
"4096/512" 150053 151065 134603 145536 173648 
"4096/1024" 203012 162308 170937 175021 196357 
"4096/2048" 202791 150649 237147 235945 203065 
"4096/4096" 171244 229751 207516 204146 195186 
"8192/4" 11820 16252 16982 14781 18048 
"8192/8" 24225 23873 22101 20406 18396 
"8192/16" 46205 45203 52453 48515 42885 
"8192/32" 53936 55590 56298 52967 60091 
"8192/64" 80239 77438 65621 86737 72263 
"8192/128" 103681 90224 94680 92134 110333 
"8192/256" 117714 105029 105828 105659 116936 
"8192/512" 120451 122319 153924 144253 178868 
"8192/1024" 163761 161094 225234 146917 201947 
"8192/2048" 200987 197921 251149 213106 246961 
"8192/4096" 212910 180858 251296 237022 223593 
"8192/8192" 229493 243041 238313 196089 219965 
"16384/4" 13232 16988 15752 16550 14252 
"16384/8" 21948 22021 22990 19596 19826 
"16384/16" 45622 54643 60860 54156 53091 
"16384/32" 62035 65534 67399 69221 67647 
"16384/64" 78972 70103 79305 70011 75581 
"16384/128" 85166 93964 94418 93691 94655 
"16384/256" 107532 106600 95162 101049 98266 
"16384/512" 115398 108791 170570 126272 130702 
"16384/1024" 181943 215125 228814 229770 192469 
"16384/2048" 248789 246947 251153 253117 211515 
"16384/4096" 242607 173850 254988 200327 225918 
"16384/8192" 223440 240838 259109 249292 249805 
"16384/16384" 193218 178852 253762 240012 212304 
"32768/64" 77444 87759 86298 81677 79931 
"32768/128" 86571 90128 84537 84229 92772 
"32768/256" 100590 100726 99217 103298 96290 
"32768/512" 120394 107688 121415 129612 186811 
"32768/1024" 175159 216542 184096 195690 202549 
"32768/2048" 234289 220844 230096 249302 215159 
"32768/4096" 190136 185674 238034 235454 251776 
"32768/8192" 229081 208085 253792 231762 219087 
"32768/16384" 198107 207451 251340 256901 247615 
"65536/64" 86122 88104 89815 79827 86207 
"65536/128" 87473 91066 93680 91951 89919 
"65536/256" 99800 117958 96874 97890 115656 
"65536/512" 114759 105880 160298 136997 158936 
"65536/1024" 201832 174381 213535 224413 212485 
"65536/2048" 198162 220308 242950 241380 235252 
"65536/4096" 239413 241725 236447 250992 237991 
"65536/8192" 240051 241912 237483 238242 233899 
