Mode 6-HDD-1-NVMe/gzip-compression-1 6-HDD-1-NVMe/gzip-compression-2 6-HDD-1-NVMe/gzip-compression-3 6-HDD-1-NVMe/gzip-compression-4 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 29740 29492 28194 26668 29398 
"64/8" 50592 39217 41260 45715 42468 
"64/16" 69259 6188 81521 92634 60311 
"64/32" 136761 99207 117230 125742 102542 
"64/64" 244297 197552 177324 178266 173879 
"128/4" 28225 30613 27209 29479 13959 
"128/8" 56288 53490 43464 43185 42653 
"128/16" 87971 77394 25004 63998 83122 
"128/32" 142868 153663 111019 128106 137772 
"128/64" 206107 206742 201240 205712 251014 
"128/128" 413994 317711 310724 393945 415597 
"256/4" 14269 14340 14107 14226 14320 
"256/8" 49584 40732 44693 53601 53658 
"256/16" 98991 93983 101231 91422 93127 
"256/32" 178161 151107 140123 188085 150493 
"256/64" 297946 228367 257565 236621 222823 
"256/128" 414923 325296 393195 438296 376909 
"256/256" 600928 599585 615393 590031 561343 
"512/4" 15479 23280 14442 19775 14305 
"512/8" 26389 28493 26247 35143 26755 
"512/16" 102751 101729 94845 85391 105679 
"512/32" 175164 159547 200534 169603 174623 
"512/64" 284781 240484 291231 252443 293580 
"512/128" 364920 463338 427036 375381 395353 
"512/256" 699550 707152 672811 598050 665926 
"512/512" 876593 840566 791318 922535 903136 
"1024/4" 18576 16222 15655 14457 26534 
"1024/8" 36330 23692 23042 41604 22671 
"1024/16" 57196 60519 59020 48600 70762 
"1024/32" 184636 175041 139452 155295 174984 
"1024/64" 274459 303943 277958 284759 315069 
"1024/128" 404772 418498 460250 516917 445221 
"1024/256" 618710 637537 698504 656340 658050 
"1024/512" 865605 996094 852547 936782 848337 
"1024/1024" 1333507 1363565 1199106 1280243 1259592 
"2048/4" 22258 20554 13523 21686 24523 
"2048/8" 36577 33015 25961 27986 34936 
"2048/16" 68323 82590 47307 44326 75006 
"2048/32" 124535 107682 101542 94460 106169 
"2048/64" 263036 318407 317971 313824 299856 
"2048/128" 426388 506547 589530 550396 136078 
"2048/256" 712869 725206 693530 739376 851516 
"2048/512" 981280 951602 1132668 1040094 877436 
"2048/1024" 1371798 1407538 1256425 1316302 1280015 
"2048/2048" 1497076 1457698 1026668 1592555 1357061 
"4096/4" 29860 18301 25336 27600 21135 
"4096/8" 35570 45057 35304 29241 25310 
"4096/16" 47780 49730 67937 69079 60038 
"4096/32" 110622 115543 139140 107569 108348 
"4096/64" 197130 192229 191885 183004 188989 
"4096/128" 444213 459861 515868 547743 490589 
